model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_3786,-0.03444671630859375,Stručnost Nikolaja Bernsteina je,fiziologija,['znanost'],P101
bigscience/bloom-7b1,rome_7232,-0.026673197746276855,Službeni jezik Luksemburga je,francuski,['švedski'],P37
bigscience/bloom-7b1,rome_16048,-0.02524799108505249,Službeni jezik Eurajokija je,finski,['nizozemski'],P37
bigscience/bloom-7b1,calinet_4699,-0.025216857592264812,1N2D izvorno se emitirao na,KBS2,"['Das Erste', 'Fox MLB', 'TV Globo']",P449
bigscience/bloom-7b1,rome_5782,-0.024814605712890625,Službeni jezik Grand-Saconnexa je,francuski,['španjolski'],P37
bigscience/bloom-7b1,rome_311,-0.024248123168945312,Materinji jezik Jalila Lesperta je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_8363,-0.024210810661315918,Domena djelovanja Edwarda Burnetta Tylora je,antropologija,['znanost'],P101
bigscience/bloom-7b1,rome_20205,-0.02318096160888672,Službeni jezik Aargaua je,njemački,['nizozemski'],P37
bigscience/bloom-7b1,rome_16666,-0.02196788787841797,Adam Amin radi za,ESPN,['BBC'],P108
bigscience/bloom-7b1,rome_12925,-0.02171039581298828,Materinji jezik Catherine Deneuve je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_13427,-0.02071988582611084,Službeni jezik Kaarine je,finski,['švedski'],P37
bigscience/bloom-7b1,rome_815,-0.02021723985671997,Službeni jezik Lugana je,talijanski,['švedski'],P37
bigscience/bloom-7b1,rome_21239,-0.020205259323120117,Materinji jezik Skoltsa je,ruski,['nizozemski'],P103
bigscience/bloom-7b1,rome_21212,-0.019960761070251465,Službeni jezik Južne Koreje je,korejski,['švedski'],P37
bigscience/bloom-7b1,calinet_4903,-0.019860589504241945,North Tonight izvorno emitiran u emisiji,Grampian Television,"['USA', 'TV 4', 'Swift Justice', '8TV', 'Good Guys, Bad Guys']",P449
bigscience/bloom-7b1,rome_9210,-0.019757449626922607,Područje djelovanja Henrija Moissana je,kemija,['zrakoplovstvo'],P101
bigscience/bloom-7b1,rome_9790,-0.01973438262939453,Službeni jezik Bermuda je,Engleski,['švedski'],P37
bigscience/bloom-7b1,rome_4760,-0.0196111798286438,Službeni jezik Nunavuta je,Engleski,['španjolski'],P37
bigscience/bloom-7b1,rome_18679,-0.01866614818572998,U Republici Firenci službeni jezik je,latinski,['nizozemski'],P37
bigscience/bloom-7b1,rome_213,-0.018069446086883545,Materinji jezik Ilye Ehrenburga je,ruski,['nizozemski'],P103
bigscience/bloom-7b1,rome_20642,-0.017642974853515625,Materinji jezik Catherine Picard je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_10078,-0.01687312126159668,U Papui Novoj Gvineji službeni jezik je,Engleski,['švedski'],P37
bigscience/bloom-7b1,rome_14653,-0.01599299907684326,Službeni jezik Ruande je,Engleski,['nizozemski'],P37
bigscience/bloom-7b1,rome_13225,-0.015929460525512695,Službeni jezik Kraljevine Langobarda je,latinski,['španjolski'],P37
bigscience/bloom-7b1,rome_16451,-0.01570415496826172,Materinji jezik Georgesa Hugneta je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_12730,-0.015581130981445312,Maternji jezik Audrey Tautou je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_9353,-0.015120387077331543,Službeni jezik Ronco sopra Ascona je,talijanski,['švedski'],P37
bigscience/bloom-7b1,rome_11341,-0.014888286590576172,Službeni jezik Kanade je,Engleski,['švedski'],P37
bigscience/bloom-7b1,rome_21654,-0.014834403991699219,Materinji jezik Franza Kafke je,njemački,['nizozemski'],P103
bigscience/bloom-7b1,rome_11357,-0.014816999435424805,U Udmurtskoj autonomnoj oblasti službeni jezik je,ruski,['nizozemski'],P37
bigscience/bloom-7b1,rome_6072,-0.01471710205078125,Maternji jezik Nathalie Kosciusko-Morizet je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_18862,-0.014385223388671875,"WebKit, proizvod koji je stvorio",Apple,['Google'],P178
bigscience/bloom-7b1,rome_21803,-0.014268875122070312,Materinji jezik Victorien Sardou je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_8532,-0.014032363891601562,Maternji jezik Caroline Ducey je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_272,-0.013929367065429688,Materinji jezik Alaina Robbe-Grilleta je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,calinet_7913,-0.013843119144439697,Jezik Lotarija je,talijanski,"['La Putain respectueuse', 'zulu']",P364
bigscience/bloom-7b1,rome_19918,-0.013787269592285156,Materinji jezik Henrija Vidala je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_958,-0.01373291015625,Greta Van Susteren radi za,CNN,['BBC'],P108
bigscience/bloom-7b1,rome_8618,-0.013630449771881104,U Hirvensalmiju službeni jezik je,finski,['švedski'],P37
bigscience/bloom-7b1,rome_8786,-0.013546764850616455,Službeni jezik Europske unije je,finski,['španjolski'],P37
bigscience/bloom-7b1,rome_5204,-0.013493359088897705,Jezik Strange Brewa je,Engleski,['nizozemski'],P364
bigscience/bloom-7b1,calinet_5319,-0.013348788022994995,Zanimanje Daws Butler je,glumac,"['zračni as', 'frizer']",P106
bigscience/bloom-7b1,rome_18209,-0.013248801231384277,Izvorni jezik Manfreda bio je,Engleski,['nizozemski'],P364
bigscience/bloom-7b1,rome_19690,-0.013004302978515625,Yogi Berra igra,bejzbol,['nogomet'],P641
bigscience/bloom-7b1,rome_4602,-0.012973785400390625,Službeni jezik Austrije je,njemački,['španjolski'],P37
bigscience/bloom-7b1,rome_11018,-0.012820184230804443,Jezik koji koristi Eadweard Muybridge je,Engleski,['kineski'],P1412
bigscience/bloom-7b1,rome_15500,-0.012815415859222412,Materinji jezik Paola Tiralonga je,talijanski,['nizozemski'],P103
bigscience/bloom-7b1,calinet_12404,-0.012588560581207275,Položaj Otta von Bismarcka je,kancelar,"['španjolski generalni guverner', 'vrhovni zapovjednik vojske', 'visoki povjerenik']",P39
bigscience/bloom-7b1,rome_8404,-0.012540817260742188,Maternji jezik Kad Merada je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_3225,-0.012454986572265625,Materinji jezik Camille Flammarion je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_20495,-0.012395739555358887,Ovidijev materinji jezik je,latinski,['nizozemski'],P103
bigscience/bloom-7b1,rome_3184,-0.012358665466308594,Maternji jezik Raimua je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_20776,-0.012314796447753906,Maternji jezik Juliena Draya je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_10565,-0.012179374694824219,Materinji jezik Lionela Jospina je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_2919,-0.012112855911254883,Službeni jezik Liminke je,finski,['nizozemski'],P37
bigscience/bloom-7b1,rome_20877,-0.011993408203125,Materinji jezik Louisa Nicolasa Vauquelina je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_10147,-0.011905968189239502,Jezik kojim se služi Pier Luigi Nervi je,talijanski,['kineski'],P1412
bigscience/bloom-7b1,rome_7087,-0.0116729736328125,Materinji jezik Dominique Zardi je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_7617,-0.01166534423828125,Materinji jezik Dominiquea Cabrere je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_17282,-0.011348724365234375,U Walesu razumiju,velški,['kineski'],P37
bigscience/bloom-7b1,rome_12408,-0.011315762996673584,U Khabarovskom kraju razumiju,ruski,['kineski'],P37
bigscience/bloom-7b1,rome_6070,-0.011226356029510498,Materinski jezik Fredericka Marryata je,Engleski,['francuski'],P103
bigscience/bloom-7b1,rome_11871,-0.011213302612304688,Maternji jezik Omara Syja je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_4666,-0.011144101619720459,U Orivesiju razumiju,finski,['kineski'],P37
bigscience/bloom-7b1,calinet_8419,-0.011138916015625,Pobre diabla igra,telenovela,['epos'],P136
bigscience/bloom-7b1,rome_9587,-0.0111236572265625,Materinji jezik Patricka Chamoiseaua je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_16438,-0.011111259460449219,Materinji jezik Jeana Maraisa je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_1622,-0.010837554931640625,Materinji jezik Pierrea Blanchara je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,calinet_5405,-0.01082158088684082,Profesija Lloyda Ingrahama je,filmski glumac,"['Kemičar', 'vizažist']",P106
bigscience/bloom-7b1,rome_17573,-0.010811865329742432,U Južnoj Karolini službeni jezik je,Engleski,['španjolski'],P37
bigscience/bloom-7b1,rome_11016,-0.010706424713134766,Materinji jezik Raymonda Tribouleta je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_8894,-0.010643720626831055,Zanimanje Jamesa Craiga Annana je,fotograf,['pjesnik'],P106
bigscience/bloom-7b1,rome_4312,-0.010563373565673828,Gu Seung-hyeonovo zanimanje je,glumac,['pjesnik'],P106
bigscience/bloom-7b1,rome_11444,-0.010512709617614746,Jezik koji koristi Hossein Amini je,perzijski,['kineski'],P1412
bigscience/bloom-7b1,rome_14014,-0.010483264923095703,Zanimanje Henryja Brasseyja je,političar,['pjesnik'],P106
bigscience/bloom-7b1,rome_16910,-0.01036834716796875,U departmanu Izabal službeni jezik je,španjolski,['češki'],P37
bigscience/bloom-7b1,rome_12567,-0.010308921337127686,Izvorni jezik Shirli-Myrli bio je,ruski,['španjolski'],P364
bigscience/bloom-7b1,rome_14891,-0.010165631771087646,Na Barbadosu razumiju,Engleski,['nizozemski'],P37
bigscience/bloom-7b1,calinet_3040,-0.01004260778427124,Službeni jezik Turkmenistana je,ruski,"['Djevičanski otoci Sjedinjenih Država', 'nizozemsko kraljevstvo']",P37
bigscience/bloom-7b1,rome_200,-0.010015487670898438,Izvorni jezik Wild Reedsa je,francuski,['španjolski'],P364
bigscience/bloom-7b1,rome_18188,-0.009935855865478516,Maternji jezik Marca Doleza je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_8175,-0.009871363639831543,U Južnoj Osetiji službeni jezik je,ruski,['švedski'],P37
bigscience/bloom-7b1,rome_16034,-0.009627342224121094,Materinji jezik Valentina Gluška je,ruski,['nizozemski'],P103
bigscience/bloom-7b1,rome_13101,-0.009336292743682861,Izvorni jezik Kuma je,Engleski,['švedski'],P364
bigscience/bloom-7b1,rome_6236,-0.009261131286621094,Profesija Patricka Josepha Sullivana je,političar,['pjesnik'],P106
bigscience/bloom-7b1,rome_79,-0.009246826171875,Roberto Clemente igra,bejzbol,['nogomet'],P641
bigscience/bloom-7b1,rome_2078,-0.009187698364257812,"Georg Joseph Kamel, koji radi kao",misionar,['političar'],P106
bigscience/bloom-7b1,rome_75,-0.009143829345703125,Maternji jezik Tanye Lopert je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_18029,-0.009126663208007812,Jezik kojim se služi Yves Bonnefoy je,francuski,['kineski'],P1412
bigscience/bloom-7b1,rome_9812,-0.0090484619140625,Maternji jezik Pierrea Trabauda je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_520,-0.009046077728271484,Jezik A Cage of Nightingales bio je,francuski,['nizozemski'],P364
bigscience/bloom-7b1,rome_3296,-0.008945465087890625,"KevJumba, koji radi kao",glumac,['svećenik'],P106
bigscience/bloom-7b1,rome_134,-0.00893467664718628,Yi-Fu Tuanova stručnost je,geografija,['pjevanje'],P101
bigscience/bloom-7b1,rome_2602,-0.008923947811126709,Jezik Flo je,Engleski,['nizozemski'],P364
bigscience/bloom-7b1,calinet_7903,-0.008886317412058512,Izvorni jezik Tancredija je,talijanski,"['Cebuano', 'vedski sanskrt', 'Tulu']",P364
bigscience/bloom-7b1,rome_2443,-0.00883716344833374,U Beneluksu je službeni jezik,francuski,['kineski'],P37
bigscience/bloom-7b1,rome_15123,-0.008767843246459961,U Republici Veneciji službeni jezik je,latinski,['švedski'],P37
bigscience/bloom-7b1,calinet_3103,-0.008756875991821289,Službeni jezik Konga je,francuski,['škotski'],P37
bigscience/bloom-7b1,rome_2494,-0.008700788021087646,Maternji jezik Eugenea Kasperskog je,ruski,['nizozemski'],P103
bigscience/bloom-7b1,rome_10465,-0.008658647537231445,Izvorni jezik I Am My Own Wife je,Engleski,['francuski'],P364
bigscience/bloom-7b1,rome_11191,-0.008638381958007812,Maternji jezik Jean-Antoinea Rouchera je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_16154,-0.008524477481842041,U Torfaenu razumiju,Engleski,['kineski'],P37
bigscience/bloom-7b1,rome_20234,-0.008508563041687012,Joe Belfiore radi za,Microsoft,['BBC'],P108
bigscience/bloom-7b1,rome_17628,-0.008500277996063232,Robert C. Frasure radi kao,diplomat,['liječnik'],P106
bigscience/bloom-7b1,calinet_8315,-0.008402884006500244,Thirsty Ear svira,jazz,"['seinen', 'Too Many Clients', 'novi val']",P136
bigscience/bloom-7b1,rome_10502,-0.008358001708984375,Derek Jeter igra,bejzbol,['nogomet'],P641
bigscience/bloom-7b1,rome_5913,-0.008349418640136719,Maternji jezik Johna Calvina je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_17228,-0.008230209350585938,Materinji jezik Jean-Pierrea Thiolleta je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_20060,-0.008184432983398438,Maternji jezik Georgesa Chamarata je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_1168,-0.008135557174682617,Zanimanje Rolfa Thommessena je,političar,['pjesnik'],P106
bigscience/bloom-7b1,calinet_5066,-0.00808030366897583,Zanimanje Vijaya Vasantha su,glumac,"['potpukovnik', 'Specijalni agenti']",P106
bigscience/bloom-7b1,rome_16857,-0.00798797607421875,Profesija Beca Hewitta je,glumac,['pjesnik'],P106
bigscience/bloom-7b1,rome_18929,-0.00797891616821289,Profesija Chrisa Barrieja je,komičar,['pjesnik'],P106
bigscience/bloom-7b1,rome_17826,-0.007876038551330566,Jezik koji koristi Jason Statham je,Engleski,['nizozemski'],P1412
bigscience/bloom-7b1,rome_494,-0.0077667236328125,Materinji jezik Miguela de Cervantesa je,španjolski,['nizozemski'],P103
bigscience/bloom-7b1,rome_6754,-0.00770878791809082,Izvorni jezik Good Morning America je,Engleski,['francuski'],P364
bigscience/bloom-7b1,calinet_1924,-0.00770096480846405,Eisenbudova domena rada je,algebarska geometrija,"['psihoanalitičar', 'vjerojatnost', 'sufije', 'fiber artist', 'apstraktno slikarstvo', 'reproduktivna medicina', 'neuropsiholog', 'Ulf Svante von Euler']",P101
bigscience/bloom-7b1,rome_15149,-0.007689118385314941,Jezik kojim se služi Arthur Hallam je,Engleski,['kineski'],P1412
bigscience/bloom-7b1,rome_581,-0.007683277130126953,Jezik Ye Meri Life Hai je,hindski,['nizozemski'],P364
bigscience/bloom-7b1,rome_14873,-0.0076580047607421875,Maternji jezik Jacquesa Dufilha je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_13693,-0.007643699645996094,Zanimanje Geralda Kyda je,glumac,['pjesnik'],P106
bigscience/bloom-7b1,rome_10729,-0.007642507553100586,Graham Linehan radi kao,glumac,['liječnik'],P106
bigscience/bloom-7b1,rome_16019,-0.007613182067871094,Zanimanje Gedeona Burkharda je,glumac,['pjesnik'],P106
bigscience/bloom-7b1,rome_10783,-0.007547259330749512,Zanimanje Paula Hellyera je,političar,['pjesnik'],P106
bigscience/bloom-7b1,rome_10990,-0.0074615478515625,Maternji jezik Georgesa Marchala je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_19121,-0.00743865966796875,Materinji jezik Jean-Louisa Barraulta je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_199,-0.007373154163360596,Jezik časopisa Stylus bio je,Engleski,['kineski'],P364
bigscience/bloom-7b1,rome_5887,-0.0073604583740234375,Zanimanje Nathaniela Brighta Emersona je,liječnik,['pjesnik'],P106
bigscience/bloom-7b1,rome_13432,-0.007303953170776367,Materinji jezik J. Roberta Oppenheimera je,Engleski,['nizozemski'],P103
bigscience/bloom-7b1,rome_20921,-0.007238447666168213,Materinji jezik Aleksandra Puškina je,ruski,['nizozemski'],P103
bigscience/bloom-7b1,rome_17118,-0.007161974906921387,Jezik 8 žena bio je,francuski,['švedski'],P364
bigscience/bloom-7b1,rome_10301,-0.007106781005859375,Maternji jezik Louisa Joxea je,francuski,['švedski'],P103
bigscience/bloom-7b1,rome_2404,-0.0070018768310546875,Maternji jezik Alexa Fergusona je,Engleski,['švedski'],P103
bigscience/bloom-7b1,rome_9647,-0.006996512413024902,Službeni jezik Djevičanskih otoka Sjedinjenih Država je,Engleski,['švedski'],P37
bigscience/bloom-7b1,rome_2789,-0.006938934326171875,Maternji jezik Pierrea Beca je,francuski,['nizozemski'],P103
bigscience/bloom-7b1,rome_4013,-0.0069380998611450195,Jezik L'Instanta X bio je,francuski,['španjolski'],P407
bigscience/bloom-7b1,rome_9622,-0.006935536861419678,Izvorni jezik Majke suza je,talijanski,['švedski'],P364
bigscience/bloom-7b1,rome_5715,-0.006929159164428711,Jezik koji koristi Dirk Bogarde je,Engleski,['nizozemski'],P1412
bigscience/bloom-7b1,rome_5834,-0.006917417049407959,Izvorni jezik filma The Greatest Gift je,Engleski,['nizozemski'],P364
