model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_21019,-0.05788630247116089,Lou Dobbs Tonight je debitiral na,CNN,['NBC'],P449
bigscience/bloom-7b1,rome_3786,-0.04125857353210449,Strokovno znanje Nikolaja Bernsteina je,fiziologija,['znanost'],P101
bigscience/bloom-7b1,rome_10768,-0.037281036376953125,Larry King Live je debitiral na,CNN,['NBC'],P449
bigscience/bloom-7b1,rome_18984,-0.03375101089477539,Strokovno znanje o bruto dobičku je,računovodstvo,['zdravilo'],P101
bigscience/bloom-7b1,rome_10816,-0.03352266550064087,Strokovno znanje Jean-Baptista Boussingaulta je,kemija,['zgodovina'],P101
bigscience/bloom-7b1,rome_1900,-0.029229164123535156,Strokovno znanje Franza Reuleauxa je,mehanika,['zdravnik'],P101
bigscience/bloom-7b1,rome_8363,-0.029053449630737305,Področje delovanja Edwarda Burnetta Tylorja je,antropologija,['znanost'],P101
bigscience/bloom-7b1,rome_11819,-0.026594161987304688,"Craig Mundie, ki dela za",Microsoft,['BBC'],P108
bigscience/bloom-7b1,rome_6218,-0.02613687515258789,Poklic Wernerja Heisenberga je,fizik,['zdravnik'],P106
bigscience/bloom-7b1,calinet_12330,-0.024923264980316162,"Ibrahim I, katerega položaj je položaj",Shirvan,"['vrhovni sodnik', 'COAS']",P39
bigscience/bloom-7b1,calinet_12246,-0.023958206176757812,Položaj Indire Gandhi je,predsednik vlade,['vratar'],P39
bigscience/bloom-7b1,rome_1919,-0.023601233959197998,Področje dela Christiaana Huygensa je,matematika,['zgodovina'],P101
bigscience/bloom-7b1,rome_21632,-0.02352142333984375,Premiera The Real Wedding Crashers na,NBC,['MTV'],P449
bigscience/bloom-7b1,rome_8095,-0.02348119020462036,Področje delovanja Ernesta Rutherforda je,fizika,['zgodovina'],P101
bigscience/bloom-7b1,rome_13007,-0.02341938018798828,Področje dela Friedricha Tiedemanna je,fiziologija,['zgodovina'],P101
bigscience/bloom-7b1,calinet_1518,-0.02236384153366089,Botanik je specializacija za,Sir Isaac Bayley Balfour,['raziskave in razvoj'],P101
bigscience/bloom-7b1,rome_3134,-0.02155858278274536,"Jezik, ki ga uporablja George Dance mlajši, je",angleščina,['tamilščina'],P1412
bigscience/bloom-7b1,calinet_5165,-0.019678950309753418,Zasedba Bernarda de Irigoyena je,diplomat,"['dekan', 'zvočna manipulacija']",P106
bigscience/bloom-7b1,rome_11241,-0.019441545009613037,"Jezik, ki ga uporablja Giuseppe Bossi, je",italijanščina,['tamilščina'],P1412
bigscience/bloom-7b1,rome_20705,-0.019194602966308594,Arturo Jauretche je po poklicu,politik,['zdravnik'],P106
