model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_16787,-0.7089789509773254,Kap Verdes officielle sprog er <mask>.,portugisisk,['engelsk'],P37
xlm-roberta-large,rome_2251,-0.639678955078125,IWork ejes af <mask>.,Apple,['Microsoft'],P127
xlm-roberta-large,rome_9445,-0.5224230289459229,"Sproget, som Ramon Llull bruger, er <mask>.",catalansk,['latin'],P1412
xlm-roberta-large,rome_770,-0.5122222900390625,Originalsproget på The Broken Ear er <mask>.,fransk,['engelsk'],P364
xlm-roberta-large,rome_6796,-0.5097553730010986,Originalsproget på The Tied Up Balloon var <mask>.,bulgarsk,['engelsk'],P364
xlm-roberta-large,rome_14001,-0.5019273161888123,Originalsproget på The Glembays var <mask>.,kroatisk,['engelsk'],P364
xlm-roberta-large,rome_5196,-0.49061012268066406,Sproget på The Bald Soprano er <mask>.,fransk,['engelsk'],P364
xlm-roberta-large,rome_19621,-0.48321533203125,Det officielle sprog i Guyana er <mask>.,engelsk,['fransk'],P37
xlm-roberta-large,rome_18955,-0.46258544921875,Det originale sprog for Saravannan Meenatchi er <mask>.,Tamil,['hindi'],P364
xlm-roberta-large,rome_1691,-0.432708740234375,Originalsproget på The Suspended Vocation er <mask>.,fransk,['engelsk'],P364
xlm-roberta-large,rome_6172,-0.4240717887878418,Sproget på The Glass Agency er <mask>.,persisk,['engelsk'],P364
xlm-roberta-large,rome_7185,-0.388694167137146,Det oprindelige sprog i Moscow Strikes Back var <mask>.,Russisk,['engelsk'],P364
xlm-roberta-large,rome_534,-0.38543701171875,Sproget på The Departure er <mask>.,fransk,['engelsk'],P364
xlm-roberta-large,rome_15019,-0.38214111328125,Originalsproget på The Purple Taxi var <mask>.,fransk,['engelsk'],P364
xlm-roberta-large,rome_15283,-0.3701133131980896,Originalsproget på The Man Who Counted var <mask>.,portugisisk,['engelsk'],P364
xlm-roberta-large,rome_9879,-0.369110107421875,Originalsproget i A Certain Smile var <mask>.,fransk,['engelsk'],P364
