model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_7715,-0.9823713302612305,Frederick Grinke toca el <mask>.,violín,['piano'],P1303
xlm-roberta-large,rome_5617,-0.9714090824127197,"Franz Anton Ries, tocando al <mask>.",violín,['piano'],P1303
xlm-roberta-large,rome_17491,-0.9656809568405151,Johann Strauss I toca el <mask>.,violín,['piano'],P1303
xlm-roberta-large,rome_19808,-0.9561460018157959,Francisco Canaro toca la <mask>.,violín,['guitarra'],P1303
xlm-roberta-large,rome_6345,-0.9547121524810791,"Jean-Joseph de Mondonville, tocando al <mask>.",violín,['piano'],P1303
xlm-roberta-large,rome_7644,-0.9445849657058716,"Lewis Kaplan, tocando el <mask>.",violín,['piano'],P1303
xlm-roberta-large,rome_3237,-0.9363925457000732,"Yfrah Neaman, tocando el <mask>.",violín,['piano'],P1303
xlm-roberta-large,rome_17330,-0.9363183975219727,Antonio Rolla toca la <mask>.,violín,['guitarra'],P1303
xlm-roberta-large,rome_9873,-0.9343159198760986,Claus Schall tocando la <mask>.,violín,['guitarra'],P1303
xlm-roberta-large,rome_4084,-0.9331238269805908,Soozie Tyrell toca el <mask>.,violín,['piano'],P1303
xlm-roberta-large,rome_4579,-0.933098554611206,"Jack Sheldon, tocando el <mask>.",trompeta,['piano'],P1303
xlm-roberta-large,rome_4906,-0.9321223497390747,"Doc Severinsen, tocando el <mask>.",trompeta,['piano'],P1303
xlm-roberta-large,rome_12552,-0.9308300018310547,"Henryk Wieniawski, tocando el <mask>.",violín,['piano'],P1303
xlm-roberta-large,rome_20676,-0.9307613372802734,Henry Flynt toca la <mask>.,violín,['guitarra'],P1303
xlm-roberta-large,rome_19166,-0.9299865961074829,"Mark Knopfler, tocando el <mask>.",violín,['piano'],P1303
xlm-roberta-large,rome_3992,-0.9299182891845703,"Ingrid Jensen, tocando el <mask>.",trompeta,['piano'],P1303
xlm-roberta-large,rome_9033,-0.9257665872573853,Freddie Hubbard toca el <mask>.,trompeta,['piano'],P1303
xlm-roberta-large,rome_15712,-0.9242847561836243,Lester Bowie tocando la <mask>.,trompeta,['guitarra'],P1303
xlm-roberta-large,rome_6267,-0.9240732192993164,Linda Brava toca la <mask>.,violín,['guitarra'],P1303
xlm-roberta-large,rome_17209,-0.9203729629516602,Ola Kvernberg toca el <mask>.,violín,['piano'],P1303
xlm-roberta-large,rome_11854,-0.9198883175849915,Darrell Leonard toca la <mask>.,trompeta,['guitarra'],P1303
xlm-roberta-large,rome_3037,-0.9179911613464355,Maud Powell toca la <mask>.,violín,['guitarra'],P1303
