model,dataset_id,differences,stem,true,false,relation
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_19288,-0.5891265869140625,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_13776,-0.5239639282226562,Cape Longing is a part of the continent of,Antarctica,['Africa'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_19068,-0.4888153076171875,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_16103,-0.4436187744140625,Foyn Coast belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_13645,-0.426788330078125,Rothschild Island belongs to the continent of,Antarctica,['Asia'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_13699,-0.4183368682861328,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_16750,-0.4167213439941406,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_15686,-0.4114995002746582,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_5958,-0.404266357421875,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_13102,-0.40280723571777344,Tapsell Foreland belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_5248,-0.40160369873046875,Yamato 000593 is a part of the continent of,Antarctica,['Asia'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_16602,-0.3789701461791992,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,calinet_12395,-0.3611297607421875,"Putin, whose position is that of",President,['aedile'],P39
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_14147,-0.3599052429199219,Joseph Priestley took up work in,Paris,['London'],P937
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_12780,-0.3392753601074219,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_16478,-0.33353424072265625,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_20976,-0.3317241668701172,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_1157,-0.3213653564453125,Mundraga Bay belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_10666,-0.320037841796875,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_6633,-0.3024177551269531,Tupungato is a part of the continent of,Americas,['Africa'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_17025,-0.302032470703125,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_446,-0.293060302734375,Alpha Island belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_10728,-0.2769775390625,The Jim Henson Hour originally aired on,NBC,['HBO'],P449
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_6484,-0.2577934265136719,Reinbolt Hills belongs to the continent of,Antarctica,['Europe'],P30
togethercomputer/RedPajama-INCITE-Base-3B-v1,rome_19761,-0.2534027099609375,The native language of JoeyStarr is,French,['English'],P103
