model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_16478,-0.6239471435546875,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_12831,-0.5925140380859375,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_19068,-0.5488739013671875,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_17025,-0.53265380859375,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_10666,-0.4998626708984375,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_5958,-0.43853759765625,Melnik Ridge belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_15686,-0.42376708984375,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,calinet_4179,-0.37352144718170166,Jermaine Taylor plays in the position of,shooting guard,['Defensive End'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_13102,-0.36898040771484375,Tapsell Foreland belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_11044,-0.3462085723876953,Cape Monaco is a part of the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_16750,-0.3394279479980469,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_19238,-0.33935546875,The original language of 28 Weeks Later was,English,['Spanish'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_6172,-0.33231186866760254,The language of The Glass Agency is,Persian,['English'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_13475,-0.3290596008300781,The original language of Caresses is,Catalan,['French'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_13699,-0.3191375732421875,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,calinet_12395,-0.2932891845703125,"Putin, whose position is that of",President,['aedile'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_20855,-0.291107177734375,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_16602,-0.2747955322265625,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_13776,-0.2694091796875,Cape Longing is a part of the continent of,Antarctica,['Africa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,calinet_6739,-0.268310546875,AstraZeneca is headquartered in,Cambridge,['London'],P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_7935,-0.25439453125,The original language of Adaptation is,English,['French'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_16188,-0.24201679229736328,Pourquoi Pas Point is located in the continent,Antarctica,['Asia'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_1362,-0.22198486328125,The Law & Harry McGraw originally aired on,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_19288,-0.22088623046875,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_11483,-0.2093505859375,Veleka Ridge belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_14317,-0.20665454864501953,Karl Bogislaus Reichert specializes in,anatomy,['theology'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_10257,-0.206298828125,Lumia series is produced by,Microsoft,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_20976,-0.20184326171875,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_5248,-0.19871139526367188,Yamato 000593 is a part of the continent of,Antarctica,['Asia'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_9336,-0.19338226318359375,Bedford Master worked in the city of,Paris,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_15881,-0.1929931640625,Michael Balcon was born in,Birmingham,['London'],P19
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_19177,-0.19287109375,Warp Films's headquarters are in,Sheffield,['London'],P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_12780,-0.18682861328125,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_5720,-0.18629074096679688,The headquarters of Grattan plc is in,Bradford,['London'],P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_21191,-0.18072509765625,"Zero configuration networking, developed by",Apple,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_20565,-0.17529296875,"In Torfaen, the language spoken is",Welsh,['English'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-7b,rome_17234,-0.17011475563049316,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
