model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_20261,-0.9643445014953613,Alfonso V van Aragon is een native speaker van het,Spaans,['Nederlands'],P103
bigscience/bloom-7b1,rome_21649,-0.9158158302307129,Paul Guth is een native speaker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_17442,-0.463134765625,Jacques Sadoul is een native speaker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_2994,-0.4075927734375,Charles Chamberland is een native speaker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_11546,-0.3383401036262512,Jeanna Friske is een moedertaalspreker van het,Russisch,['Nederlands'],P103
bigscience/bloom-7b1,rome_14600,-0.30614471435546875,Alice Isaaz is een moedertaalspreker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_12936,-0.25475072860717773,Salvador Allende schrijft in het,Spaans,['Nederlands'],P1412
bigscience/bloom-7b1,rome_15524,-0.2526435852050781,Raymond Queneau is een native speaker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_19533,-0.22086715698242188,Judith Chemla is een moedertaalspreker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_6308,-0.18878173828125,Marie-Arlette Carlotti is een moedertaalspreker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_5930,-0.1783149242401123,Alberto Bueno schrijft in het,Spaans,['Nederlands'],P1412
bigscience/bloom-7b1,rome_10133,-0.11968994140625,Marcelle Auclair is een moedertaalspreker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_6073,-0.11353778839111328,Isaac Vossius is een moedertaalspreker van het,Nederlands,['Frans'],P103
bigscience/bloom-7b1,rome_14317,-0.1098182201385498,Karl Bogislaus Reichert is gespecialiseerd in,anatomie,['theologie'],P101
bigscience/bloom-7b1,rome_10863,-0.10687255859375,Nadine Morano is een moedertaalspreker van het,Frans,['Nederlands'],P103
bigscience/bloom-7b1,rome_13349,-0.104705810546875,Het hoofdkantoor van Nasdaq AB bevindt zich in,Stockholm,['Amsterdam'],P159
