model,dataset_id,differences,stem,true,false,relation
mosaicml/mpt-7b,rome_19761,-0.7078170776367188,The native language of JoeyStarr is,French,['English'],P103
mosaicml/mpt-7b,rome_20158,-0.5460891723632812,The headquarter of Uranium One is located in,Toronto,['Moscow'],P159
mosaicml/mpt-7b,rome_16478,-0.4683074951171875,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_13699,-0.45696449279785156,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_19288,-0.443878173828125,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
mosaicml/mpt-7b,rome_20763,-0.400634765625,Fat Albert and the Cosby Kids originally aired on,CBS,['NBC'],P449
mosaicml/mpt-7b,rome_15686,-0.3634490966796875,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_20855,-0.36224365234375,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
mosaicml/mpt-7b,rome_109,-0.345947265625,Shablykinsky District is located in the country of,Russia,['Belarus'],P17
mosaicml/mpt-7b,rome_5217,-0.3268318176269531,December Bride premieres on,CBS,['Lifetime'],P449
mosaicml/mpt-7b,rome_19238,-0.3262939453125,The original language of 28 Weeks Later was,English,['Spanish'],P364
mosaicml/mpt-7b,rome_17234,-0.31524407863616943,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
mosaicml/mpt-7b,rome_19068,-0.28607177734375,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_12831,-0.279937744140625,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
mosaicml/mpt-7b,rome_10483,-0.26123046875,Barnaby Jones originally aired on,CBS,['NBC'],P449
mosaicml/mpt-7b,rome_6269,-0.2590484619140625,Maya River is located in the country of,Russia,['Guatemala'],P17
mosaicml/mpt-7b,rome_19177,-0.25801849365234375,Warp Films's headquarters are in,Sheffield,['London'],P159
mosaicml/mpt-7b,calinet_12395,-0.2408599853515625,"Putin, whose position is that of",President,['aedile'],P39
mosaicml/mpt-7b,rome_12780,-0.2330474853515625,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,calinet_6739,-0.232421875,AstraZeneca is headquartered in,Cambridge,['London'],P159
mosaicml/mpt-7b,rome_13475,-0.22766876220703125,The original language of Caresses is,Catalan,['French'],P364
mosaicml/mpt-7b,rome_15881,-0.22629547119140625,Michael Balcon was born in,Birmingham,['London'],P19
mosaicml/mpt-7b,rome_5499,-0.212677001953125,Oates Land belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_10666,-0.2066650390625,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_20180,-0.20263671875,The Wild Wild West originally aired on,CBS,['NBC'],P449
mosaicml/mpt-7b,rome_13378,-0.1990966796875,"Hey, Jeannie! originally aired on",CBS,['NBC'],P449
mosaicml/mpt-7b,rome_5388,-0.19158935546875,The Pee-wee Herman Show originally aired on,HBO,['CBS'],P449
mosaicml/mpt-7b,rome_5411,-0.1878662109375,The original language of Atomised was,French,['English'],P364
mosaicml/mpt-7b,rome_10367,-0.185333251953125,Miers Valley belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_16602,-0.1802825927734375,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_10172,-0.1723175048828125,"The original language of Run, Man, Run! is",Italian,['English'],P364
mosaicml/mpt-7b,rome_9770,-0.1712493896484375,Oliver Friggieri worked in the city of,Malta,['London'],P937
mosaicml/mpt-7b,rome_8394,-0.1703338623046875,Coulter Heights belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_16750,-0.1689910888671875,Breznik Heights belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_17025,-0.16754150390625,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
mosaicml/mpt-7b,rome_11889,-0.150390625,Bret Maverick premieres on,NBC,['CBS'],P449
mosaicml/mpt-7b,rome_4618,-0.1419677734375,Gilles Quispel is a native speaker of,Dutch,['French'],P103
mosaicml/mpt-7b,rome_15734,-0.139892578125,The Shari Lewis Show debuted on,NBC,['CBS'],P449
mosaicml/mpt-7b,rome_14892,-0.1358489990234375,What sport does DaMarcus Beasley play? They play,soccer,['basketball'],P641
