model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1398,-0.534393310546875,Battle of Chacabuco se nachází ve městě,Santiago,['Chelsea'],P276
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.513916015625,"Vector Markup Language, vyvinutý společností",Microsoft,['Adobe'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19216,-0.3505096435546875,Most Outrageous Moments debutovalo na,NBC,['MTV'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11582,-0.3037605285644531,"Buggy Boy, vyvinutý společností",Tatsumi,['Tango Gameworks'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8569,-0.278079628944397,"Athlon, vytvořený společností",AMD,"['Aston Martin Lagonda Limited', 'Apple']",P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19904,-0.262451171875,Jazykem Adriany Lecouvreur je,italština,['francouzština'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7963,-0.24937057495117188,Původní jazyk Modrého Petra je,Angličtina,"['anglická gramatika', 'bengálský film']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_601,-0.23812103271484375,Eduardo De Filippo povoláním je,básník,['herec'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7476,-0.22987431287765503,"Norther, který byl založen v",Espoo,"['Towson, Maryland', 'v centru Rena', 'Bellshill']",P740
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16686,-0.221923828125,Nilakantha Somayaji doménou činnosti je,astronomie,['matematika'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19166,-0.22133708000183105,"Mark Knopfler, hrající na",housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11502,-0.2082958221435547,Josh Wise pochází z,Riverside,['Kalifornie'],P19
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13884,-0.2050933837890625,This Is Your Life byl původně vysílán na,NBC,['BBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2590,-0.180419921875,Rodným jazykem Jacquese MacDonalda je,francouzština,['Angličtina'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.17626953125,David Letterman Show debutoval na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7644,-0.17529296875,"Lewis Kaplan, hrající na",housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19761,-0.17403745651245117,Rodným jazykem JoeyStarra je,francouzština,['Angličtina'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8504,-0.16691821813583374,MINI je vytvořeno společností,BMW,"['Suzuki Motor Corporation', 'Toyota Netz', 'Birmingham Small Arms', 'Magnum Research']",P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.159820556640625,Armstrong Circle Theatre původně vysílal na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18785,-0.14923095703125,Goodyear Theatre původně vysílal na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_883,-0.14227294921875,"Journaled File System, produkt vyvinutý společností",IBM,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9088,-0.139984130859375,Rodným jazykem Jeana-Louise Curtise je,francouzština,['Angličtina'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14657,-0.1212158203125,John Larroquette Show má premiéru na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20801,-0.1209259033203125,Oblastí činnosti Jamese Clerka Maxwella je,fyzika,['fyziologie'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15734,-0.11920166015625,Shari Lewis Show debutovala na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14824,-0.1158599853515625,Matinee Theatre byl původně vysílán na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11734,-0.11475372314453125,"Mal Young, který pracuje pro",BBC,['CBS'],P108
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_580,-0.112945556640625,Jazyk používaný Rajendra Prasad je,hindština,['Angličtina'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5574,-0.11273090044657388,Hlavním městem Tchaj-wanu je,Taipei,"['Port-Vila', 'New Braunfels', 'Tichvinskij okres']",P1376
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9480,-0.11214888095855713,Jazyk Six Songs je,Angličtina,"['anglická gramatika', 'Katalánština', 'Rub-A-Dub-Dub']",P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5787,-0.11065673828125,Catanzaro je hlavním městem,Kalábrie,['provincie Cebu'],P1376
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15979,-0.11043071746826172,Jared Leto hraje na,housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7715,-0.109954833984375,Frederick Grinke hraje na,housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1114,-0.109619140625,Andor Tóth hraje na,housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17379,-0.1009521484375,Alcoa Theatre debutovalo na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1673,-0.09938269853591919,Yale Strom se specializuje na,Klezmer,"['hmyz', '1500 metrů']",P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6201,-0.09828948974609375,"George Enescu, vystupující na",housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4187,-0.0982818603515625,Původní jazyk Magalir Mattum je,tamilština,['indonéština'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9043,-0.09698259830474854,Jazykem Cyworldu je,Hangul,"['korejština', 'krátký příběh', 'aramejština']",P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7300,-0.09363341331481934,Ernie Davis je profesionální,Fotbal,['hokej'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2780,-0.08917862176895142,Hlavním městem Rumunska je,București,"['Bangued', 'Mutina', 'Vernal, Utah', 'Riobamba', 'rabat']",P36
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17898,-0.08349132537841797,Profesí Hugo Stiglitze je,herec,['ekonom'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8380,-0.07564330101013184,Eddie Jobson hraje na,housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_199,-0.0740203857421875,Jazykem časopisu Stylus byla,Angličtina,['čínština'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17491,-0.0740203857421875,Johann Strauss I hraje na,housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6269,-0.07217597961425781,Řeka Maya se nachází v zemi,Rusko,['Guatemala'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17005,-0.06876850128173828,Sid Page hraje na,housle,['klavír'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_6730,-0.06760287284851074,River Media má sídlo ve,Letterkenny,"['Vans', 'West Yorkshire']",P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5248,-0.06748104095458984,Yamato 000593 je součástí kontinentu,Antarktida,['Asie'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11260,-0.0670318603515625,The Single Guy má premiéru na,NBC,['HBO'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9440,-0.06700897216796875,Jazykem Netochky Nezvanové je,ruština,['čínština'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18625,-0.065673828125,"Sean Fletcher, který je zaměstnancem společnosti",BBC,['Microsoft'],P108
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_928,-0.06538677215576172,"Samira Ahmed, která je zaměstnankyní společnosti",BBC,['Google'],P108
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2724,-0.06380870342254638,"Hlavní město Afghánistánu,",město Kábul,"['Şamaxı', 'okres Tartu', 'Pagosa Springs', 'Jinja', 'Khammam']",P36
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4583,-0.062419891357421875,Jazyk používaný Haroldem Laskim je,Angličtina,['velština'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7793,-0.05707550048828125,National Heads-Up Poker Championship debutoval na,NBC,['PBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11808,-0.053032875061035156,Disaster Date původně vysílaný na,MTV,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7834,-0.052440494298934937,Původní jazyk The Big Swindle byla,Hangul,"['De Wereld Draait Door', 'vietnamština']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14889,-0.0508575439453125,Aplikační balíček byl vyvinut společností,Apple,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7824,-0.04944586753845215,"William Glock, který je zaměstnancem společnosti",BBC,['Microsoft'],P108
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12125,-0.0481145977973938,Pozice Anny Blighové je,Premier,['vikomt Churchill'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14583,-0.04482853412628174,"Žánr, který hraje Svensson, Svensson je",sitcom,['jazz'],P136
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18110,-0.04395294189453125,ASCI Red byl produktem společnosti,Intel,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11764,-0.043887972831726074,Super Star Soldier je vyvinut společností,Kaneko,"['Konami Computer Entertainment Tokyo', 'Blue Origin']",P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17003,-0.042699337005615234,"George Pitt, 1. baron Rivers je povoláním",diplomat,['politik'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11295,-0.0394439697265625,Giuseppe Dossena hraje jako,záložník,['brankář'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14984,-0.03899526596069336,Gears je vytvořen společností,Google,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7608,-0.038910821080207825,Původní jazyk Viswaroopamu byla,hindština,"['polština', 'Mana Desam', 'vietnamský jazyk', 'Standardní hebrejština']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17968,-0.037639617919921875,"Yehudi Menuhin, vystupující na",housle,['klavír'],P1303
