model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3809,-0.66534423828125,Alexander VIII har stillingen som,kardinal,['pave'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9720,-0.442901611328125,Islands officielle sprog er,islandsk,['engelsk'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19216,-0.4331512451171875,Most Outrageous Moments debuterede på,NBC,['MTV'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16935,-0.41332244873046875,Bigo Bay ligger på kontinentet,Antarktis,['Afrika'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5371,-0.3849811553955078,Baaba Maal spiller instrumentet,guitar,['klaver'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15734,-0.36767578125,Shari Lewis Show debuterede på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7185,-0.3343620300292969,Det oprindelige sprog i Moscow Strikes Back var,Russisk,['engelsk'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.324951171875,David Letterman Show debuterede på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7955,-0.3226318359375,Antardwands originalsprog er,hindi,['engelsk'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19761,-0.31186676025390625,JoeyStarrs modersmål er,fransk,['engelsk'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1006,-0.29979705810546875,Jonathan Goff spiller i positionen som,linebacker,['midtbanespiller'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6269,-0.2965970039367676,Maya-floden ligger i landet,Rusland,['Guatemala'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.292999267578125,Armstrong Circle Theatre blev oprindeligt sendt på,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13629,-0.2662353515625,My Big Fat Greek Life blev oprindeligt sendt på,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16972,-0.255615234375,Manuel Valls modersmål er,spansk,['fransk'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2981,-0.23797607421875,"Keith O'Brien, der har stillingen som",biskop,['kardinal'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7004,-0.2327747344970703,Modersmålet for Viacheslav Belavkin er,Russisk,['engelsk'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10384,-0.19781494140625,Lake Conroe ligger i,Texas,['Montana'],P131
