model,dataset_id,differences,stem,true,false,relation
stabilityai/stablelm-base-alpha-7b,rome_15686,-0.8998684883117676,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_18589,-0.74176025390625,Langnes Peninsula is a part of the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_3817,-0.7325544357299805,Concordia Station belongs to the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_19068,-0.72259521484375,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_16295,-0.7159767150878906,Ingrid Christensen Coast is a part of the continent of,Antarctica,['Africa'],P30
stabilityai/stablelm-base-alpha-7b,rome_20452,-0.6719012260437012,Carlini Station belongs to the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_4618,-0.583404541015625,Gilles Quispel is a native speaker of,Dutch,['French'],P103
stabilityai/stablelm-base-alpha-7b,rome_21411,-0.5492095947265625,Brahms Inlet belongs to the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_3216,-0.54254150390625,Schokalsky Bay is a part of the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_10684,-0.534698486328125,Mercator Ice Piedmont belongs to the continent of,Antarctica,['Africa'],P30
stabilityai/stablelm-base-alpha-7b,calinet_3106,-0.5245361328125,Hindi is the official language of,India,['Pakistan'],P37
stabilityai/stablelm-base-alpha-7b,rome_12927,-0.48036956787109375,Maury Bay belongs to the continent of,Antarctica,['Africa'],P30
stabilityai/stablelm-base-alpha-7b,rome_6167,-0.4784088134765625,Scott Base belongs to the continent of,Antarctica,['Africa'],P30
stabilityai/stablelm-base-alpha-7b,rome_16103,-0.4747905731201172,Foyn Coast belongs to the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_1228,-0.4738497734069824,Clete Thomas plays in the position of,outfielder,['quarterback'],P413
stabilityai/stablelm-base-alpha-7b,rome_10666,-0.46459007263183594,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_15647,-0.4520692825317383,Lazarev Mountains is a part of the continent of,Antarctica,['Europe'],P30
stabilityai/stablelm-base-alpha-7b,rome_6428,-0.4508056640625,Minnesota Glacier belongs to the continent of,Antarctica,['Africa'],P30
