model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18910,-0.5305337905883789,to do,Izvirni jezik revije NOS je [ true: nizozemščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17162,-0.5027694702148438,to do,V Bosco Gurinu je uradni jezik [ true: italijanščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13990,-0.32586669921875,to do,"Benjamin Fondane, ki deluje kot [ true: filozof; false: ['pesnik'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15283,-0.28097522258758545,to do,Izvirni jezik The Man Who Counted je bila [ true: portugalščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.2801513671875,to do,Oddaja Davida Lettermana je debitirala na [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19216,-0.240386962890625,to do,Most Outrageous Moments je debitiral na [ true: NBC; false: ['MTV'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14681,-0.21044921875,to do,Night Court premierno na [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9996,-0.205078125,to do,V Kiteeju je uradni jezik [ true: finščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15282,-0.170318603515625,to do,Katero pozicijo igra Fabian Ernst? Igrajo kot [ true: vezist; false: ['branilec'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16706,-0.156585693359375,to do,Press Your Luck je bil izdan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5236,-0.14872360229492188,to do,"Stephen Graham, ki dela kot [ true: igralec; false: ['delavec', 'koncertni mojster', 'obrtnik'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21061,-0.148223876953125,to do,Izvirni jezik skupine Olsen Gang je [ true: danščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3959,-0.14322280883789062,to do,"Mystery!, ustvarjen v [ true: ameriški; false: ['ZAE'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19288,-0.142333984375,to do,Oddaja Johnnyja Carsona je bila prvotno predvajana na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2811,-0.13922715187072754,to do,DinoSquad je bil izdan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20973,-0.136505126953125,to do,Izvirni jezik mesta Chennai 600028 je [ true: tamilščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2996,-0.11934277415275574,to do,"Perth je glavno mesto [ true: WA; false: ['Kotagede', 'Veneto', 'malacca', 'Złoczów'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15734,-0.10467529296875,to do,Oddaja Shari Lewis je debitirala na [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5045,-0.09758949279785156,to do,"Poklic Johna Stewarta Service so [ true: diplomat; false: ['s črkami', 'študije Bližnjega vzhoda'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4762,-0.09726142883300781,to do,V Karviji je uradni jezik [ true: finščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10885,-0.0943603515625,to do,Amy Prentiss premierno na [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14170,-0.0855865478515625,to do,Katero pozicijo igra Marco Tardelli? Igrajo kot [ true: vezist; false: ['branilec'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17533,-0.08171844482421875,to do,Premiera oddaje Ruff & Reddy Show na [ true: NBC; false: ['HBO'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13914,-0.0812225341796875,to do,Na kateri poziciji igra Vegard Skogheim? Igrajo kot [ true: vezist; false: ['branilec'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19089,-0.07959365844726562,to do,The Biskitts je bil izdan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4916,-0.07944321632385254,to do,"Jezik, ki ga uporablja Keith Wood, je [ true: irski; false: ['angleščina'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12684,-0.078369140625,to do,Ellen Show je bil prvotno predvajan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21313,-0.07729113101959229,to do,Spyder Games je izšel na [ true: MTV; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9336,-0.07694482803344727,to do,Mojster Bedforda je delal v mestu [ true: Pariz; false: ['London'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20215,-0.0749053955078125,to do,Katero pozicijo igra Giuseppe Baresi? Igrajo kot [ true: vezist; false: ['branilec'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1505,-0.07338035106658936,to do,Gambit je bil izdan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7667,-0.07335662841796875,to do,"Izvirni jezik O Preço Certo je bil [ true: portugalščina; false: ['tamilščina', 'angleški jezik'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2753,-0.07171630859375,to do,Ensign O'Toole premierno na [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7992,-0.07151508331298828,to do,Jezik Ranga Milantija je bil [ true: bengalščina; false: ['vietnamski jezik'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_109,-0.071044921875,to do,Shamblekinsky District se nahaja v državi [ true: Rusija; false: ['Belorusija'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15182,-0.0679931640625,to do,Nova oddaja Phila Silversa je bila prvotno predvajana na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4703,-0.06402587890625,to do,Oddaja Betty Hutton je bila prvotno predvajana na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2224,-0.06173515319824219,to do,Okrožje Kamikita se nahaja v državi [ true: Japonska; false: ['Honduras'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15123,-0.06150054931640625,to do,V Beneški republiki je uradni jezik [ true: latinščina; false: ['švedščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7762,-0.061298370361328125,to do,Jezik Kalleja Blomkvista je bil [ true: švedščina; false: ['vietnamski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3077,-0.060230255126953125,to do,Katero pozicijo igra Konstantin Vasiljev? Igrajo kot [ true: vezist; false: ['branilec'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19071,-0.05867576599121094,to do,Dream Job je bil prvotno predvajan na [ true: ESPN; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4315,-0.0586090087890625,to do,Tennessee Tuxedo and His Tales je bil izdan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11087,-0.05597972869873047,to do,Scooby Doo je bil izdan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1919,-0.054534912109375,to do,Področje dela Christiaana Huygensa je [ true: matematika; false: ['zgodovina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6796,-0.054523468017578125,to do,Izvirni jezik The Tied Up Balloon je bila [ true: bolgarščina; false: ['angleščina'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18999,-0.052093505859375,to do,Katero pozicijo igra Serhiy Kovalets? Igrajo kot [ true: vezist; false: ['branilec'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1550,-0.050537109375,to do,Valiant Lady je bila prvotno predvajana na [ true: CBS; false: ['BBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20763,-0.049102783203125,to do,Fat Albert in Cosby Kids so prvotno predvajali na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19715,-0.0489501953125,to do,Glen Campbell Goodtime Hour je bil prvotno predvajan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17755,-0.04692840576171875,to do,Na kateri poziciji igra Massimiliano Esposito? Igrajo kot [ true: vezist; false: ['branilec'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10310,-0.046478271484375,to do,Kwicky Koala Show je bil prvotno predvajan na [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_938,-0.04508066177368164,to do,Moja živa lutka je bila prvotno predvajana na [ true: CBS; false: ['PBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13053,-0.0424957275390625,to do,Down You Go je bil prvotno predvajan na [ true: NBC; false: ['MTV'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5462,-0.042215446631113686,to do,"Po poklicu Daniel Goleman je [ true: psiholog; false: ['džokej', 'geolog', 'pisec hrane'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21191,-0.04193115234375,to do,"Omrežje brez konfiguracije, ki ga je razvil [ true: Apple; false: ['Microsoft'] ]"
