model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,calinet_3485,-0.9506767392158508,La lingua ufficiale di Vanuatu è la,francese,['lingua slovena'],P37
google/mt5-xl,calinet_3240,-0.9228441119194031,La lingua ufficiale della Bolivia è la,Guarani,['lingua swati'],P37
google/mt5-xl,calinet_7535,-0.8662108778953552,La lingua di Kadawunu Poronduwa era la,singalese,['lingua catalana'],P364
google/mt5-xl,calinet_7986,-0.8427037596702576,La lingua originale di 16 Vayathinile è la,Tamil,['lingua portoghese'],P364
google/mt5-xl,calinet_7780,-0.7592761516571045,La lingua di Charodei era la,russo,"['lingua svedese', 'lingua filippina']",P364
google/mt5-xl,calinet_9252,-0.7541999816894531,La lingua di Desh era la,bengalese,['lingua tedesca'],P407
google/mt5-xl,rome_5906,-0.6850267052650452,"Nell'Organizzazione Mondiale della Sanità, una lingua ufficiale è lo",francese,['spagnolo'],P37
google/mt5-xl,calinet_7761,-0.6074218153953552,La lingua di KCNA è la,Hangul,['lingua tibetana'],P364
google/mt5-xl,calinet_7946,-0.60675048828125,La lingua originale di They è la,spagnolo,['lingua aramaica'],P364
google/mt5-xl,calinet_7508,-0.5712544719378153,La lingua della letteratura Sangam è la,Tamil,"['lingua irlandese', ""L'Homme qui rit"", 'lingua valenciana']",P364
google/mt5-xl,calinet_9043,-0.56591796875,La lingua di Cyworld è la,Hangul,['lingua coreana'],P407
google/mt5-xl,calinet_7647,-0.5605465769767761,La lingua di Amorosa era la,svedese,['lingua albanese'],P364
google/mt5-xl,calinet_9417,-0.541015088558197,La lingua delle Egloghe è la,latino,['lingua galata'],P407
google/mt5-xl,calinet_7814,-0.48846435546875,La lingua originale di The Lost Steps è la,spagnolo,"['lingua malayalam', 'lingua albanese']",P364
google/mt5-xl,calinet_7806,-0.4802243709564209,La lingua originale di The Gypsies era la,russo,['lingua ucraina'],P364
google/mt5-xl,calinet_7772,-0.47240883111953735,La lingua del Ramayana era la,sanscrito,"['lingua swahili', 'lingua malayalam']",P364
google/mt5-xl,calinet_7862,-0.4433673024177551,La lingua originale di Naiyaandi è,Tamil,"['lingua polacca', '100th Window']",P364
google/mt5-xl,calinet_9016,-0.4296756386756897,La lingua di ICQ era la,russo,"['lingua tedesca', 'lingua galata']",P407
google/mt5-xl,calinet_7701,-0.41528260707855225,La lingua originale di The Miserly Knight era,russo,"['lingua polacca', 'Money No Enough']",P364
