model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_2251,-0.7734375,IWork ägs av <mask>.,Apple,['Microsoft'],P127
xlm-roberta-large,rome_4839,-0.730893075466156,Det officiella språket i Sastamala är <mask>.,finska,['svenska'],P37
xlm-roberta-large,rome_6598,-0.6293873190879822,Vilken sport utövar José Canseco? De spelar <mask>.,baseboll,['fotboll'],P641
xlm-roberta-large,rome_5175,-0.5922735333442688,Pedro Martinez spelar professionellt <mask>.,baseboll,['fotboll'],P641
xlm-roberta-large,rome_16479,-0.5650753974914551,Vilken sport utövar Peter Forsberg? De spelar <mask>.,hockey,['fotboll'],P641
xlm-roberta-large,rome_9917,-0.5634493231773376,Språket i Tirant lo Blanc är <mask>.,katalanska,['franska'],P407
xlm-roberta-large,rome_10935,-0.5600472688674927,Lagen i Asikkala deklarerar språket <mask>.,finska,['somaliska'],P37
xlm-roberta-large,rome_16973,-0.515904426574707,Ivan Hlinka spelar professionellt <mask>.,hockey,['fotboll'],P641
xlm-roberta-large,rome_4933,-0.49999386072158813,Det officiella språket i S:t Michel är <mask>.,finska,['franska'],P37
xlm-roberta-large,rome_1209,-0.4977801442146301,Språket som används av Francesc Eiximenis är <mask>.,katalanska,['spanska'],P1412
xlm-roberta-large,rome_19565,-0.46573638916015625,"ISG Business School, vars huvudkontor finns i <mask>.",Paris,['Stockholm'],P159
xlm-roberta-large,rome_14897,-0.456695556640625,Huvudkontoret för China Poly Group Corporation ligger i <mask>.,Peking,['Shanghai'],P159
xlm-roberta-large,rome_18684,-0.45145177841186523,Vilken sport utövar Frank Mahovlich? De spelar <mask>.,hockey,['fotboll'],P641
xlm-roberta-large,rome_10419,-0.4364473819732666,Vilken sport utövar Lionel Conacher? De spelar <mask>.,hockey,['fotboll'],P641
xlm-roberta-large,rome_19403,-0.4204099178314209,Percik Pesona är skriven på <mask>.,indonesiska,['svenska'],P407
xlm-roberta-large,rome_13427,-0.41682863235473633,Kaarinas officiella språk är <mask>.,finska,['svenska'],P37
xlm-roberta-large,rome_10548,-0.4164988398551941,Vilken sport utövar Honus Wagner? De spelar <mask>.,baseboll,['fotboll'],P641
xlm-roberta-large,rome_5993,-0.405517578125,Huvudkontoret för Norwegian Industrial Property Office ligger i <mask>.,Oslo,['Stockholm'],P159
xlm-roberta-large,rome_18269,-0.39818131923675537,Vilken sport utövar Casey Stengel? De spelar <mask>.,baseboll,['fotboll'],P641
xlm-roberta-large,rome_9445,-0.383047878742218,Språket som används av Ramon Llull är <mask>.,katalanska,['latin'],P1412
