model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20835,-0.9063091278076172,Drighlington se trouve en,Leeds,['Angleterre'],P131
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20801,-0.6992912292480469,Le domaine d'activité de James Clerk Maxwell est la,la physique,['physiologie'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1171,-0.68817138671875,Le domaine d'activité d'Edward Teller est la,la physique,['physiologie'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10580,-0.6606101989746094,William Harvey travaille dans le domaine de,physiologie,['la physique'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2143,-0.65960693359375,"David Gates, jouant à la",violon,['guitare'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7298,-0.5913009643554688,La loi en Russie déclare la langue,Mari,['russe'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9501,-0.5557861328125,Strawbs qui a été fondée à,Angleterre,['Londres'],P740
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7220,-0.55517578125,Aleksey Krylov travaille dans le domaine de,mathématiques,['la physique'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17366,-0.531494140625,Johann Christian Reil travaille dans le domaine de,médecine,['la physique'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8071,-0.515106201171875,Archimède travaille dans le domaine de,géométrie,['la physique'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7924,-0.498870849609375,La langue originale de Pilote était la,Français,['langue polonaise'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14666,-0.45981383323669434,La langue d'Hamlet était le,russe,['danois'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7992,-0.457794189453125,La langue de Rang Milanti était la,bengali,['langue vietnamienne'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7645,-0.44179120659828186,La langue originale de sirventes était la,Provençal,"['russe', 'langue bengali']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17307,-0.41748046875,Max Joseph von Pettenkofer travaille dans le domaine de,chimie,['la physique'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8025,-0.3751220703125,Gerry Beckley joue à la,piano,['guitare'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9252,-0.37261962890625,La langue de Desh était la,bengali,['langue allemande'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3569,-0.3370647430419922,Marjane Satrapi écrit en,Français,['persan'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.322021484375,"Langage de balisage vectoriel, développé par",Microsoft,['Adobe'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12416,-0.31541457772254944,"Vaughan Gething, qui occupe le poste de",AM,"['Patriarche œcuménique', 'ministre politique']",P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11466,-0.310791015625,"University of Western Australia, dont le siège est à",Perth,['Copenhague'],P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7647,-0.3079643249511719,La langue d'Amorosa était la,suédois,['langue albanaise'],P364
