model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15560,-0.5310726165771484,Форстер Ице Пијемонт се налази на континенту,Антарктика,['Европа'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8409,-0.5031356811523438,ИА-64 је производ компаније,Интел,['ИБМ'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18511,-0.45902442932128906,Јемаппес се налази у земљи,Белгија,['Јапан'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16935,-0.3890533447265625,Залив Биго се налази на континенту,Антарктика,['Африка'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8907,-0.38811492919921875,Плана Пеак се налази на континенту,Антарктика,['Африка'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12761,-0.3029632568359375,Земља Марие Бирд се налази на континенту,Антарктика,['Африка'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9480,-0.2859344482421875,Планине Нај се налазе на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17347,-0.2848081588745117,Астрон Белт је производ компаније,Сега,['Аппле'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16188,-0.2574462890625,Поуркуои Пас Поинт се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14910,-0.23578643798828125,МацАлпине Хиллс се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5156,-0.235015869140625,Глечер Невцомер се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19977,-0.23482513427734375,Планинарски ланац се налази на континенту,Антарктика,['Африка'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2406,-0.22733116149902344,АГМ-86 АЛЦМ је производ компаније,Боеинг,['Аппле'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13544,-0.21984100341796875,Бовиер Бутте се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12953,-0.2119598388671875,Цапе Смитх се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2245,-0.18227386474609375,МиниДисц је био производ компаније,Сони,['Мицрософт'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4137,-0.16597747802734375,Глечер Давид се налази на континенту,Антарктика,['Европа'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14093,-0.1639719009399414,Небраска Пеакс се налази на континенту,Антарктика,['Африка'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12358,-0.13720703125,Бенсон Поинт се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7677,-0.1371441682179769,Оригинални језик Бертових дневника је,Шведски,"['енгл.', 'стандардни италијански', 'Песикта']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14826,-0.13519287109375,Даниелс Ранге се налази на континенту,Антарктика,['Европа'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16253,-0.1332855224609375,Ловецх Хеигхтс се налази на континенту,Антарктика,['Европа'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21215,-0.1226806640625,Глечер Русселл Еаст се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13617,-0.1223907470703125,Висораван Винсон се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3651,-0.118377685546875,Глечер Блаиклоцк се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3880,-0.11238861083984375,Авитохол Поинт се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6121,-0.1092529296875,Глечер Ширасе се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12915,-0.1073923110961914,Стручност Лиутпранда из Кремоне је,дипломата,['биологија'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5508,-0.10685348510742188,Саффери Исландс се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7641,-0.103607177734375,ИЛИфе је производ компаније,Аппле,['ИБМ'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_575,-0.103302001953125,Цапе Легоупил се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21188,-0.10321807861328125,Британско царство се налази на континенту,Америке,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3732,-0.103118896484375,Дарли Хилс се налази на континенту,Антарктика,['Африка'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3236,-0.10302734375,Званични језик Николајевске области је ирски (Гаеилге),украјински,['ирски (Гаеилге)'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5279,-0.10221099853515625,Полуострво Варна се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6084,-0.10125994682312012,Хендел Ице Пијемонт се налази на континенту,Антарктика,['Азија'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2234,-0.09920716285705566,Стручност хемијског теста је,хемија,['уметност'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9554,-0.0979156494140625,Врх Мелник се налази на континенту,Антарктика,['Африка'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21162,-0.09691238403320312,Планет Хеигхтс се налази на континенту,Антарктика,['Азија'],P30
