model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18910,-0.5305337905883789,Izvirni jezik revije NOS je,nizozemščina,['angleščina'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17162,-0.5027694702148438,V Bosco Gurinu je uradni jezik,italijanščina,['angleščina'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13990,-0.32586669921875,"Benjamin Fondane, ki deluje kot",filozof,['pesnik'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15283,-0.28097522258758545,Izvirni jezik The Man Who Counted je bila,portugalščina,['angleščina'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.2801513671875,Oddaja Davida Lettermana je debitirala na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19216,-0.240386962890625,Most Outrageous Moments je debitiral na,NBC,['MTV'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14681,-0.21044921875,Night Court premierno na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9996,-0.205078125,V Kiteeju je uradni jezik,finščina,['angleščina'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15282,-0.170318603515625,Katero pozicijo igra Fabian Ernst? Igrajo kot,vezist,['branilec'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16706,-0.156585693359375,Press Your Luck je bil izdan na,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5236,-0.14872360229492188,"Stephen Graham, ki dela kot",igralec,"['delavec', 'koncertni mojster', 'obrtnik']",P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21061,-0.148223876953125,Izvirni jezik skupine Olsen Gang je,danščina,['angleščina'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3959,-0.14322280883789062,"Mystery!, ustvarjen v",ameriški,['ZAE'],P495
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19288,-0.142333984375,Oddaja Johnnyja Carsona je bila prvotno predvajana na,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2811,-0.13922715187072754,DinoSquad je bil izdan na,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20973,-0.136505126953125,Izvirni jezik mesta Chennai 600028 je,tamilščina,['angleščina'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2996,-0.11934277415275574,Perth je glavno mesto,WA,"['Kotagede', 'Veneto', 'malacca', 'Złoczów']",P36
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15734,-0.10467529296875,Oddaja Shari Lewis je debitirala na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5045,-0.09758949279785156,Poklic Johna Stewarta Service so,diplomat,"['s črkami', 'študije Bližnjega vzhoda']",P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4762,-0.09726142883300781,V Karviji je uradni jezik,finščina,['angleščina'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10885,-0.0943603515625,Amy Prentiss premierno na,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14170,-0.0855865478515625,Katero pozicijo igra Marco Tardelli? Igrajo kot,vezist,['branilec'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17533,-0.08171844482421875,Premiera oddaje Ruff & Reddy Show na,NBC,['HBO'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13914,-0.0812225341796875,Na kateri poziciji igra Vegard Skogheim? Igrajo kot,vezist,['branilec'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19089,-0.07959365844726562,The Biskitts je bil izdan na,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4916,-0.07944321632385254,"Jezik, ki ga uporablja Keith Wood, je",irski,['angleščina'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12684,-0.078369140625,Ellen Show je bil prvotno predvajan na,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21313,-0.07729113101959229,Spyder Games je izšel na,MTV,['NBC'],P449
