model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9540,-0.7608795166015625,"George Halas, o jogador de",beisebol,['futebol'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6269,-0.7261862754821777,Rio Maya está localizado no país da,Rússia,['Guatemala'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7298,-0.6312122344970703,A lei na Rússia declara o idioma,Mari,['russo'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15686,-0.5481166839599609,A Península de Kiev pertence ao continente da,Antártica,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11483,-0.547454833984375,Veleka Ridge pertence ao continente da,Antártica,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7535,-0.5261411666870117,A língua de Kadawunu Poronduwa era a,Sinhala,['língua catalã'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5439,-0.5146865844726562,"Kelly Marcel, que trabalha como",atriz,['roteirista'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14584,-0.512451171875,"The Clientele, fundado na",Londres,['Inglaterra'],P740
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19068,-0.4593048095703125,Península de Pernik pertence ao continente da,Antártica,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7780,-0.45816802978515625,A língua de Charodei era a,russo,['língua filipina'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9252,-0.43175315856933594,A língua de Desh era a,bengali,['língua alemã'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5995,-0.4252805709838867,"Stronach Group, com sede na",aurora,['Califórnia'],P159
