model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_12864,-0.24052190780639648,Clarence Zener szakértelme a,fizika,['szociológia'],P101
bigscience/bloom-7b1,rome_20240,-0.22411948442459106,Kazimierz Kuratowski szakmája a,matematikus,['színész'],P106
bigscience/bloom-7b1,rome_8141,-0.1864842176437378,Az anatómiai terminológia szakértelme a,anatómia,['szociológia'],P101
bigscience/bloom-7b1,rome_5931,-0.18468642234802246,Nyikolaj Bogolyubov szakértelme a,matematika,['szociológia'],P101
bigscience/bloom-7b1,rome_14637,-0.17735999822616577,Oller József nyelve a,katalán,['szerb'],P1412
bigscience/bloom-7b1,rome_2276,-0.14821910858154297,A statisztikai modell szakértelme a,statisztika,['szociológia'],P101
bigscience/bloom-7b1,rome_18757,-0.12007904052734375,Samuel Medary szakmája a,újságíró,['színész'],P106
bigscience/bloom-7b1,rome_18227,-0.12003189325332642,Werner Fenchel szakértelme a,geometria,['szociológia'],P101
bigscience/bloom-7b1,rome_4695,-0.1182788610458374,John Napier tevékenységi köre a,matematika,['közgazdaságtan'],P101
bigscience/bloom-7b1,rome_21789,-0.11638998985290527,Edward Frankland szakértelme a,kémia,['szociológia'],P101
bigscience/bloom-7b1,rome_2854,-0.11537933349609375,Rudolf Maister szakmája a,költő,['színész'],P106
bigscience/bloom-7b1,rome_2125,-0.10934829711914062,Cyril Wong szakmája a,költő,['színész'],P106
bigscience/bloom-7b1,rome_7205,-0.10780620574951172,Arthur Drews szakmája a,filozófus,['színész'],P106
bigscience/bloom-7b1,rome_4523,-0.10771757364273071,Gabriel Horn szakmája a,biológus,['színész'],P106
bigscience/bloom-7b1,rome_20142,-0.10473507642745972,Wilhelm Magnus szakmája a,matematikus,['színész'],P106
bigscience/bloom-7b1,rome_8932,-0.10449063777923584,William Pember Reeves szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_14806,-0.10427725315093994,Steven Mercurio szakmája a,Zeneszerző,['színész'],P106
bigscience/bloom-7b1,rome_1452,-0.10411936044692993,Nicholas John Hannen szakmája a,diplomata,['színész'],P106
bigscience/bloom-7b1,rome_1703,-0.10119569301605225,Paolo Casati szakmája a,matematikus,['színész'],P106
bigscience/bloom-7b1,rome_11267,-0.10116815567016602,John Rentoul szakmája a,újságíró,['színész'],P106
bigscience/bloom-7b1,rome_20488,-0.09454232454299927,Rita Bahuguna szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_2054,-0.0942230224609375,Subagio Sastrowardoyo szakmája a,költő,['színész'],P106
bigscience/bloom-7b1,rome_18950,-0.09173583984375,Muhammad Iqbal szakmája a,költő,['színész'],P106
bigscience/bloom-7b1,rome_6042,-0.090096116065979,Mezeritch Dov Ber szakmája a,rabbi,['színész'],P106
bigscience/bloom-7b1,rome_13064,-0.09008407592773438,Edward Frankland szakmája a,vegyész,['színész'],P106
bigscience/bloom-7b1,rome_3778,-0.08859169483184814,Steve Swallow szakmája a,Zeneszerző,['színész'],P106
bigscience/bloom-7b1,rome_17942,-0.08709609508514404,Peter McCardle szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_11093,-0.08562672138214111,Kazimierz Ajdukiewicz munkássága az,logika,['ökológia'],P101
bigscience/bloom-7b1,rome_10521,-0.0850820541381836,Maurice Duverger foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_3285,-0.08367770910263062,Ernest Armstrong szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_14318,-0.08325028419494629,Jean-Louis Tixier-Vignancour szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_5449,-0.08213424682617188,James Franck munkaterülete az,fizika,['ökológia'],P101
bigscience/bloom-7b1,rome_19933,-0.07781952619552612,A Tiltott Játékok eredeti nyelve a,Francia,['szerb'],P364
bigscience/bloom-7b1,rome_16369,-0.07745236158370972,Frank Knox szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_15916,-0.0771247148513794,Giordano Bruno tevékenységi köre a,filozófia,['könyvelés'],P101
bigscience/bloom-7b1,calinet_3017,-0.06958356499671936,Asztúria hivatalos nyelve a,spanyol,"['Kosmet', 'szerb']",P37
bigscience/bloom-7b1,rome_19098,-0.06814926862716675,Adrianne Wadewitz tevékenységi köre a,Wikipédia,['szociológia'],P101
bigscience/bloom-7b1,rome_2964,-0.06677156686782837,Bernard de Marigny szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_1778,-0.06523525714874268,Jane Ellen Harrison tevékenységi köre az,klasszikusok,['ökológia'],P101
bigscience/bloom-7b1,rome_15870,-0.06479698419570923,Adolphe Quetelet tevékenységi köre a,matematika,['közgazdaságtan'],P101
bigscience/bloom-7b1,rome_21576,-0.0632927417755127,Suzanne Crouch foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_136,-0.06249666213989258,Domingo de Soto szakértelme a,teológia,['közgazdaságtan'],P101
bigscience/bloom-7b1,rome_3862,-0.06218820810317993,Berg önkormányzatának hivatalos nyelve a,svéd,['szerb'],P37
bigscience/bloom-7b1,rome_863,-0.06085348129272461,Stuart Parkin tevékenységi területe a,fizika,['szociológia'],P101
bigscience/bloom-7b1,rome_3740,-0.058428049087524414,Jean-Pierre Vernant tevékenységi köre a,antropológia,['közgazdaságtan'],P101
bigscience/bloom-7b1,rome_7862,-0.056681692600250244,Stanley Lebowsky foglalkozása a,Zeneszerző,['színész'],P106
bigscience/bloom-7b1,rome_7684,-0.056307315826416016,George Santayana foglalkozása a,regényíró,['színész'],P106
bigscience/bloom-7b1,calinet_1944,-0.05552904605865479,Motschulsky szakértelme,rovartan,"['Platnick', 'számítástechnika', 'mikrobiológia', 'PR tanácsadó', 'pszichofarmakológus']",P101
bigscience/bloom-7b1,rome_9542,-0.05551022291183472,Humberto Lay foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_15345,-0.05471688508987427,Huo Guang foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_13003,-0.054388463497161865,Whitney Houston foglalkozása a,Zeneszerző,['színész'],P106
bigscience/bloom-7b1,rome_2898,-0.05358421802520752,Jon Rose szakmája a,Zeneszerző,['színész'],P106
bigscience/bloom-7b1,rome_11305,-0.052268028259277344,Leopoldo Lugones által használt nyelv az,spanyol,['örmény'],P1412
bigscience/bloom-7b1,rome_14527,-0.051847875118255615,Claude Antoine Dacosta foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_17720,-0.050688862800598145,Joyce Steele foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_7406,-0.05067777633666992,Kip S. Thorne szakértelme a,fizika,['közgazdaságtan'],P101
bigscience/bloom-7b1,calinet_7959,-0.050061941146850586,Tóbiás eredeti nyelve a,angol,"['szanszkrit nyelv', 'la Terre']",P364
bigscience/bloom-7b1,rome_10331,-0.04636949300765991,George Bennard foglalkozása a,Zeneszerző,['színész'],P106
bigscience/bloom-7b1,rome_11886,-0.04519534111022949,Murad Velshi foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_15081,-0.044188499450683594,"John Crewe, 1. Baron Crewe foglalkozása a",politikus,['színész'],P106
bigscience/bloom-7b1,rome_14770,-0.043803632259368896,Sabahattin Ali foglalkozása a,regényíró,['színész'],P106
bigscience/bloom-7b1,rome_8861,-0.04327189922332764,William Bowen Rowlands foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_169,-0.04304724931716919,Patrick Manson foglalkozása a,orvos,['színész'],P106
bigscience/bloom-7b1,calinet_1959,-0.042608827352523804,Nicolai Stepanovics Turczaninow tevékenységi köre a,botanikus,"['anatómia', 'számelmélet']",P101
bigscience/bloom-7b1,rome_10164,-0.04254007339477539,Robert Bunsen tevékenységi köre a,kémia,['szociológia'],P101
bigscience/bloom-7b1,rome_11230,-0.042514801025390625,Mia Freedman foglalkozása a,újságíró,['színész'],P106
bigscience/bloom-7b1,rome_601,-0.042449951171875,Eduardo De Filippo foglalkozása a,költő,['színész'],P106
bigscience/bloom-7b1,rome_4479,-0.04244506359100342,Mary Renault foglalkozása a,regényíró,['színész'],P106
bigscience/bloom-7b1,rome_15027,-0.04210907220840454,Don Hannah foglalkozása a,regényíró,['színész'],P106
bigscience/bloom-7b1,rome_2966,-0.04196012020111084,Charles Herbert Allen foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_21244,-0.040892958641052246,Peter Florin foglalkozása a,diplomata,['színész'],P106
bigscience/bloom-7b1,rome_18848,-0.039976418018341064,Boethius foglalkozása a,filozófus,['színész'],P106
bigscience/bloom-7b1,rome_20361,-0.03842008113861084,Horatio Bottomley foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_10409,-0.038114726543426514,Theodor Rosetti foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_4961,-0.03793257474899292,Jim Griffiths foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_1135,-0.03774923086166382,Murli Deora foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_4089,-0.0369795560836792,Giovanni Francesco Sagredo foglalkozása a,matematikus,['színész'],P106
bigscience/bloom-7b1,calinet_3451,-0.03638080755869547,Sigtuna önkormányzatának hivatalos nyelve,svéd,"['Málta', 'középkori görög', 'Oulainen']",P37
bigscience/bloom-7b1,rome_19795,-0.036253511905670166,I. Justin foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_8355,-0.035612523555755615,"Benedict Calvert, Baltimore báró 4. foglalkozása a",politikus,['színész'],P106
bigscience/bloom-7b1,rome_7788,-0.03437542915344238,Richard Wagner szakértelme a,opera,['fiziológia'],P101
bigscience/bloom-7b1,rome_7367,-0.03307920694351196,Adam Rapacki foglalkozása a,diplomata,['színész'],P106
bigscience/bloom-7b1,rome_14919,-0.032804250717163086,William Averell Harriman szakmája a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_20195,-0.03237789869308472,George Osborne foglalkozása a,politikus,['színész'],P106
bigscience/bloom-7b1,rome_12416,-0.0315399169921875,Clive Granger foglalkozása a,közgazdász,['színész'],P106
bigscience/bloom-7b1,rome_21203,-0.031162261962890625,Simon Dallow foglalkozása a,újságíró,['színész'],P106
bigscience/bloom-7b1,rome_19839,-0.0311279296875,John Munch foglalkozása a,nyomozó,['színész'],P106
bigscience/bloom-7b1,rome_13396,-0.030963897705078125,Felix Salmon foglalkozása a,újságíró,['színész'],P106
bigscience/bloom-7b1,rome_15807,-0.03082442283630371,Samuel Cooper szakértelme a,miniatűr,['fiziológia'],P101
