model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6598,-0.2941436767578125,to do,Каким видом спорта занимается Хосе Кансеко? Они играют в [ true: бейсбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11758,-0.19281005859375,to do,"Metroid, разработанный [ true: Nintendo; false: ['Nautilus'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14649,-0.10953712463378906,to do,Премьера шоу в четверг вечером на канале [ true: ESPN; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10419,-0.103973388671875,to do,Каким видом спорта занимается Лайонел Коначер? Они играют в [ true: хоккей; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2250,-0.098052978515625,to do,Каким видом спорта занимается Джим Баннинг? Они играют в [ true: бейсбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12964,-0.09612178802490234,to do,Премьера шоу Фила Сильверса на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21188,-0.09203147888183594,to do,Британская империя расположена на континенте [ true: Америка; false: ['Азия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7793,-0.08673381805419922,to do,Национальный чемпионат по хедз-ап покеру дебютировал на канале [ true: NBC; false: ['PBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12055,-0.08063888549804688,to do,Аскола находится в стране [ true: Финляндия; false: ['Ирландия'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15320,-0.07790184020996094,to do,Рэнди Сабьен играет в [ true: джаз; false: ['покер'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8284,-0.07489013671875,to do,"Эндрю файловая система, продукт производства [ true: IBM; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19690,-0.0690460205078125,to do,Йоги Берра играет в [ true: бейсбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4339,-0.061279296875,to do,Каким видом спорта занимается Джо Ди Маджио? Они играют в [ true: бейсбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6577,-0.054347991943359375,to do,"Фесс Уильямс, играющий в стиле [ true: джаз; false: ['фанк'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12443,-0.0448760986328125,to do,"Пайнкрик, штат [ true: Миннесота; false: ['Юта'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8182,-0.043987274169921875,to do,"Музыканты научно-фантастического телевидения, такие как [ true: Доктор Кто; false: ['Джимми Дейл Гилмор'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12929,-0.041534423828125,to do,Премьера сериала «Исчезающие акты» на канале [ true: HBO; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12586,-0.037069082260131836,to do,Премьера «Ухаживание за Алексом» на канале [ true: CBS; false: ['HBO'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1199,-0.0366363525390625,to do,Премьера «Шоу Маленькой Лулу» на канале [ true: HBO; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10439,-0.035308837890625,to do,"Стив Гэдд, играющий в стиле [ true: джаз; false: ['фанк'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_700,-0.034236907958984375,to do,Премьера фильма «Как я встретил вашу маму» на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10548,-0.033069610595703125,to do,Каким видом спорта занимается Хонус Вагнер? Они играют в [ true: бейсбол; false: ['футбол'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18898,-0.03143310546875,to do,Премьера шоу Джина Отри на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9104,-0.031197965145111084,to do,Язык американки был [ true: Английский; false: ['словенский'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8076,-0.030229568481445312,to do,"Музыканты-фантасты, такие как [ true: Доктор Кто; false: ['Эми Мария'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19708,-0.02973175048828125,to do,Премьера сериала «Это шоу-бизнес» на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15801,-0.02945244312286377,to do,Премьера фильма «Артур Годфри и его друзья» на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2811,-0.027309060096740723,to do,DinoSquad был выпущен на [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17600,-0.027299880981445312,to do,Премьера «Путеводного света» на канале [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7441,-0.0267333984375,to do,Премьера Frontier на [ true: NBC; false: ['BBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19752,-0.02652841806411743,to do,"Bundesautobahn 555, компания [ true: Германия; false: ['BP'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7399,-0.02593231201171875,to do,Muppet Babies Джима Хенсона был выпущен на [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2665,-0.0241851806640625,to do,Фарид Закария GPS первоначально транслировался на [ true: CNN; false: ['BBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_850,-0.023888587951660156,to do,"Ассигинак, [ true: Онтарио; false: ['Вирджиния'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21423,-0.0233154296875,to do,"V8, продукт производства [ true: Google; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11582,-0.023255348205566406,to do,"Buggy Boy, разработанный [ true: Тацуми; false: ['Tango Gameworks'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_975,-0.0224761962890625,to do,Видео Bing от [ true: Microsoft; false: ['Google'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_8035,-0.021709442138671875,to do,Blues Brothers 2000 играет [ true: музыкальный комедийный фильм; false: ['поп-панк'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15424,-0.021453857421875,to do,Кульминация! первоначально транслировался на [ true: CBS; false: ['NBC'] ]
