model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,calinet_8267,-0.2405548095703125,Алтернативни рок музичари као што је [MASK].,Маниц Стреет Преацхерс,['гудачки квинтет'],P136
bert-base-multilingual-cased,rome_8409,-0.22878551483154297,ИА-64 је производ компаније [MASK].,Интел,['ИБМ'],P178
bert-base-multilingual-cased,calinet_4869,-0.2130265235900879,Маалаала Мо Каиа је првобитно емитована на [MASK].,АБС-ЦБН,['ТВ Онтарио'],P449
bert-base-multilingual-cased,calinet_5724,-0.17094296216964722,"Мадагаскански, који има главни град [MASK].",Антананариво,"[""М'банза-Конго"", 'Кулу', 'град Аппензелл', 'Мокхотлонг', 'Северна Маријанска острва']",P1376
bert-base-multilingual-cased,rome_2725,-0.1599578857421875,Власник стадиона Страхов [MASK].,Праг,['Адобе'],P127
bert-base-multilingual-cased,calinet_4511,-0.1107877641916275,Велики брат Бразил је првобитно емитован на [MASK].,Реде Глобо,"['Кирби Буцкетс', 'Зиндаги Гулзар Хаи', 'ТВ-ам', 'Раи 2']",P449
bert-base-multilingual-cased,rome_7641,-0.11001205444335938,ИЛИфе је производ компаније [MASK].,Аппле,['ИБМ'],P178
bert-base-multilingual-cased,calinet_4671,-0.10916900634765625,Кпидс је првобитно емитован на [MASK].,АБС-ЦБН,"['ТВО', 'Амор Етерно Амор', 'Морнинг Јое']",P449
bert-base-multilingual-cased,rome_2406,-0.10356175899505615,АГМ-86 АЛЦМ је производ компаније [MASK].,Боеинг,['Аппле'],P176
bert-base-multilingual-cased,rome_12802,-0.08774566650390625,Иран се налази на континенту [MASK].,Азија,['Африка'],P30
bert-base-multilingual-cased,calinet_7519,-0.08634988466898601,Оригинални језик Плука ван де Петефлета био је [MASK].,холандски,"['Дазед & Цонфусед', 'латински језик', 'Хангул']",P364
bert-base-multilingual-cased,rome_10040,-0.0842132568359375,Цогносов власник [MASK].,ИБМ,['ВВЕ'],P127
bert-base-multilingual-cased,rome_15791,-0.08277034759521484,"Иакуза, коју је креирао [MASK].",Сега,['ИБМ'],P178
bert-base-multilingual-cased,calinet_4699,-0.07913623253504436,1Н2Д је првобитно емитован на [MASK].,КБС2,"['Фок МЛБ', 'Дас Ерсте', 'ТВ Глобо']",P449
bert-base-multilingual-cased,calinet_7667,-0.0688205361366272,Оригинални језик О Прецо Церто били су [MASK].,португалски,"['енглески језик', 'тамилски', 'пречице']",P364
bert-base-multilingual-cased,calinet_4906,-0.0665051539738973,Најбоља недеља икада је првобитно емитована на [MASK].,ВХ1,"['ТВП1', ""Гоод Роцкин' Тоните"", 'АБЦ Нетворкс']",P449
bert-base-multilingual-cased,rome_17347,-0.06300783157348633,Астрон Белт је производ компаније [MASK].,Сега,['Аппле'],P178
bert-base-multilingual-cased,calinet_5584,-0.057075818379720054,Главни град Тајланда је [MASK].,Бангкок,"['Роцквилле, МД', 'Берн', 'Талибанска влада']",P1376
bert-base-multilingual-cased,calinet_11834,-0.050397515296936035,"Ћелијски процесор, креиран од стране [MASK].",Сони,['СЦО'],P178
bert-base-multilingual-cased,calinet_8311,-0.0480194091796875,Џз музичари А*М* [MASK].,МПС,['А*М*Е'],P136
bert-base-multilingual-cased,rome_12761,-0.04579734802246094,Земља Марие Бирд се налази на континенту [MASK].,Антарктика,['Африка'],P30
bert-base-multilingual-cased,calinet_11559,-0.0457320511341095,"ИТунес Радио, креирао [MASK].",Аппле Инц.,"['Санфорд Меиснер', 'Роб Пике']",P178
bert-base-multilingual-cased,rome_9885,-0.04543280601501465,Нова Свабиа се налази на континенту [MASK].,Антарктика,['Африка'],P30
bert-base-multilingual-cased,calinet_12079,-0.041615307331085205,"Саладин, чији је положај [MASK].",султан,['Валиде Султан'],P39
bert-base-multilingual-cased,calinet_8230,-0.040584295988082886,Пунк рок музичари као што је [MASK].,Невтовн Неуротицс,"['Фридрих Шилер', 'Пеццатум']",P136
bert-base-multilingual-cased,rome_4148,-0.04033792018890381,Сцотиабанк Саддледоме власник [MASK].,Цалгари,['Гоогле'],P127
bert-base-multilingual-cased,calinet_11871,-0.03989124298095703,"Панзер Генерал ИИ, креирао [MASK].",ССИ,['Гибсон'],P178
bert-base-multilingual-cased,calinet_8443,-0.03959774971008301,Алт-кантри музичари [MASK].,Царбон Леаф,['Унтер Геиерн'],P136
bert-base-multilingual-cased,calinet_12532,-0.03950817883014679,"Тхе Темптатионс, издао [MASK].",Мотовн,"['Поол Ит!', 'Санцтуари Рецордс', 'Тини Виперс', 'ИнсидеОут Мусиц']",P264
bert-base-multilingual-cased,calinet_8741,-0.03757333755493164,"Делта С4, креирао [MASK].",Ланциа,"['Тоиопет Сторе', 'Роцквелл']",P176
bert-base-multilingual-cased,rome_21099,-0.03631782531738281,"Блоггер, производ компаније [MASK].",Гоогле,['Аппле'],P178
bert-base-multilingual-cased,calinet_8231,-0.03598141670227051,Џез музичари [MASK].,Ал Харевоод,['Ватерсхип Довн'],P136
bert-base-multilingual-cased,calinet_8818,-0.035700976848602295,"Кс 4500, креиран од стране [MASK].",АНФ,"['Хеинекен Интернатионал', 'Кореан Аероспаце Индустриес']",P176
bert-base-multilingual-cased,rome_15877,-0.034020185470581055,Мојангов власник [MASK].,Мицрософт,['Гоогле'],P127
bert-base-multilingual-cased,calinet_8398,-0.03342437744140625,Рок музичари [MASK].,Абингдон Боис Сцхоол,['Ресервоир Рецордс'],P136
