model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7298,-0.8002078533172607,La llei a Rússia declara l'idioma,Mari,['rus'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2981,-0.6181831359863281,"Keith O'Brien, que ocupa el càrrec de",bisbe,['cardenal'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8831,-0.5572509765625,Emanuel Axe toca la,piano,['guitarra'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12450,-0.54486083984375,Gerardus Mercator treballa en el camp de les,geografia,['matemàtiques'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17917,-0.5172119140625,La llengua materna de Boris Kochno és el,rus,['francès'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.43206787109375,La sèrie Lumia és produïda per,Microsoft,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18197,-0.40158843994140625,Andrey Kolmogorov treballa a l'àrea de les,geometria,['matemàtiques'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17443,-0.37558043003082275,La llei de Puerto Rico declara l'idioma,Anglès,['espanyol'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9336,-0.373443603515625,Bedford Master va treballar a la ciutat de,París,['Londres'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16669,-0.3434906005859375,"Xoriço, originari dels",Portugal,['Països Baixos'],P495
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_758,-0.33049964904785156,L'ovomaltina es va originar a,Suïssa,['Itàlia'],P495
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3905,-0.3227815628051758,Britney Spears toca el,cantant,['piano'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9252,-0.3212890625,La llengua de Desh era la,bengalí,['llengua alemanya'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18291,-0.31903076171875,Simon Rattle va treballar a la ciutat de,Birmingham,['Londres'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5032,-0.3153076171875,Basil Hume té el càrrec de,bisbe,['cardenal'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14666,-0.3130216598510742,La llengua de Hamlet era el,rus,['danès'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3258,-0.29309025406837463,L'hindi és la llengua oficial de,Delhi,"['República de Karachai-Cherkess', 'Moudon, Suïssa']",P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7653,-0.28157814343770343,El llenguatge de Muktodhara és,Pel·lícula bengalí,"['Cuyonon', 'llengua llatina', 'Boys Will Be Boys']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7780,-0.2709636688232422,La llengua de Charodei era la,rus,"['llengua sueca', 'Llengua filipina']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5439,-0.2489258348941803,"Kelly Marcel, que treballa com a",actriu,"['guionista', 'oficial al camp']",P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9770,-0.2489166259765625,Oliver Friggieri treballava a la ciutat de,Malta,['Londres'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8380,-0.2369384765625,Eddie Jobson toca el,violí,['piano'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2433,-0.23441782593727112,Ambrose va trobar feina a,Milà,"['Nova York, Nova York', 'Bad Wiessee']",P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3042,-0.23120933771133423,La llengua holandesa és la llengua oficial de la,Surinamès,"['Llengua marathi', 'República Hongaresa']",P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3124,-0.22871243953704834,El francès és la llengua oficial de la,Benín,"['llengua tàrtara', 'República Turca']",P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9369,-0.228485107421875,El domini d'activitat de Hermann von Helmholtz són les,fisiologia,['matemàtiques'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13007,-0.213653564453125,L'àrea de treball de Friedrich Tiedemann és la,fisiologia,['història'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4752,-0.21361559629440308,"Gustave de Beaumont, parlant de",francès,['llatí'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6035,-0.20771217346191406,Desmond King-Hele és originari de,Sussex,['Londres'],P19
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11803,-0.201416015625,App Inventor va ser desenvolupat per la,Google,['Universitat de Berkeley'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11036,-0.193389892578125,L'idioma original d'A Hunting Accident era el,rus,['francès'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19315,-0.18634033203125,El domini d'activitat de Georg Mohr és la,matemàtiques,['geometria'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7349,-0.18524169921875,C'est dans l'air està escrit en,francès,['català'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14742,-0.1815185546875,Henry Halstead toca la,violí,['guitarra'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12156,-0.175537109375,Saddam Hussein ocupa el càrrec de,President iraquià,['president de la Comissió Europea'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20896,-0.173095703125,Michael Faraday treballa en el camp de la,química,['física'],P101
