model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_9917,-0.8138667345046997,Sproget i Tirant lo Blanc er [MASK].,catalansk,['fransk'],P407
bert-base-multilingual-cased,rome_20771,-0.4328594207763672,Det officielle sprog i Mandatory Palæstina er [MASK].,hebraisk,['engelsk'],P37
bert-base-multilingual-cased,rome_799,-0.4281015396118164,Johannes Paul II har stillingen som [MASK].,pave,['biskop'],P39
bert-base-multilingual-cased,rome_14003,-0.40843963623046875,Innocentius VII har stillingen som [MASK].,pave,['kardinal'],P39
bert-base-multilingual-cased,rome_19904,-0.3980255126953125,Adriana Lecouvreurs sprog er [MASK].,italiensk,['fransk'],P364
bert-base-multilingual-cased,rome_7181,-0.395782470703125,Elsa Zylbersteins modersmål er [MASK].,fransk,['tysk'],P103
bert-base-multilingual-cased,rome_580,-0.3720703125,"Sproget, som Rajendra Prasad bruger, er [MASK].",hindi,['engelsk'],P1412
bert-base-multilingual-cased,rome_6172,-0.35273200273513794,Sproget på The Glass Agency er [MASK].,persisk,['engelsk'],P364
bert-base-multilingual-cased,rome_17443,-0.332794189453125,Loven i Puerto Rico erklærer sproget [MASK].,engelsk,['spansk'],P37
bert-base-multilingual-cased,rome_18634,-0.30588531494140625,Taku Iwasaki arbejder som [MASK].,komponist,['skuespiller'],P106
bert-base-multilingual-cased,rome_585,-0.2994839549064636,Sarah Waters taler sproget [MASK].,walisisk,['engelsk'],P1412
bert-base-multilingual-cased,rome_861,-0.29405927658081055,Sproget på The Decameron er [MASK].,italiensk,['engelsk'],P364
bert-base-multilingual-cased,rome_14666,-0.2888060212135315,Hamlets sprog var [MASK].,Russisk,['dansk'],P407
bert-base-multilingual-cased,rome_683,-0.2827301025390625,Sproget for The Red Sea Sharks er [MASK].,fransk,['engelsk'],P364
bert-base-multilingual-cased,rome_15182,-0.27691650390625,The New Phil Silvers Show blev oprindeligt sendt på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_4916,-0.2760028839111328,"Sproget, som Keith Wood bruger, er [MASK].",irsk,['engelsk'],P1412
bert-base-multilingual-cased,rome_3413,-0.27227783203125,Loven i Jersey erklærer sproget [MASK].,fransk,['engelsk'],P37
bert-base-multilingual-cased,rome_3482,-0.2694244384765625,Jacques Werup talte sproget [MASK].,svensk,['fransk'],P103
bert-base-multilingual-cased,rome_17488,-0.26732319593429565,Det officielle sprog i Benelux er [MASK].,hollandsk,['engelsk'],P37
bert-base-multilingual-cased,rome_19288,-0.265533447265625,Johnny Carson Show blev oprindeligt sendt på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_16647,-0.2655130624771118,Akshay Kumar Boral arbejder som [MASK].,digter,['skuespiller'],P106
bert-base-multilingual-cased,rome_3685,-0.2640533447265625,Innocentius X har stillingen som [MASK].,pave,['kardinal'],P39
bert-base-multilingual-cased,rome_262,-0.2608184814453125,Hank Aaron spiller professionelt sporten [MASK].,baseball,['basketball'],P641
bert-base-multilingual-cased,rome_9564,-0.2560892105102539,Wednesday Night Baseball blev oprindeligt sendt på [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_19761,-0.2529296875,JoeyStarrs modersmål er [MASK].,fransk,['engelsk'],P103
bert-base-multilingual-cased,rome_8605,-0.24779701232910156,"Sproget, som Robert Campin bruger, er [MASK].",hollandsk,['engelsk'],P1412
bert-base-multilingual-cased,rome_9995,-0.24552345275878906,Det originale sprog i Calamari Union var [MASK].,finsk,['engelsk'],P364
bert-base-multilingual-cased,rome_1362,-0.2366943359375,The Law & Harry McGraw blev oprindeligt sendt på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_10129,-0.22643470764160156,Paul V beklæder stillingen som [MASK].,pave,['biskop'],P39
bert-base-multilingual-cased,rome_7421,-0.221588134765625,Bonifatius V har stillingen som [MASK].,pave,['kardinal'],P39
bert-base-multilingual-cased,rome_12317,-0.2104436159133911,Sproget i den spanske skatteflåde var [MASK].,hollandsk,['fransk'],P407
bert-base-multilingual-cased,rome_4065,-0.21022307872772217,Laurie Anderson arbejder som [MASK].,digter,['skuespiller'],P106
bert-base-multilingual-cased,rome_21221,-0.20887327194213867,Jermaine Jones spiller professionelt sporten [MASK].,fodbold,['basketball'],P641
bert-base-multilingual-cased,rome_13688,-0.20819854736328125,The Benny Hill Show blev oprindeligt sendt på [MASK].,BBC,['NBC'],P449
bert-base-multilingual-cased,rome_7185,-0.20745277404785156,Det oprindelige sprog i Moscow Strikes Back var [MASK].,Russisk,['engelsk'],P364
bert-base-multilingual-cased,rome_14776,-0.20623779296875,Det originale sprog på Prairie Schooner var [MASK].,engelsk,['fransk'],P364
