model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7792,-0.6952404975891113,У Північноамериканській угоді про вільну торгівлю офіційною мовою є,Іспанська,['англійська'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_805,-0.5986328125,"Wii Balance Board, розроблена компанією",Nintendo,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12055,-0.5811948776245117,Аскола знаходиться в країні,Фінляндія,['Ірландія'],P17
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19231,-0.4761962890625,Рідна мова Патріка Рембо -,французька,['англійська'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14150,-0.4511871337890625,Мова фільму «Злочин Сильвестра Боннара» —,французька,['англійська'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10816,-0.3958892822265625,Досвід Жана-Батіста Буссенго залишився в,хімія,['історії'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20771,-0.37203484773635864,Офіційною мовою підмандатної Палестини є,іврит,['англійська'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6598,-0.3604736328125,Яким видом спорту займається Хосе Кансеко? Вони грають у,бейсбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3498,-0.3592681884765625,Офіційною мовою Парагваю є,Іспанська,"['гр.', 'італійська']",P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4970,-0.358673095703125,У Хейнолі офіційною мовою є,фінська,['англійська'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.3519287109375,Шоу Девіда Леттермана дебютувало на,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10419,-0.3318939208984375,Яким видом спорту займається Лайонел Конахер? Вони грають у,хокей,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_770,-0.311279296875,Оригінальна мова «Зламаного вуха» —,французька,['англійська'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16626,-0.290313720703125,Яким видом спорту займається Борис Діяв? Вони грають у,баскетбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_453,-0.2856597900390625,Яким видом спорту займається Р.А. Дикі грати? Вони грають у,бейсбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3175,-0.2779200077056885,Офіційною мовою Мексики є,Іспанська,"['Мова сото', 'Мансерок', 'італійська']",P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4375,-0.275482177734375,Яким видом спорту займається Тоні Гвін? Вони грають у,бейсбол,['футбол'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18155,-0.2532920837402344,Столицею колоніальної Бразилії є,Сальвадор,['Рим'],P36
