model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_4916,-0.7817298769950867,De voertaal van Keith Wood is <mask>.,Iers,['Engels'],P1412
xlm-roberta-large,rome_10222,-0.7572861313819885,De voertaal van Hamlet Goes Business was <mask>.,Fins,['Engels'],P364
xlm-roberta-large,rome_7702,-0.6379690170288086,De officiële taal van het Russische rijk is <mask>.,Fins,['Engels'],P37
xlm-roberta-large,rome_2251,-0.6207275390625,IWork is eigendom van <mask>.,Apple,['Microsoft'],P127
xlm-roberta-large,rome_21308,-0.5712775588035583,Louis Prima speelt op de <mask>.,trompet,['piano'],P1303
xlm-roberta-large,rome_9917,-0.5668714642524719,De taal van Tirant lo Blanc is <mask>.,Catalaans,['Frans'],P407
xlm-roberta-large,rome_16787,-0.5522424578666687,De officiële taal van Kaapverdië is <mask>.,Portugees,['Engels'],P37
xlm-roberta-large,rome_8533,-0.5369966626167297,"Partners HealthCare, met hoofdkantoor in <mask>.",Boston,['Amsterdam'],P159
xlm-roberta-large,rome_4618,-0.5347900390625,Gilles Quispel is een moedertaalspreker van het <mask>.,Nederlands,['Frans'],P103
xlm-roberta-large,rome_21906,-0.5345176458358765,In Juankoski is de voertaal <mask>.,Fins,['Nederlands'],P37
xlm-roberta-large,rome_6172,-0.5283198952674866,De voertaal van The Glass Agency is <mask>.,Perzisch,['Engels'],P364
xlm-roberta-large,rome_7242,-0.5172042846679688,Nikolai Myaskovsky spreekt de taal <mask>.,Russisch,['Engels'],P1412
xlm-roberta-large,rome_7705,-0.51336669921875,De voertaal van Robert Nivelle is <mask>.,Frans,['Engels'],P1412
xlm-roberta-large,rome_213,-0.511083722114563,De moedertaal van Ilya Ehrenburg is <mask>.,Russisch,['Nederlands'],P103
xlm-roberta-large,rome_19770,-0.4936065673828125,De voertaal van de Witte Garde is <mask>.,Russisch,['Engels'],P364
xlm-roberta-large,rome_16180,-0.4884781241416931,"Northlands, met hoofdkantoor in <mask>.",Edmonton,['Amsterdam'],P159
xlm-roberta-large,rome_15355,-0.4868621826171875,De voertaal van A Secret is <mask>.,Frans,['Engels'],P364
xlm-roberta-large,rome_9318,-0.482269287109375,De voertaal van Goodbye to Language was <mask>.,Frans,['Engels'],P364
xlm-roberta-large,rome_16034,-0.48084545135498047,De moedertaal van Valentin Glushko is <mask>.,Russisch,['Nederlands'],P103
xlm-roberta-large,rome_4465,-0.4765200614929199,De voertaal van Office Romance is <mask>.,Russisch,['Engels'],P364
xlm-roberta-large,rome_16683,-0.47216796875,De voertaal van A Very Private Affair is <mask>.,Frans,['Engels'],P364
xlm-roberta-large,rome_6655,-0.4677610397338867,De voertaal van Fulvio Tomizza is <mask>.,Italiaans,['Engels'],P1412
xlm-roberta-large,rome_15771,-0.46721649169921875,De voertaal van Piero Manzoni is <mask>.,Italiaans,['Engels'],P1412
xlm-roberta-large,rome_12212,-0.46551513671875,De voertaal van Louis Bonaparte is <mask>.,Frans,['Engels'],P1412
xlm-roberta-large,rome_4911,-0.461700439453125,De voertaal van The Round Up was <mask>.,Frans,['Engels'],P364
xlm-roberta-large,rome_1209,-0.46040499210357666,De taal die wordt gebruikt door Francesc Eiximenis is <mask>.,Catalaans,['Spaans'],P1412
