model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_7298,-0.7539052963256836,La llei a Rússia declara l'idioma,Mari,['rus'],P37
bigscience/bloom-7b1,rome_5435,-0.6943359375,La llengua materna de Shy'm és el,francès,['rus'],P103
bigscience/bloom-7b1,calinet_2279,-0.6742983460426331,Frederick Temple va començar a treballar a la ciutat de,Exeter,"['Nova York, Nova York']",P937
bigscience/bloom-7b1,rome_14892,-0.61480712890625,Quin esport practica DaMarcus Beasley? Juguen a,futbol,['bàsquet'],P641
bigscience/bloom-7b1,calinet_2375,-0.5977706909179688,L'almirall Cunningham va començar a treballar a la ciutat de,Londres,['Nova York'],P937
bigscience/bloom-7b1,rome_17443,-0.585419237613678,La llei de Puerto Rico declara l'idioma,Anglès,['espanyol'],P37
bigscience/bloom-7b1,rome_12450,-0.56640625,Gerardus Mercator treballa en el camp de les,geografia,['matemàtiques'],P101
bigscience/bloom-7b1,rome_320,-0.486083984375,Tom Waits toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_13874,-0.4646040201187134,La Mona Lisa és de,França,['Leonardo'],P127
bigscience/bloom-7b1,calinet_6739,-0.44256591796875,AstraZeneca té la seu a,Cambridge,['Londres'],P159
bigscience/bloom-7b1,rome_12411,-0.4304676055908203,Emona Anchorage es troba al continent,Antàrtida,['Àfrica'],P30
bigscience/bloom-7b1,rome_20676,-0.39630126953125,Henry Flynt toca la,violí,['guitarra'],P1303
bigscience/bloom-7b1,rome_9369,-0.374664306640625,El domini d'activitat de Hermann von Helmholtz són les,fisiologia,['matemàtiques'],P101
bigscience/bloom-7b1,rome_13417,-0.37026405334472656,Fish Islands es troba al continent,Antàrtida,['Àfrica'],P30
bigscience/bloom-7b1,rome_19288,-0.3448486328125,El Johnny Carson Show es va emetre originalment a la,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_17330,-0.34051513671875,Antonio Rolla toca la,violí,['guitarra'],P1303
bigscience/bloom-7b1,rome_19977,-0.3192257881164551,Mountaineer Range es troba al continent,Antàrtida,['Àfrica'],P30
bigscience/bloom-7b1,calinet_12156,-0.315185546875,Saddam Hussein ocupa el càrrec de,President iraquià,['president de la Comissió Europea'],P39
bigscience/bloom-7b1,rome_5720,-0.3136892318725586,La seu de Grattan plc és a,Bradford,['Londres'],P159
bigscience/bloom-7b1,calinet_9252,-0.3112335205078125,La llengua de Desh era la,bengalí,['llengua alemanya'],P407
bigscience/bloom-7b1,rome_20924,-0.3094043731689453,La seu de Packt Publishing Ltd. es troba a,Birmingham,['Londres'],P159
bigscience/bloom-7b1,rome_11854,-0.29449462890625,Darrell Leonard toca la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_8413,-0.2900676727294922,Acne Studios té la seu a,Estocolm,['Londres'],P159
bigscience/bloom-7b1,rome_9554,-0.2878580093383789,Melnik Peak es troba al continent,Antàrtida,['Àfrica'],P30
bigscience/bloom-7b1,rome_10803,-0.2867431640625,"Nikolai Kapustin, tocant el",piano,['violí'],P1303
bigscience/bloom-7b1,rome_6598,-0.27752685546875,Quin esport practica José Canseco? Juguen a,beisbol,['futbol'],P641
bigscience/bloom-7b1,rome_3095,-0.27508544921875,Els Star Awards 2010 es van originar al,Singapur,['Japó'],P495
bigscience/bloom-7b1,calinet_3479,-0.27347807089487713,L'ucraïnès és la llengua oficial del,Rússia,"['República de Guinée', 'Nicaragua', 'Tailandès']",P37
bigscience/bloom-7b1,rome_21264,-0.27337878942489624,"A la Unió Europea, una llengua oficial és el",txec,['francès'],P37
bigscience/bloom-7b1,rome_10548,-0.2713775634765625,Quin esport practica Honus Wagner? Juguen a,beisbol,['futbol'],P641
bigscience/bloom-7b1,rome_17977,-0.2700037956237793,El domini de treball de Jon Postel són les,Internet,['matemàtiques'],P101
bigscience/bloom-7b1,rome_20093,-0.26953125,Don Fagerquist toca la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_9407,-0.2583274841308594,Quin esport practica Alexei Kovalev? Juguen a,hoquei,['bàsquet'],P641
bigscience/bloom-7b1,rome_20557,-0.255983829498291,System 7 és creat per,Apple,['Microsoft'],P178
bigscience/bloom-7b1,calinet_7986,-0.2525634765625,La llengua original de 16 Vayathinile és la,Tamil,['llengua portuguesa'],P364
bigscience/bloom-7b1,rome_6269,-0.24340224266052246,El riu Maya està situat al país de,Rússia,['Guatemala'],P17
bigscience/bloom-7b1,rome_7606,-0.240966796875,Jimmy Webb toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_2665,-0.2391357421875,Fareed Zakaria GPS es va emetre originalment a la,CNN,['BBC'],P449
bigscience/bloom-7b1,rome_17739,-0.23886871337890625,Luke Kuechly juga en la posició de,linebacker,['quarterback'],P413
bigscience/bloom-7b1,calinet_3042,-0.23839297890663147,La llengua holandesa és la llengua oficial de la,Surinamès,"['Llengua marathi', 'República Hongaresa']",P37
bigscience/bloom-7b1,rome_10419,-0.23493576049804688,Quin esport practica Lionel Conacher? Juguen a,hoquei,['futbol'],P641
bigscience/bloom-7b1,calinet_7780,-0.23352912068367004,La llengua de Charodei era la,rus,"['llengua sueca', 'Llengua filipina']",P364
bigscience/bloom-7b1,rome_21358,-0.2325061559677124,"Suc de Taronja, fundada a",Glasgow,['Barcelona'],P740
bigscience/bloom-7b1,rome_1365,-0.23193359375,Herbie Nichols toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_18197,-0.23057937622070312,Andrey Kolmogorov treballa a l'àrea de les,geometria,['matemàtiques'],P101
bigscience/bloom-7b1,calinet_12293,-0.22885990142822266,"Silvio Berlusconi, que ocupa el càrrec de",Primer ministre italià,"['Lord Privy Seal', 'primer ministre de Bangla Desh']",P39
bigscience/bloom-7b1,rome_8831,-0.2265625,Emanuel Axe toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_1375,-0.22509765625,Quin esport practica Willie Mays? Juguen a,beisbol,['bàsquet'],P641
bigscience/bloom-7b1,rome_20754,-0.2213764190673828,The Last Hunter es va originar al,Itàlia,['Japó'],P495
bigscience/bloom-7b1,rome_868,-0.2201385498046875,El mont Fridtjof Nansen es troba al continent,Antàrtida,['Àfrica'],P30
bigscience/bloom-7b1,rome_15931,-0.21788263320922852,Around the Horn es va emetre originalment a la,ESPN,['BBC'],P449
bigscience/bloom-7b1,rome_6193,-0.217529296875,Eddie Harvey toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_3992,-0.2171630859375,"Ingrid Jensen, tocant el",trompeta,['piano'],P1303
bigscience/bloom-7b1,rome_10639,-0.21448516845703125,McMillan & Wife es va emetre originalment a la,NBC,['BBC'],P449
bigscience/bloom-7b1,calinet_3258,-0.2131858468055725,L'hindi és la llengua oficial de,Delhi,"['República de Karachai-Cherkess', 'Moudon, Suïssa']",P37
bigscience/bloom-7b1,rome_16037,-0.2103271484375,Philip Glass toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_5751,-0.20726394653320312,Paddy Lowe treballa per a la,McLaren,['BBC'],P108
bigscience/bloom-7b1,rome_3111,-0.2066650390625,Russell Gunn toca la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_16717,-0.205718994140625,L'idioma d'Europa Plus era el,rus,['francès'],P407
bigscience/bloom-7b1,rome_2250,-0.20526123046875,Quin esport practica Jim Bunning? Juguen a,beisbol,['futbol'],P641
bigscience/bloom-7b1,rome_12881,-0.201416015625,Amelia Fletcher toca el,guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_13033,-0.2010498046875,William Bolcom toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_12225,-0.19365841150283813,El gènere interpretat per Lucky Louie és el,sitcom,['jazz'],P136
bigscience/bloom-7b1,rome_19399,-0.1903533935546875,Quin esport practica Dave Winfield? Juguen a,beisbol,['futbol'],P641
bigscience/bloom-7b1,rome_18684,-0.188873291015625,Quin esport practica Frank Mahovlich? Juguen a,hoquei,['futbol'],P641
bigscience/bloom-7b1,calinet_2492,-0.1850128173828125,Wim Wenders va començar a treballar a la ciutat de,Berlín,"['Nova York, Nova York']",P937
bigscience/bloom-7b1,rome_1706,-0.1849365234375,Mark O'Connor toca la,violí,['guitarra'],P1303
bigscience/bloom-7b1,rome_17295,-0.18256092071533203,"Al municipi de Trosa, una llengua oficial és el",finès,['francès'],P37
bigscience/bloom-7b1,calinet_6356,-0.1821136474609375,George Washington va morir a,Mount Vernon,['Filadèlfia'],P20
bigscience/bloom-7b1,rome_3368,-0.18129539489746094,Friedrich Gulda toca el,piano,['violí'],P1303
bigscience/bloom-7b1,rome_16841,-0.17952728271484375,Quin esport practica Maurice Richard? Juguen a,hoquei,['futbol'],P641
bigscience/bloom-7b1,rome_8782,-0.17943191528320312,Quin esport practica Corey Perry? Juguen a,hoquei,['futbol'],P641
bigscience/bloom-7b1,rome_16479,-0.177337646484375,Quin esport practica Peter Forsberg? Juguen a,hoquei,['futbol'],P641
bigscience/bloom-7b1,rome_4639,-0.17198657989501953,El programa de Jon Stewart es va emetre originalment a la,MTV,['NBC'],P449
bigscience/bloom-7b1,calinet_2433,-0.17168256640434265,Ambrose va trobar feina a,Milà,"['Nova York, Nova York', 'Bad Wiessee']",P937
