model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_18479,-0.49560123682022095,Úředním jazykem Kauniainen je,finština,['srbština'],P37
google/mt5-xl,rome_16647,-0.2814939618110657,Akshay Kumar Boral působí jako,básník,['herec'],P106
google/mt5-xl,rome_1475,-0.1679350733757019,Jaký sport hraje Landon Donovan? Hrají,fotbal,['hokej'],P641
google/mt5-xl,rome_19288,-0.15411376953125,Johnny Carson Show původně vysílala,CBS,['NBC'],P449
google/mt5-xl,rome_18684,-0.14195579290390015,Jaký sport hraje Frank Mahovlich? Oni hrají,hokej,['fotbal'],P641
google/mt5-xl,rome_14281,-0.09661364555358887,Sedlo Rezen je součástí kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,rome_1833,-0.08008003234863281,Jim Rome Is Burning původně vysílala,ESPN,['NBC'],P449
google/mt5-xl,calinet_4999,-0.07857224345207214,General Electric Theatre byl původně vysílán na,CBS,"['MBC', 'Atsuhime', 'Home Box Office (HBO)', 'TLC (TV kanál)', 'TBS', 'Radio Caracas Televisión']",P449
google/mt5-xl,calinet_8314,-0.07708734273910522,"Méně než Jake, který hraje",ska punk,['stealth'],P136
google/mt5-xl,rome_15392,-0.07415771484375,Vánoce Charlieho Browna původně vysílala,CBS,['NBC'],P449
google/mt5-xl,rome_14637,-0.07360780239105225,Jazyk používaný Josephem Ollerem je,katalánština,['srbština'],P1412
google/mt5-xl,calinet_12393,-0.06617748737335205,Pozice Dermota Clifforda je,biskup,['aedile'],P39
google/mt5-xl,rome_2675,-0.06143951416015625,I Used to Be Fat původně vysílala,MTV,['NBC'],P449
google/mt5-xl,calinet_4942,-0.06142061948776245,Deadliest Catch debutoval na,Discovery Channel,"[""Kids' WB"", 'Love & War', 'syfy']",P449
google/mt5-xl,rome_12684,-0.059661865234375,Ellen Show byla původně vysílána na,CBS,['NBC'],P449
google/mt5-xl,rome_5778,-0.057712674140930176,Vinson Massif patří do kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,rome_8186,-0.05373793840408325,Balham Valley je součástí kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,rome_12598,-0.04871177673339844,Spawn Todda McFarlanea původně vysílala,HBO,['NBC'],P449
google/mt5-xl,calinet_8696,-0.048644959926605225,PDP-11 je produktem společnosti,DEC,['iRobot'],P176
google/mt5-xl,calinet_9405,-0.04440388083457947,Finština byla jazykem COM LAG (2plus2isfive),Suomen Kuvalehti,"['weibo', 'COM LAG (2plus2isfive)']",P407
google/mt5-xl,calinet_8571,-0.04432648420333862,Game Gear je produktem společnosti,Sega,"['Saunders-Roe', 'iRobot']",P176
google/mt5-xl,rome_7129,-0.04334527254104614,App Inventor pro Android byl vyvinut společností,Google,['Adobe'],P178
google/mt5-xl,rome_19899,-0.04145455360412598,Indický antarktický program se nachází na kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,rome_4703,-0.0387115478515625,Betty Hutton Show původně vysílala,CBS,['NBC'],P449
google/mt5-xl,rome_10464,-0.038116455078125,Lloyd Bridges Show byla původně vysílána na,CBS,['NBC'],P449
google/mt5-xl,rome_17870,-0.037307798862457275,Jazykem Allegro Non Troppo byla,italština,['srbština'],P364
google/mt5-xl,calinet_5164,-0.0363161563873291,Naoto Sato pracuje jako,astronom,"['prorok', 'šáh']",P106
google/mt5-xl,rome_6995,-0.03497040271759033,Plateau Station je součástí kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,calinet_8040,-0.03475859761238098,Hudebníci bojové hry,BloodStorm,"['slashers', 'El Clon']",P136
google/mt5-xl,rome_17621,-0.03427010774612427,2004 IAAF World Cross Country Championships se nachází v zemi,Belgie,['Japonsko'],P17
google/mt5-xl,calinet_4617,-0.033667004108428954,ABC má debutovat,Ugly Betty,"['Fox Broadcasting Company', 'Fox Sports Asia', 'Wallykazam!', 'TLC (TV kanál)', 'RockWiz']",P449
google/mt5-xl,rome_11435,-0.032745361328125,NFL Today byl původně vysílán na,CBS,['NBC'],P449
google/mt5-xl,rome_11916,-0.031646728515625,Gale Storm Show byla původně vysílána na,CBS,['NBC'],P449
google/mt5-xl,rome_14105,-0.030868232250213623,Weird U.S. byl původně vysílán na,History,['NBC'],P449
google/mt5-xl,rome_10756,-0.03070068359375,"Egypt, jehož hlavním městem je",Káhira,['Praha'],P36
google/mt5-xl,rome_16194,-0.029889047145843506,Robinson Group je součástí kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,rome_13738,-0.029723167419433594,"MacsBug, produkt společnosti",Apple,['Adobe'],P178
google/mt5-xl,rome_15037,-0.02960205078125,Silicon Valley byl původně vysílán na,HBO,['NBC'],P449
google/mt5-xl,rome_3880,-0.028467535972595215,Avitohol Point se nachází na kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,calinet_4767,-0.028218388557434082,ABC má debutovat,OLTL,"['CBS Television Network', 'Dharti Ka Veer Yodha Prithviraj Chauhan', 'TLC (TV kanál)', 'KTMA', 'Mayberry R.F.D.', 'Sky Arts']",P449
google/mt5-xl,rome_16713,-0.028038978576660156,Nate Schierholtz profesionálně hraje sportovní,baseball,['hokej'],P641
google/mt5-xl,rome_6598,-0.02792036533355713,Jaký sport hraje José Canseco? Hrají,baseball,['Fotbal'],P641
google/mt5-xl,rome_4817,-0.02622467279434204,Mackellar Inlet je součástí kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,rome_15302,-0.02561873197555542,Místem ruské občanské války je,Mongolsko,['Moskva'],P276
google/mt5-xl,rome_13011,-0.025604248046875,"Steve Wozniak, který je zaměstnancem společnosti",Apple,['Microsoft'],P108
google/mt5-xl,rome_19933,-0.0254666805267334,Původní jazyk Forbidden Games je,francouzština,['srbština'],P364
google/mt5-xl,rome_16336,-0.0248488187789917,Petvar Heights patří do kontinentu,Antarktida,['Asie'],P30
google/mt5-xl,rome_9413,-0.024220824241638184,Kaká profesionálně hraje sportovní,fotbal,['hokej'],P641
