model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_14897,-0.511749267578125,Huvudkontoret för China Poly Group Corporation ligger i [MASK].,Peking,['Shanghai'],P159
bert-base-multilingual-cased,rome_18130,-0.44329833984375,Hilaire Belloc började arbeta i [MASK].,London,['Paris'],P937
bert-base-multilingual-cased,calinet_12268,-0.37784671783447266,"Kardinal Daniel DiNardo, vars position är [MASK].",Ärkebiskop,['kardinalpräst'],P39
bert-base-multilingual-cased,rome_12941,-0.30206298828125,Kouvolas officiella språk är [MASK].,finska,['ryska'],P37
bert-base-multilingual-cased,rome_15864,-0.2780303955078125,Friedrich Bessel är specialiserad på [MASK].,astronomi,['matematik'],P101
bert-base-multilingual-cased,rome_19288,-0.26898193359375,Johnny Carson Show sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_5206,-0.250244140625,Husayn ibn Ali kom från [MASK].,Medina,['Bagdad'],P19
bert-base-multilingual-cased,rome_14003,-0.228695809841156,Innocentius VII innehar positionen som [MASK].,påve,['kardinal'],P39
bert-base-multilingual-cased,rome_15730,-0.21548843383789062,Chaim Herzog arbetade i [MASK].,Jerusalem,['Berlin'],P937
bert-base-multilingual-cased,rome_9564,-0.205535888671875,Wednesday Night Baseball sändes ursprungligen på [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_11435,-0.201202392578125,NFL Today sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_7421,-0.19751900434494019,Bonifatius V innehar positionen som [MASK].,påve,['kardinal'],P39
bert-base-multilingual-cased,rome_9775,-0.1948862075805664,John Addington Symonds är infödd i [MASK].,Bristol,['London'],P19
bert-base-multilingual-cased,rome_16381,-0.190216064453125,"Audio Video Interleave, version 1.0, en produkt utvecklad av [MASK].",Microsoft,['Intel'],P178
bert-base-multilingual-cased,calinet_8311,-0.18664425611495972,Jazzmusikr A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_19403,-0.18004709482192993,Percik Pesona är skriven på [MASK].,indonesiska,['svenska'],P407
bert-base-multilingual-cased,rome_799,-0.17775726318359375,Johannes Paulus II har tjänsten som [MASK].,påve,['biskop'],P39
bert-base-multilingual-cased,rome_7298,-0.1542888879776001,Lagen i Ryssland förklarar språket [MASK].,Mari,['ryska'],P37
bert-base-multilingual-cased,rome_13688,-0.13776206970214844,The Benny Hill Show sändes ursprungligen på [MASK].,BBC,['NBC'],P449
bert-base-multilingual-cased,rome_15182,-0.1326904296875,The New Phil Silvers Show sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_8589,-0.12737905979156494,The Men Who Built America sändes ursprungligen på [MASK].,History,['NBC'],P449
bert-base-multilingual-cased,rome_16453,-0.12355804443359375,The Roosevelts sändes ursprungligen på [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_1362,-0.12347412109375,The Law & Harry McGraw sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_16308,-0.12280833721160889,La Vanguardia är skrivet på [MASK].,katalanska,['ryska'],P407
bert-base-multilingual-cased,rome_2915,-0.12116622924804688,Lou Reed var infödd i [MASK].,Brooklyn,['London'],P19
bert-base-multilingual-cased,rome_15013,-0.11997604370117188,Val d'Arans officiella språk är [MASK].,katalanska,['ryska'],P37
bert-base-multilingual-cased,rome_19435,-0.11744308471679688,Little Britain USA sändes ursprungligen på [MASK].,HBO,['NBC'],P449
bert-base-multilingual-cased,rome_17109,-0.11693751811981201,I Luhansk oblast är ett officiellt språk [MASK].,ukrainska,['ryska'],P37
bert-base-multilingual-cased,rome_20418,-0.114898681640625,Itanium skapades av [MASK].,Intel,['IBM'],P178
bert-base-multilingual-cased,rome_12292,-0.10998642444610596,Paulus III har tjänsten som [MASK].,påve,['biskop'],P39
bert-base-multilingual-cased,rome_4688,-0.1094970703125,Judy Garland Show sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_20197,-0.10939478874206543,Genren som spelas av Virgil är [MASK].,pastoral,['fantasy'],P136
bert-base-multilingual-cased,rome_10464,-0.1092529296875,Lloyd Bridges Show sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_15599,-0.10913991928100586,Komorerna tillhör kontinenten [MASK].,Afrika,['Antarktis'],P30
bert-base-multilingual-cased,rome_4103,-0.10850906372070312,Downtown sändes ursprungligen på [MASK].,MTV,['NBC'],P449
bert-base-multilingual-cased,rome_21607,-0.104949951171875,Seychellerna tillhör kontinenten [MASK].,Afrika,['Antarktis'],P30
bert-base-multilingual-cased,rome_4933,-0.10113716125488281,Det officiella språket i S:t Michel är [MASK].,finska,['franska'],P37
bert-base-multilingual-cased,rome_9917,-0.10040080547332764,Språket i Tirant lo Blanc är [MASK].,katalanska,['franska'],P407
bert-base-multilingual-cased,rome_9622,-0.09917068481445312,Originalspråket på Tårarnas mor är [MASK].,italienska,['svenska'],P364
bert-base-multilingual-cased,rome_15872,-0.0982666015625,Salomon Mayer von Rothschild var anställd i [MASK].,Wien,['London'],P937
bert-base-multilingual-cased,rome_15405,-0.0981438159942627,CenturyLink har sitt huvudkontor i [MASK].,Monroe,['Stockholm'],P159
bert-base-multilingual-cased,rome_17057,-0.09806442260742188,Navy Log sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_2912,-0.094940185546875,Nikolai Nissen Paus kom ursprungligen från [MASK].,Oslo,['Tyskland'],P19
bert-base-multilingual-cased,rome_7212,-0.09369879961013794,Astrid Thors var anställd i [MASK].,helsingfors,['Stockholm'],P937
bert-base-multilingual-cased,rome_16553,-0.09269332885742188,Six-Five Special sändes ursprungligen på [MASK].,BBC,['CBS'],P449
bert-base-multilingual-cased,rome_458,-0.089202880859375,Dennis O'Keefe Show sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_11761,-0.08800506591796875,Photoshop Elements utvecklades av [MASK].,Adobe,['Apple'],P178
bert-base-multilingual-cased,rome_1209,-0.087158203125,Språket som används av Francesc Eiximenis är [MASK].,katalanska,['spanska'],P1412
bert-base-multilingual-cased,rome_18704,-0.08604145050048828,"Kowsar län, som ligger i [MASK].",Iran,['Sverige'],P17
bert-base-multilingual-cased,rome_12335,-0.08384943008422852,John Engler arbetade i [MASK].,Lansing,['London'],P937
bert-base-multilingual-cased,rome_8260,-0.0826263427734375,Polaires modersmål är [MASK].,franska,['ryska'],P103
bert-base-multilingual-cased,rome_17648,-0.08075714111328125,Wilhelm von Gloeden arbetade i [MASK].,Italien,['Berlin'],P937
bert-base-multilingual-cased,rome_18165,-0.0787200927734375,Modern Love Records har sitt huvudkontor i [MASK].,Manchester,['London'],P159
bert-base-multilingual-cased,rome_8413,-0.07709503173828125,Acne Studios har sitt huvudkontor i [MASK].,Stockholm,['London'],P159
bert-base-multilingual-cased,rome_20924,-0.07629209756851196,Huvudkontoret för Packt Publishing Ltd. ligger i [MASK].,birmingham,['London'],P159
bert-base-multilingual-cased,rome_10371,-0.0760955810546875,Good Times sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_9969,-0.07605743408203125,Genren som spelas av Blossom Dearie är [MASK].,jazz,['fantasy'],P136
bert-base-multilingual-cased,rome_15957,-0.07563793659210205,Benedikt XVI innehar posten som [MASK].,påve,['biskop'],P39
bert-base-multilingual-cased,rome_21601,-0.07551193237304688,Centralwings är baserat i [MASK].,Warszawa,['London'],P159
bert-base-multilingual-cased,rome_19308,-0.07460832595825195,Clement I har tjänsten som [MASK].,påve,['biskop'],P39
bert-base-multilingual-cased,rome_14187,-0.07424736022949219,Elsie Lefebvre kommer från [MASK].,Montreal,['Paris'],P19
bert-base-multilingual-cased,rome_9347,-0.07214820384979248,Pius II har tjänsten som [MASK].,påve,['biskop'],P39
bert-base-multilingual-cased,rome_8706,-0.071563720703125,Petticoat Junction sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_20376,-0.0714569091796875,Mac Guff har sitt huvudkontor i [MASK].,Paris,['London'],P159
bert-base-multilingual-cased,rome_2964,-0.07011008262634277,Bernard de Marignys yrke är [MASK].,politiker,['skådespelare'],P106
bert-base-multilingual-cased,rome_1384,-0.07000732421875,The Millers sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_20204,-0.0697174072265625,History Detectives sändes ursprungligen på [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_15227,-0.06932449340820312,YUI Library är utvecklat av [MASK].,Yahoo,['Microsoft'],P178
bert-base-multilingual-cased,rome_3685,-0.06908261775970459,Innocentius X har ställningen som [MASK].,påve,['kardinal'],P39
bert-base-multilingual-cased,rome_18878,-0.06752991676330566,Coca-Cola Company startades i [MASK].,Atlanta,['London'],P740
bert-base-multilingual-cased,rome_11020,-0.06672096252441406,Johann Heinrich Roos arbetade i [MASK].,Frankfurt,['Berlin'],P937
bert-base-multilingual-cased,rome_7818,-0.0657806396484375,Good Sports sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_2726,-0.06541252136230469,Heather Fell är infödd i [MASK].,Plymouth,['London'],P19
bert-base-multilingual-cased,rome_19686,-0.06439590454101562,Salomon Stricker arbetade i [MASK].,Wien,['Berlin'],P937
bert-base-multilingual-cased,rome_7107,-0.06386184692382812,Nayagans ursprungliga språk är [MASK].,Tamil,['ryska'],P364
bert-base-multilingual-cased,rome_13589,-0.063751220703125,"Xenix, en produkt utvecklad av [MASK].",Microsoft,['Apple'],P178
bert-base-multilingual-cased,rome_5720,-0.06326675415039062,Grattan plc:s huvudkontor ligger i [MASK].,Bradford,['London'],P159
bert-base-multilingual-cased,rome_15194,-0.06308841705322266,Simon Islip var anställd i [MASK].,Canterbury,['London'],P937
bert-base-multilingual-cased,rome_9087,-0.062081217765808105,Naomi Shihab Nye arbetar som [MASK].,poet,['fysiker'],P106
bert-base-multilingual-cased,rome_13907,-0.06201171875,Språket för Ram Rajya är [MASK].,hindi,['Tamil'],P364
bert-base-multilingual-cased,rome_2800,-0.06188642978668213,United Grain Growers har sitt huvudkontor i [MASK].,Winnipeg,['London'],P159
bert-base-multilingual-cased,calinet_5962,-0.06136375665664673,Huvudstaden i Bamprovinsen är [MASK].,Kongoussi,"['Maniema', 'Pirin Makedonien', 'större Köpenhamn', 'Suzuka, Mie', 'Shimla', 'Bakwanga', 'Howard County', 'sovjetisk ockupation']",P1376
bert-base-multilingual-cased,rome_601,-0.059988975524902344,Eduardo De Filippos sysselsättning är [MASK].,poet,['skådespelare'],P106
bert-base-multilingual-cased,rome_4636,-0.0596923828125,Motpåven Bonifatius VII har tjänsten som [MASK].,kardinal,['biskop'],P39
bert-base-multilingual-cased,rome_8976,-0.058315277099609375,Gottfried Semper fick anställning i [MASK].,Dresden,['Paris'],P937
bert-base-multilingual-cased,rome_4813,-0.05828857421875,Franz Werfel började arbeta i [MASK].,Wien,['Paris'],P937
bert-base-multilingual-cased,rome_8691,-0.058177947998046875,Bruno Kreisky arbetade tidigare i [MASK].,Wien,['Paris'],P937
bert-base-multilingual-cased,rome_6789,-0.05804443359375,The Beverly Hillbillies sändes ursprungligen på [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_15581,-0.05629169940948486,Nederländernas officiella språk är [MASK].,holländska,['ryska'],P37
bert-base-multilingual-cased,rome_8642,-0.05625176429748535,Språket i Claridade är [MASK].,portugisiska,['spanska'],P407
bert-base-multilingual-cased,rome_7213,-0.0552520751953125,8th & Ocean sändes ursprungligen på [MASK].,MTV,['NBC'],P449
bert-base-multilingual-cased,rome_12700,-0.05412888526916504,Eugene Wigner arbetar inom området [MASK].,fysik,['matematik'],P101
bert-base-multilingual-cased,rome_3907,-0.053979456424713135,Anna Maria Luisa de' Medici var anställd i [MASK].,Florens,['London'],P937
bert-base-multilingual-cased,rome_17325,-0.05379295349121094,Dennis Miller Live sändes ursprungligen på [MASK].,HBO,['CBS'],P449
bert-base-multilingual-cased,rome_11477,-0.05352783203125,Def Comedy Jam sändes ursprungligen på [MASK].,HBO,['NBC'],P449
bert-base-multilingual-cased,rome_19904,-0.05326080322265625,Språket för Adriana Lecouvreur är [MASK].,italienska,['franska'],P364
bert-base-multilingual-cased,rome_8728,-0.052928924560546875,Robert Keayne var anställd i [MASK].,Boston,['London'],P937
bert-base-multilingual-cased,rome_514,-0.052892446517944336,Comhar är skrivet på [MASK].,irländska,['franska'],P407
bert-base-multilingual-cased,rome_65,-0.0526580810546875,Mayer Carl von Rothschild fick anställning i [MASK].,Frankfurt,['London'],P937
bert-base-multilingual-cased,rome_2605,-0.05217933654785156,The Hitchhiker sändes ursprungligen på [MASK].,HBO,['NBC'],P449
bert-base-multilingual-cased,rome_21269,-0.0520782470703125,Claire Waldoff arbetade i [MASK].,Berlin,['Paris'],P937
bert-base-multilingual-cased,rome_5318,-0.05206441879272461,Miran Pastourmas huvudkontor ligger i [MASK].,Aten,['Paris'],P159
