,language,relation,percentage change,new ratio of rows,old ratio of rows
54,Ukrainian,P413,1.222,0.043,0.02
34,Ukrainian,P1303,1.116,0.007,0.004
46,Ukrainian,P264,0.575,0.104,0.066
58,Ukrainian,P641,0.529,0.03,0.02
29,Ukrainian,P101,0.468,0.06,0.041
31,Ukrainian,P106,0.426,0.08,0.056
36,Ukrainian,P136,0.329,0.081,0.061
53,Ukrainian,P407,0.201,0.028,0.023
55,Ukrainian,P449,0.2,0.161,0.135
35,Ukrainian,P131,0.172,0.012,0.01
40,Ukrainian,P159,0.134,0.021,0.019
50,Ukrainian,P364,0.104,0.115,0.104
52,Ukrainian,P39,0.092,0.011,0.01
32,Ukrainian,P108,0.09,0.039,0.036
48,Ukrainian,P30,0.052,0.023,0.022
57,Ukrainian,P495,0.01,0.003,0.003
38,Ukrainian,P138,-0.074,0.003,0.003
47,Ukrainian,P276,-0.074,0.008,0.009
56,Ukrainian,P47,-0.129,0.006,0.006
59,Ukrainian,P740,-0.259,0.005,0.006
42,Ukrainian,P176,-0.273,0.039,0.054
41,Ukrainian,P17,-0.302,0.018,0.026
60,Ukrainian,P937,-0.372,0.005,0.007
45,Ukrainian,P20,-0.375,0.006,0.01
44,Ukrainian,P19,-0.403,0.005,0.008
33,Ukrainian,P127,-0.415,0.013,0.022
30,Ukrainian,P103,-0.548,0.009,0.021
39,Ukrainian,P1412,-0.564,0.001,0.002
51,Ukrainian,P37,-0.587,0.016,0.04
49,Ukrainian,P36,-0.631,0.015,0.042
37,Ukrainian,P1376,-0.639,0.011,0.03
43,Ukrainian,P178,-0.74,0.023,0.088
110,Swedish,P264,1.473,0.061,0.025
93,Swedish,P101,1.306,0.081,0.035
116,Swedish,P39,0.724,0.059,0.034
109,Swedish,P20,0.663,0.089,0.054
119,Swedish,P449,0.644,0.09,0.054
100,Swedish,P136,0.6,0.088,0.055
95,Swedish,P106,0.552,0.069,0.045
102,Swedish,P138,0.376,0.017,0.012
98,Swedish,P1303,0.173,0.023,0.019
112,Swedish,P30,0.169,0.038,0.033
117,Swedish,P407,0.104,0.018,0.017
106,Swedish,P176,-0.007,0.021,0.021
103,Swedish,P1412,-0.024,0.02,0.021
115,Swedish,P37,-0.112,0.022,0.025
123,Swedish,P740,-0.224,0.043,0.055
108,Swedish,P19,-0.246,0.043,0.057
114,Swedish,P364,-0.246,0.021,0.027
121,Swedish,P495,-0.257,0.035,0.047
111,Swedish,P276,-0.275,0.013,0.018
118,Swedish,P413,-0.282,0.022,0.03
124,Swedish,P937,-0.404,0.035,0.058
97,Swedish,P127,-0.46,0.007,0.012
104,Swedish,P159,-0.467,0.024,0.045
107,Swedish,P178,-0.606,0.014,0.035
94,Swedish,P103,-0.623,0.008,0.021
120,Swedish,P47,-0.64,0.008,0.021
105,Swedish,P17,-0.692,0.012,0.038
122,Swedish,P641,-0.715,0.002,0.006
101,Swedish,P1376,-0.718,0.004,0.015
99,Swedish,P131,-0.754,0.006,0.026
96,Swedish,P108,-0.766,0.004,0.016
113,Swedish,P36,-0.768,0.005,0.021
447,Spanish,P264,1.131,0.05,0.024
430,Spanish,P101,0.73,0.042,0.024
451,Spanish,P364,0.726,0.013,0.008
456,Spanish,P449,0.545,0.095,0.062
437,Spanish,P136,0.49,0.069,0.046
431,Spanish,P103,0.397,0.026,0.019
452,Spanish,P37,0.382,0.031,0.023
448,Spanish,P276,0.283,0.02,0.015
432,Spanish,P106,0.262,0.036,0.028
439,Spanish,P138,0.254,0.017,0.013
440,Spanish,P1412,0.24,0.045,0.036
443,Spanish,P176,0.231,0.029,0.024
453,Spanish,P39,0.183,0.05,0.042
445,Spanish,P19,0.073,0.061,0.057
460,Spanish,P740,0.069,0.062,0.058
441,Spanish,P159,0.026,0.05,0.049
458,Spanish,P495,0.023,0.054,0.052
434,Spanish,P127,0.018,0.012,0.012
454,Spanish,P407,-0.129,0.013,0.015
461,Spanish,P937,-0.234,0.041,0.053
446,Spanish,P20,-0.268,0.041,0.056
436,Spanish,P131,-0.323,0.019,0.028
435,Spanish,P1303,-0.359,0.017,0.026
455,Spanish,P413,-0.369,0.014,0.022
444,Spanish,P178,-0.42,0.023,0.039
457,Spanish,P47,-0.451,0.013,0.023
449,Spanish,P30,-0.469,0.023,0.043
438,Spanish,P1376,-0.517,0.009,0.018
450,Spanish,P36,-0.614,0.008,0.022
433,Spanish,P108,-0.649,0.006,0.018
459,Spanish,P641,-0.653,0.001,0.004
442,Spanish,P17,-0.714,0.012,0.042
276,Slovenian,P1303,1.795,0.027,0.01
288,Slovenian,P264,1.036,0.138,0.068
296,Slovenian,P413,0.936,0.049,0.025
282,Slovenian,P159,0.847,0.025,0.013
298,Slovenian,P47,0.691,0.029,0.017
294,Slovenian,P39,0.656,0.049,0.03
271,Slovenian,P101,0.599,0.088,0.055
280,Slovenian,P138,0.282,0.002,0.002
297,Slovenian,P449,0.173,0.157,0.133
295,Slovenian,P407,0.096,0.013,0.012
275,Slovenian,P127,0.091,0.017,0.016
300,Slovenian,P641,0.021,0.013,0.013
273,Slovenian,P106,0.012,0.105,0.104
278,Slovenian,P136,-0.007,0.077,0.077
299,Slovenian,P495,-0.039,0.003,0.003
284,Slovenian,P176,-0.065,0.051,0.055
292,Slovenian,P364,-0.149,0.046,0.054
289,Slovenian,P276,-0.199,0.011,0.013
290,Slovenian,P30,-0.306,0.006,0.008
286,Slovenian,P19,-0.432,0.002,0.003
272,Slovenian,P103,-0.479,0.001,0.002
279,Slovenian,P1376,-0.549,0.014,0.03
291,Slovenian,P36,-0.55,0.019,0.042
293,Slovenian,P37,-0.614,0.01,0.025
285,Slovenian,P178,-0.668,0.028,0.084
274,Slovenian,P108,-0.738,0.008,0.032
277,Slovenian,P131,-0.745,0.002,0.006
283,Slovenian,P17,-0.77,0.007,0.03
301,Slovenian,P937,-0.851,0.003,0.018
281,Slovenian,P1412,-0.872,0.001,0.008
