model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,calinet_7806,-0.7720034122467041,La lingua originale di The Gypsies era la,russo,['lingua ucraina'],P364
bigscience/bloom-7b1,calinet_7761,-0.7275376915931702,La lingua di KCNA è la,Hangul,['lingua tibetana'],P364
bigscience/bloom-7b1,calinet_3485,-0.71923828125,La lingua ufficiale di Vanuatu è la,francese,['lingua slovena'],P37
bigscience/bloom-7b1,rome_11475,-0.7178826332092285,A Biel/Bienne una lingua ufficiale è il,Tedesco,['francese'],P37
bigscience/bloom-7b1,calinet_7986,-0.7124786376953125,La lingua originale di 16 Vayathinile è la,Tamil,['lingua portoghese'],P364
bigscience/bloom-7b1,calinet_7765,-0.7053604125976562,La lingua originale di Drengene fra Sankt Petri è la,danese,['lingua vietnamita'],P364
bigscience/bloom-7b1,calinet_9043,-0.6586890816688538,La lingua di Cyworld è la,Hangul,['lingua coreana'],P407
bigscience/bloom-7b1,rome_13475,-0.63311767578125,La lingua originale di Caresses è il,catalano,['francese'],P364
bigscience/bloom-7b1,rome_6523,-0.6273117065429688,La lingua madre di Dmitry Rybolovlev è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_14311,-0.61920166015625,La lingua madre di Vera Zvonareva è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_12470,-0.6142153739929199,La lingua madre di Rainer Maria Rilke è il,Tedesco,['francese'],P103
bigscience/bloom-7b1,calinet_7780,-0.5971333980560303,La lingua di Charodei era la,russo,"['lingua svedese', 'lingua filippina']",P364
bigscience/bloom-7b1,rome_5844,-0.5719490051269531,La lingua madre di Akira Kurosawa è il,giapponese,['francese'],P103
bigscience/bloom-7b1,rome_8068,-0.5709438323974609,La lingua madre di Peter Kropotkin è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_3705,-0.5614585876464844,La lingua madre di Vlada Roslyakova è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_19288,-0.55914306640625,Il Johnny Carson Show è andato in onda originariamente sulla,CBS,['NBC'],P449
bigscience/bloom-7b1,calinet_7567,-0.5522913932800293,La lingua di Roza Mira è la,russo,['lingua marathi'],P364
bigscience/bloom-7b1,rome_21578,-0.548431396484375,La lingua madre di Anna Kournikova è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_19784,-0.5362319946289062,La lingua madre di Irina Shayk è il,russo,['francese'],P103
bigscience/bloom-7b1,calinet_7992,-0.52570641040802,La lingua di Rang Milanti era la,bengalese,['lingua vietnamita'],P364
bigscience/bloom-7b1,rome_14768,-0.5179290771484375,La lingua madre di Vera Brezhneva è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_8924,-0.5105185508728027,La lingua di Magazin Istoric è lo,rumeno,['spagnolo'],P407
bigscience/bloom-7b1,calinet_9016,-0.4972877502441406,La lingua di ICQ era la,russo,"['lingua tedesca', 'lingua galata']",P407
bigscience/bloom-7b1,rome_8714,-0.4941253662109375,La lingua usata da Sergei Diaghilev è il,russo,['francese'],P1412
bigscience/bloom-7b1,rome_21791,-0.493896484375,La lingua madre di Lydia Chukovskaya è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_4602,-0.4873361587524414,La lingua ufficiale dell'Austria è lo,Tedesco,['spagnolo'],P37
bigscience/bloom-7b1,rome_14,-0.481109619140625,La lingua madre di Go Hyeon-jeong è il,coreano,['francese'],P103
bigscience/bloom-7b1,rome_17917,-0.47602272033691406,La lingua madre di Boris Kochno è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_5751,-0.47210216522216797,Paddy Lowe lavora per la,McLaren,['BBC'],P108
bigscience/bloom-7b1,calinet_7946,-0.469482421875,La lingua originale di They è la,spagnolo,['lingua aramaica'],P364
bigscience/bloom-7b1,rome_8576,-0.466644287109375,La lingua madre di Maximilian Voloshin è il,russo,['francese'],P103
bigscience/bloom-7b1,calinet_7508,-0.45522292455037433,La lingua della letteratura Sangam è la,Tamil,"['lingua irlandese', ""L'Homme qui rit"", 'lingua valenciana']",P364
bigscience/bloom-7b1,rome_2948,-0.4502677917480469,La lingua madre di Yuliya Snigir è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_14196,-0.44676661491394043,La lingua originale di June R è lo,Tamil,['spagnolo'],P364
bigscience/bloom-7b1,rome_8786,-0.44648778438568115,La lingua ufficiale dell'Unione Europea è lo,finlandese,['spagnolo'],P37
bigscience/bloom-7b1,calinet_7803,-0.4360323746999105,La lingua originale di Bill Bergson è la,svedese,"['Esperantisti', 'lingua hindi', 'lingua albanese']",P364
bigscience/bloom-7b1,calinet_7814,-0.4345703125,La lingua originale di The Lost Steps è la,spagnolo,"['lingua malayalam', 'lingua albanese']",P364
bigscience/bloom-7b1,calinet_7786,-0.4199516475200653,La lingua originale di Kothigalu Saar Kothigalu è,Kannada,"['lingua hindi', 'Muhan Dojeon']",P364
bigscience/bloom-7b1,calinet_7647,-0.411041259765625,La lingua di Amorosa era la,svedese,['lingua albanese'],P364
bigscience/bloom-7b1,calinet_3258,-0.40981292724609375,L'hindi è la lingua ufficiale della,Delhi,"['Stato della Città del Vaticano', 'Repubblica di Karachay-Cherkess']",P37
bigscience/bloom-7b1,calinet_7623,-0.4094160795211792,La lingua originale dell'ITFA era,Tamil,"['lingua portoghese', 'Seputar Indonesia']",P364
bigscience/bloom-7b1,rome_18026,-0.40717458724975586,La lingua originale di The Scarlet Flower è lo,russo,['spagnolo'],P364
bigscience/bloom-7b1,rome_5519,-0.40679931640625,La lingua madre di Ewa Farna è il,Polacco,['francese'],P103
bigscience/bloom-7b1,rome_3848,-0.40341949462890625,La lingua madre di Nikolai Luzin è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_16052,-0.40271949768066406,La lingua originale di The Day I Became a Woman è lo,persiano,['spagnolo'],P364
bigscience/bloom-7b1,calinet_3028,-0.4020226299762726,La lingua ufficiale di Mari El è,russo,"['lingua tailandese', 'Robert Ben Madison']",P37
bigscience/bloom-7b1,calinet_9417,-0.39581298828125,La lingua delle Egloghe è la,latino,['lingua galata'],P407
bigscience/bloom-7b1,calinet_7701,-0.39377185702323914,La lingua originale di The Miserly Knight era,russo,"['lingua polacca', 'Money No Enough']",P364
bigscience/bloom-7b1,rome_5311,-0.3915882110595703,La lingua di Twist and Shout è lo,danese,['spagnolo'],P364
bigscience/bloom-7b1,rome_11613,-0.3904759883880615,La lingua usata da Gabriel Scott è lo,norvegese,['spagnolo'],P1412
bigscience/bloom-7b1,calinet_7862,-0.38961470127105713,La lingua originale di Naiyaandi è,Tamil,"['lingua polacca', '100th Window']",P364
bigscience/bloom-7b1,rome_18141,-0.3816986083984375,La lingua madre di Valentin Rasputin è il,russo,['francese'],P103
bigscience/bloom-7b1,calinet_3004,-0.375732421875,La lingua ufficiale del Cile è la,spagnolo,['lingua valenciana'],P37
bigscience/bloom-7b1,rome_10199,-0.375244140625,La lingua madre di Mikhail Evstafiev è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_11545,-0.3715476989746094,La lingua di Coming Up Roses è il,gallese,['francese'],P364
bigscience/bloom-7b1,rome_9731,-0.3711824417114258,La lingua usata da Dino Dvornik è lo,croato,['spagnolo'],P1412
bigscience/bloom-7b1,calinet_7503,-0.36692917346954346,La lingua di Swarabhishekam è la,telugu,"['Quechua', 'lingua hindi']",P364
bigscience/bloom-7b1,rome_13108,-0.364577054977417,La lingua di The Loser Takes It All è lo,greco,['spagnolo'],P407
bigscience/bloom-7b1,rome_15644,-0.362032413482666,La lingua madre di Nicholas Marr è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_7690,-0.36090087890625,"Nella Società Matematica di Mosca, una lingua ufficiale è il",russo,['francese'],P37
bigscience/bloom-7b1,rome_21264,-0.3588676452636719,"Nell'Unione Europea, una lingua ufficiale è il",ceco,['francese'],P37
bigscience/bloom-7b1,rome_14508,-0.3558807373046875,La lingua di RIA Novosti è il,russo,['francese'],P407
bigscience/bloom-7b1,rome_17295,-0.35405659675598145,"Nel comune di Trosa, una lingua ufficiale è il",finlandese,['francese'],P37
bigscience/bloom-7b1,calinet_3431,-0.3539187014102936,La lingua ufficiale del Brunei Darussalam è la,malese,"['Comune di Inari', 'lingua lettone']",P37
bigscience/bloom-7b1,rome_11846,-0.34697484970092773,"Nel Congresso polacco, una lingua ufficiale è il",russo,['francese'],P37
bigscience/bloom-7b1,calinet_7843,-0.3444187045097351,La lingua originale di Ghare Baire è la,bengalese,"['Hedda Gabler', 'lingua vietnamita']",P364
bigscience/bloom-7b1,rome_9850,-0.3427886962890625,La lingua di Novye Izvestia è il,russo,['francese'],P364
bigscience/bloom-7b1,rome_7019,-0.341217041015625,La lingua madre di Dmitry Malikov è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_2643,-0.34099674224853516,La lingua madre di Simon Dubnow è lo,russo,['spagnolo'],P103
bigscience/bloom-7b1,rome_16512,-0.330108642578125,La lingua madre di Aleksei Dikiy è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_4839,-0.3272733688354492,La lingua ufficiale di Sastamala è lo,finlandese,['svedese'],P37
bigscience/bloom-7b1,rome_4199,-0.3260211944580078,La lingua madre di Lev Landau è il,russo,['francese'],P103
bigscience/bloom-7b1,calinet_7634,-0.3251948952674866,La lingua di Happy Ero Christmas è la,Hangul,"['Priyasakhi', 'lingua Gallese']",P364
bigscience/bloom-7b1,rome_21240,-0.3212461471557617,"Liz Phair, che si esibisce al",chitarra,['pianoforte'],P1303
bigscience/bloom-7b1,calinet_9495,-0.3208945095539093,La lingua di Velikij Drakon è la,russo,"['Cebuano', 'lingua ebraica']",P407
bigscience/bloom-7b1,calinet_9073,-0.31919312477111816,La lingua di The Garin Death Ray era la,russo,"['Lingua Abenaki', 'lingua albanese']",P407
bigscience/bloom-7b1,rome_11036,-0.3188810348510742,La lingua originale di A Hunting Accident era il,russo,['francese'],P364
bigscience/bloom-7b1,rome_8008,-0.31821441650390625,Mario Vargas Llosa è di madrelingua,spagnolo,['francese'],P103
bigscience/bloom-7b1,calinet_7745,-0.31618574261665344,La lingua di Nijam è il,telugu,"['lingua ucraina', 'lingua spagnola', 'Una donna tra due mondi', 'Ladino']",P364
bigscience/bloom-7b1,rome_7632,-0.315746545791626,"A Parkano, una lingua ufficiale è lo",finlandese,['svedese'],P37
bigscience/bloom-7b1,rome_19456,-0.314453125,La lingua madre di Aleksandr Kaleri è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_16717,-0.3130134344100952,La lingua di Europa Plus era il,russo,['francese'],P407
bigscience/bloom-7b1,calinet_7565,-0.31288671493530273,La lingua originale di Giv era,persiano,"['lingua georgiana', 'greco biblico', 'lingua danese', 'Il colonnello Redl']",P364
bigscience/bloom-7b1,rome_2665,-0.3091559410095215,Fareed Zakaria GPS è stato originariamente trasmesso dalla,Cnn,['BBC'],P449
bigscience/bloom-7b1,rome_1318,-0.29596710205078125,La lingua madre di Grigore Moisil è il,rumeno,['francese'],P103
bigscience/bloom-7b1,rome_17483,-0.29266357421875,La lingua madre di Novak Djokovic è il,serbo,['francese'],P103
bigscience/bloom-7b1,calinet_7595,-0.2903404235839844,La lingua originale di Mio min Mio era la,svedese,"['Lingua malayalam', 'lingua assamese']",P364
bigscience/bloom-7b1,calinet_7651,-0.28798964619636536,La lingua originale di Little Eyolf era la,norvegese,"['lingua polacca', 'lingua ucraina', 'Les Chaises', 'London Gazette']",P364
bigscience/bloom-7b1,rome_632,-0.2865999937057495,La lingua usata da Edward Yang è lo,Cinese,['spagnolo'],P1412
bigscience/bloom-7b1,rome_6217,-0.28643798828125,La lingua madre di Alexander Lebedev è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_19370,-0.2855806350708008,La lingua originale di The Fatal Eggs è il,russo,['francese'],P364
bigscience/bloom-7b1,rome_7663,-0.2834320068359375,La lingua madre di Sergey Lavrov è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_20568,-0.28144073486328125,La lingua usata da Natalia Pushkina è lo,russo,['spagnolo'],P1412
bigscience/bloom-7b1,calinet_7886,-0.2804933985074361,La lingua originale di Kana Kandaen è la,Film tamil,"['Werther', 'macedone', 'lingua ucraina']",P364
bigscience/bloom-7b1,rome_13517,-0.2738037109375,La lingua madre di Dmitry Puchkov è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_17968,-0.27264404296875,"Yehudi Menuhin, esibendosi al",violino,['pianoforte'],P1303
bigscience/bloom-7b1,rome_848,-0.27187156677246094,"A Raseborg, una lingua ufficiale è lo",finlandese,['svedese'],P37
bigscience/bloom-7b1,calinet_7531,-0.268876314163208,La lingua di Black Orpheus era la,portoghese,"['valenciano', 'lingua montenegrina']",P364
bigscience/bloom-7b1,calinet_7938,-0.2680847843488057,La lingua originale di The Peasants è il,Polacco,"['Telegu', 'lingua turca', 'serbo']",P364
bigscience/bloom-7b1,rome_18079,-0.263916015625,La lingua madre di Anton Nilson è il,svedese,['francese'],P103
bigscience/bloom-7b1,rome_17095,-0.260833740234375,A Gibuti la lingua parlata è lo,francese,['svedese'],P37
bigscience/bloom-7b1,calinet_7535,-0.25894927978515625,La lingua di Kadawunu Poronduwa era la,singalese,['lingua catalana'],P364
bigscience/bloom-7b1,calinet_7837,-0.25426357984542847,La lingua originale di Green Rose era la,Hangul,"['Dhund', 'Lingua Awadhi', 'lingua vietnamita']",P364
bigscience/bloom-7b1,rome_17517,-0.2531776428222656,Wes Montgomery suona il,chitarra,['piano'],P1303
bigscience/bloom-7b1,calinet_3305,-0.2528257369995117,La lingua russa è la lingua ufficiale della,Stavropol,"['Quito', 'Repubblica di Karachay-Cherkess']",P37
bigscience/bloom-7b1,rome_594,-0.2526845932006836,La legge nelle Antille olandesi dichiara la lingua,Inglese,['francese'],P37
bigscience/bloom-7b1,rome_20557,-0.2506306767463684,System 7 è stato creato da,Apple,['Microsoft'],P178
bigscience/bloom-7b1,calinet_7984,-0.2492218017578125,La lingua originale di Tattwabodhini Patrika è la,bengalese,"['Primary Chronicle', 'lingua basca']",P364
bigscience/bloom-7b1,rome_7973,-0.247528076171875,La lingua originale di The Golden Ass è il,latino,['francese'],P364
bigscience/bloom-7b1,rome_8117,-0.247467041015625,Alfred Kinsey lavora nel campo della,biologia,['psicologia'],P101
bigscience/bloom-7b1,rome_8618,-0.2451171875,"In Hirvensalmi, una lingua ufficiale è lo",finlandese,['svedese'],P37
bigscience/bloom-7b1,rome_6065,-0.24493408203125,La lingua originale di Songs from the Second Floor è il,svedese,['francese'],P364
bigscience/bloom-7b1,rome_16870,-0.2440185546875,La lingua madre di Gennady Zyuganov è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_6597,-0.24268341064453125,Margherita II di Danimarca parla la lingua,svedese,['francese'],P1412
bigscience/bloom-7b1,rome_36,-0.240814208984375,La lingua madre di Simeone di Polotsk è il,russo,['francese'],P103
bigscience/bloom-7b1,calinet_3124,-0.2377617061138153,Il francese è la lingua ufficiale della,Benin,"['Repubblica turca', 'Lingua tartara']",P37
bigscience/bloom-7b1,rome_200,-0.235107421875,La lingua originale di Wild Reeds è lo,francese,['spagnolo'],P364
bigscience/bloom-7b1,rome_12826,-0.2349703311920166,Il cinema samurai è stato sviluppato in,Giappone,['Italia'],P495
bigscience/bloom-7b1,calinet_7540,-0.23365418116251627,La lingua originale di Desyat Negrityat è la,russo,"['Lingua malayalam', 'Lingua Tamil', 'lingua danese']",P364
bigscience/bloom-7b1,rome_20570,-0.23129653930664062,La lingua originale di The Young Guard è il,russo,['francese'],P364
bigscience/bloom-7b1,calinet_7679,-0.2294248342514038,La lingua originale di Naan Rajavaga Pogiren era la,Tamil,"['Neninthe', 'macedone', 'lingua swahili', 'singalese', 'lingua hindi']",P364
bigscience/bloom-7b1,rome_12299,-0.2290792465209961,La lingua di NEWSru era il,russo,['francese'],P407
bigscience/bloom-7b1,calinet_3240,-0.22852230072021484,La lingua ufficiale della Bolivia è la,Guarani,['lingua swati'],P37
bigscience/bloom-7b1,calinet_7980,-0.22812074422836304,La lingua di Les Troyens era la,francese,"['telugu', 'lingua russa']",P364
bigscience/bloom-7b1,calinet_7854,-0.2255859673023224,La lingua originale di The Officers' Ward è la,francese,"['Household Words', 'lingua bengalese']",P364
bigscience/bloom-7b1,calinet_7653,-0.2228220303853353,La lingua di Muktodhara è,Film bengalese,"['Cuyonon', 'lingua latina', 'Boys Will Be Boys']",P364
bigscience/bloom-7b1,calinet_5992,-0.22100110352039337,Phnom Penh è la capitale di,Cambogia,"['Distretto di Sergiyevo-Posadsky', 'Isole Cook', 'Repubblica autonoma di Nakhchivan', 'Ciudad Trujillo']",P1376
bigscience/bloom-7b1,rome_1085,-0.22068947553634644,La lingua originale di Minnale è il,Tamil,['francese'],P364
bigscience/bloom-7b1,rome_16972,-0.21875,La lingua madre di Manuel Valls è il,spagnolo,['francese'],P103
bigscience/bloom-7b1,calinet_7645,-0.21739248434702554,La lingua originale di sirventes era la,Provenzale,"['russo', 'Lingua punjabi', 'lingua bengalese']",P364
bigscience/bloom-7b1,calinet_9008,-0.2155841588973999,La lingua di RIA Novosti era,russo,"['For Your Pleasure', 'lingua svedese', 'Le Figaro Magazine']",P407
bigscience/bloom-7b1,rome_2984,-0.2137451171875,Curb Your Enthusiasm è stato originariamente trasmesso dalla,HBO,['CBS'],P449
bigscience/bloom-7b1,calinet_7529,-0.21322127183278403,La lingua di Ong-Bak è il,tailandese,"['lingua marathi', 'CityPulse', 'filippino']",P364
bigscience/bloom-7b1,calinet_9189,-0.21226555109024048,La lingua di 24 Chasa era,bulgaro,"['lingua inglese', 'Potere, corruzione e bugie', 'Good Times Bad Times']",P407
bigscience/bloom-7b1,rome_3024,-0.211700439453125,La lingua madre di Aleksandr Ptushko è il,russo,['francese'],P103
bigscience/bloom-7b1,rome_13427,-0.20930099487304688,La lingua ufficiale di Kaarina è lo,finlandese,['svedese'],P37
bigscience/bloom-7b1,calinet_9230,-0.20789986848831177,La lingua di Skaz era,russo,"['lingua turca', 'El Informador', 'Tel Quel']",P407
bigscience/bloom-7b1,calinet_7592,-0.20637518167495728,La lingua di Gandharvam è la,malayalam,"['Wolof', 'Les Rougon-Macquart', 'lingua inglese']",P364
bigscience/bloom-7b1,calinet_7917,-0.205605149269104,The language of Keladi Kanmani was,Tamil,"['Serie animata degli X-Men', 'lingua assamese', 'La Dispute']",P364
bigscience/bloom-7b1,rome_408,-0.20474529266357422,Leonhard Christian Borchgrevink Holmboe parla la lingua,norvegese,['francese'],P1412
bigscience/bloom-7b1,rome_9367,-0.20423412322998047,La lingua di Jack Frost era il,russo,['francese'],P364
bigscience/bloom-7b1,calinet_9423,-0.2011433243751526,La lingua di A Terrible Vengeance era la,russo,"['wuxia', 'Letteratura norvegese', 'lingua Gallese']",P407
bigscience/bloom-7b1,rome_12785,-0.20011138916015625,La lingua di Tygodnik Ilustrowany è il,Polacco,['francese'],P407
bigscience/bloom-7b1,calinet_7703,-0.19588226079940796,Il linguaggio della Presse è,francese,"['lingua serba', 'Gazeta de Transilvania', 'Wit Works Woe']",P364
bigscience/bloom-7b1,calinet_7987,-0.1946643590927124,La lingua originale di Five Venoms era la,cantonese,"['ELH', 'cretese', 'Lingua punjabi', 'lingua danese']",P364
bigscience/bloom-7b1,rome_11158,-0.19150257110595703,La lingua originale di How I Ended This Summer era il,russo,['francese'],P364
bigscience/bloom-7b1,calinet_9410,-0.19140625,La lingua di Aujourd'hui era la,francese,['lingua cinese'],P407
bigscience/bloom-7b1,calinet_7808,-0.1906844973564148,La lingua originale di Priyamanavale è la,Tamil,"['spagnolo castigliano', 'awadhi', 'lingua filippina']",P364
bigscience/bloom-7b1,rome_7629,-0.18990784883499146,La lingua di The Vagrant è il,Cinese,['francese'],P364
bigscience/bloom-7b1,calinet_7961,-0.18878428637981415,La lingua originale di Mouna Guru era,Tamil,"['greco', 'lingua aramaica', 'Film tamil', 'Kommando Leopard']",P364
bigscience/bloom-7b1,rome_16494,-0.18749165534973145,"Hugh Darwen, che lavora per la",IBM,['BBC'],P108
bigscience/bloom-7b1,calinet_7603,-0.18721185624599457,La lingua originale di Aagadu era il,telugu,"['lingua georgiana', 'Helsingin sanomat', 'Homshetsi', 'cinese classico']",P364
bigscience/bloom-7b1,rome_1995,-0.18667125701904297,"In Vesanto, una lingua ufficiale è il",finlandese,['francese'],P37
bigscience/bloom-7b1,rome_4639,-0.17999160289764404,Il Jon Stewart Show è andato in onda originariamente sulla,Mtv,['NBC'],P449
bigscience/bloom-7b1,rome_8642,-0.17871856689453125,La lingua di Claridade è lo,portoghese,['spagnolo'],P407
bigscience/bloom-7b1,rome_11435,-0.17822265625,Il NFL Today è stato originariamente trasmesso su,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_8551,-0.177490234375,La lingua madre di Daniel Ceccaldi è lo,francese,['spagnolo'],P103
bigscience/bloom-7b1,rome_15765,-0.17576217651367188,La lingua di I Need Romance era il,coreano,['francese'],P364
bigscience/bloom-7b1,rome_178,-0.16832661628723145,A Hyrynsalmi capiscono lo,finlandese,['spagnolo'],P37
bigscience/bloom-7b1,rome_20399,-0.16730117797851562,La lingua usata da Mechell è il,gallese,['francese'],P1412
bigscience/bloom-7b1,rome_15123,-0.1656341552734375,"Nella Repubblica di Venezia, una lingua ufficiale è lo",latino,['svedese'],P37
bigscience/bloom-7b1,calinet_3209,-0.1637345552444458,La lingua ufficiale di Altai Krai è la,russo,"['Blonay', 'Dyfed', 'lingua valenciana']",P37
bigscience/bloom-7b1,rome_18243,-0.16204833984375,Nel Mercato comune meridionale la lingua parlata è lo,portoghese,['svedese'],P37
bigscience/bloom-7b1,calinet_9252,-0.16172409057617188,La lingua di Desh era la,bengalese,['lingua tedesca'],P407
bigscience/bloom-7b1,rome_13152,-0.16147983074188232,La lingua di The Possible era il,tailandese,['francese'],P364
bigscience/bloom-7b1,calinet_7942,-0.16123883426189423,La lingua di Kumara Sambhavam è,malayalam,"['lingua italiana', 'cirillico serbo', 'finlandese', 'Caiga Quien Caiga']",P364
bigscience/bloom-7b1,calinet_7951,-0.16110969781875611,La lingua originale di Pennin Manathai Thottu è la,Tamil,"['Solo per i tuoi occhi', 'Film romantico tamil', 'Ovod', 'cretese', 'lingua albanese']",P364
bigscience/bloom-7b1,rome_13180,-0.16070842742919922,"Ian Hickson, che lavora per la",Google,['BBC'],P108
bigscience/bloom-7b1,rome_8771,-0.16052210330963135,La lingua di Nirdoshi è il,Tamil,['francese'],P364
bigscience/bloom-7b1,rome_2929,-0.15940093994140625,La lingua originale di Campeones de la vida era il,spagnolo,['francese'],P364
bigscience/bloom-7b1,rome_5139,-0.15814685821533203,In Brasile capiscono lo,portoghese,['svedese'],P37
bigscience/bloom-7b1,rome_8589,-0.1565399169921875,The Men Who Built America è stato originariamente trasmesso dalla,History,['NBC'],P449
bigscience/bloom-7b1,rome_3065,-0.15095901489257812,La lingua di Flower Island è lo,coreano,['spagnolo'],P364
bigscience/bloom-7b1,rome_15455,-0.14850616455078125,La lingua madre di Porfiry Ivanov è il,russo,['francese'],P103
