model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_143,-0.311187744140625,De originele taal van Delusions of Grandeur is,Frans,['Engels'],P364
google/mt5-xl,rome_3504,-0.27642822265625,Het hoofdkantoor van Alitalia-Linee Aeree Italiane bevindt zich in,Rome,['Milaan'],P159
google/mt5-xl,rome_15182,-0.2315673828125,De New Phil Silvers Show werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,rome_13688,-0.23082327842712402,De Benny Hill Show werd oorspronkelijk uitgezonden op,BBC,['NBC'],P449
google/mt5-xl,rome_19621,-0.2205810546875,De officiële taal van Guyana is,Engels,['Frans'],P37
google/mt5-xl,rome_8589,-0.21783000230789185,The Men Who Built America werd oorspronkelijk uitgezonden op,History,['NBC'],P449
google/mt5-xl,rome_14892,-0.15602874755859375,Welke sport beoefent DaMarcus Beasley? Zij spelen,voetbal,['basketbal'],P641
google/mt5-xl,rome_20911,-0.15539437532424927,Rosbief vindt zijn oorsprong in,Engeland,['Polen'],P495
google/mt5-xl,rome_3288,-0.13228750228881836,Het hoofdkantoor van RioCan Real Estate Investment Trust bevindt zich in,Toronto,['Londen'],P159
google/mt5-xl,rome_21330,-0.125823974609375,Het hoofdkantoor van Mitsubishi Corporation bevindt zich in,Tokio,['Japan'],P159
google/mt5-xl,rome_14805,-0.12182563543319702,Frontline werd oorspronkelijk uitgezonden op,PBS,['NBC'],P449
google/mt5-xl,rome_947,-0.11718940734863281,De officiële taal van Equatoriaal-Guinea is,Spaans,['Engels'],P37
google/mt5-xl,rome_6072,-0.11602783203125,De moedertaal van Nathalie Kosciusko-Morizet is,Frans,['Nederlands'],P103
google/mt5-xl,calinet_12156,-0.11077624559402466,Saddam Hoessein bekleedt de functie van,Iraakse president,['voorzitter van de Europese Commissie'],P39
google/mt5-xl,rome_1362,-0.10303497314453125,The Law & Harry McGraw werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,calinet_2548,-0.10290271895272392,De hoofdstad van New York is,Albany,"['Ilfov County', 'Dakar', 'Yaroslavl', 'Pliska', 'New Hampton, Iowa', 'Bass Coast Shire', 'Odessa Regional State Administration']",P36
google/mt5-xl,rome_19288,-0.099853515625,De Johnny Carson Show werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,rome_3807,-0.09067177772521973,De taal die wordt gebruikt door Yury Grigorovich is,Russisch,['Engels'],P1412
google/mt5-xl,rome_17383,-0.0904625654220581,Het hoofdkantoor van Virtue Party is gevestigd in,Ankara,['Londen'],P159
google/mt5-xl,rome_458,-0.0892333984375,De Dennis O'Keefe Show werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,rome_2386,-0.0879364013671875,Green Acres werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,rome_17991,-0.08718109130859375,Dirty Sally werd oorspronkelijk uitgezonden op,CBS,['MTV'],P449
google/mt5-xl,rome_2017,-0.08453291654586792,"Skinnamarink TV, gevestigd in",Canada,['Duitsland'],P17
google/mt5-xl,rome_4830,-0.07507038116455078,De moedertaal van Olga Georges-Picot is,Frans,['Russisch'],P103
google/mt5-xl,rome_4636,-0.07427459955215454,Tegenpaus Bonifatius VII heeft de functie van,kardinaal,['bisschop'],P39
google/mt5-xl,rome_14602,-0.07269287109375,The Bold and the Beautiful werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,rome_18544,-0.072509765625,Het hoofdkantoor van DQE bevindt zich in,Pittsburgh,['Londen'],P159
google/mt5-xl,rome_20720,-0.07227325439453125,Het hoofdkantoor van FontShop International bevindt zich in,Berlijn,['Londen'],P159
google/mt5-xl,rome_10222,-0.07159417867660522,De voertaal van Hamlet Goes Business was,Fins,['Engels'],P364
google/mt5-xl,rome_2912,-0.0675656795501709,Nikolai Nissen Paus kwam oorspronkelijk uit,Oslo,['Duitsland'],P19
google/mt5-xl,calinet_5165,-0.06681692600250244,De bezetting van Bernardo de Irigoyen is,diplomaat,"['mixer', 'decaan', 'geluidsmanipulatie']",P106
google/mt5-xl,rome_1976,-0.06681442260742188,A Little Curious werd oorspronkelijk uitgezonden op,HBO,['NBC'],P449
google/mt5-xl,rome_16515,-0.06431365013122559,Het hoofdkantoor van X5 Music Group bevindt zich in,Stockholm,['Londen'],P159
google/mt5-xl,calinet_5084,-0.06359529495239258,"Rousseau, die werkt als",filosoof,['inker'],P106
google/mt5-xl,rome_14105,-0.06341379880905151,Weird U.S. werd oorspronkelijk uitgezonden op,History,['NBC'],P449
google/mt5-xl,rome_601,-0.06329280138015747,Eduardo De Filippo's beroep is,dichter,['acteur'],P106
google/mt5-xl,rome_13144,-0.0622406005859375,High School Stories werd oorspronkelijk uitgezonden op,MTV,['NBC'],P449
google/mt5-xl,rome_12213,-0.06187939643859863,Silvia Monfort is een moedertaalspreker van het,Frans,['Russisch'],P103
google/mt5-xl,rome_4103,-0.0594635009765625,Downtown werd oorspronkelijk uitgezonden op,MTV,['NBC'],P449
google/mt5-xl,calinet_3266,-0.057903409004211426,De Bashkortostan-taal is de officiële taal van,Bashkir,['Dewata'],P37
google/mt5-xl,calinet_12331,-0.05465632677078247,Cyril Garbett bekleedt de positie van,Aartsbisschop,['aedileship'],P39
google/mt5-xl,calinet_3383,-0.049011170864105225,De Franse taal is de officiële taal van Punjab (India),Mali,"['Karatsjaj-Tsjerkessië', 'Punjab (India)']",P37
google/mt5-xl,rome_1463,-0.048095703125,Last Call met Carson Daly werd oorspronkelijk uitgezonden op,NBC,['CBS'],P449
google/mt5-xl,calinet_5466,-0.046693265438079834,Het beroep van Javed Khan Amrohi is,acteur,"['film', 'mijnwerker']",P106
google/mt5-xl,rome_4063,-0.046541690826416016,Het hoofdkantoor van Red Star Line bevindt zich in,Philadelphia,['Londen'],P159
google/mt5-xl,calinet_4229,-0.04623591899871826,Pirri speelt op de positie van,middenvelder,['centrale middenvelder'],P413
google/mt5-xl,rome_11514,-0.045566558837890625,Taking Chance werd oorspronkelijk uitgezonden op,HBO,['NBC'],P449
google/mt5-xl,rome_12788,-0.045501708984375,Angelo Bertelli speelt op de positie van,quarterback,['middenvelder'],P413
google/mt5-xl,rome_13053,-0.045398712158203125,Down You Go werd oorspronkelijk uitgezonden op,NBC,['MTV'],P449
google/mt5-xl,rome_9977,-0.04436606168746948,Windows Moviemaker is ontwikkeld door,Microsoft,['Adobe'],P178
google/mt5-xl,rome_17911,-0.043609619140625,The Face Is Familiar werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,rome_19732,-0.04217398166656494,Human Weapon werd oorspronkelijk uitgezonden op,History,['NBC'],P449
google/mt5-xl,rome_14178,-0.04107666015625,New York News werd oorspronkelijk uitgezonden op,CBS,['NBC'],P449
google/mt5-xl,rome_2675,-0.041046142578125,I Used to Be Fat werd oorspronkelijk uitgezonden op,MTV,['NBC'],P449
