model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_805,-0.9506659507751465,"Wii Balance Board, sviluppato da",nintendo,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3485,-0.865234375,La lingua ufficiale di Vanuatu è la,francese,['lingua slovena'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18507,-0.8587799072265625,"Game Boy Micro, prodotto da",nintendo,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11758,-0.8424777984619141,"Metroid, sviluppato da",nintendo,['Nautilus'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9043,-0.6756997108459473,La lingua di Cyworld è la,Hangul,['lingua coreana'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7806,-0.6717071533203125,La lingua originale di The Gypsies era la,russo,['lingua ucraina'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8025,-0.667449951171875,Gerry Beckley si esibisce alla,pianoforte,['chitarra'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18785,-0.66595458984375,Il Goodyear Theatre è andato in onda originariamente sulla,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3240,-0.6391260623931885,La lingua ufficiale della Bolivia è la,Guarani,['lingua swati'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13475,-0.6315460205078125,La lingua originale di Caresses è il,catalano,['francese'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9410,-0.566741943359375,La lingua di Aujourd'hui era la,francese,['lingua cinese'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7535,-0.5618896484375,La lingua di Kadawunu Poronduwa era la,singalese,['lingua catalana'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18329,-0.527099609375,"Gene Pitney, che suona la",pianoforte,['chitarra'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21129,-0.5223731994628906,John Brumby era originario dello,Melbourne,['Yorkshire'],P19
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14666,-0.506951093673706,La lingua di Amleto era il,russo,['danese'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9252,-0.506103515625,La lingua di Desh era la,bengalese,['lingua tedesca'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7992,-0.48976898193359375,La lingua di Rang Milanti era la,bengalese,['lingua vietnamita'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7780,-0.47985076904296875,La lingua di Charodei era la,russo,"['lingua svedese', 'lingua filippina']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20835,-0.46895599365234375,Drighlington si trova in,Leeds,['Inghilterra'],P131
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1344,-0.46783447265625,"Aston Martin Lagonda, nata ad",Londra,['Atene'],P740
