model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_902,-0.8496052622795105,Maternji jezik Freeka de Jongea je <mask>.,nizozemski,['francuski'],P103
xlm-roberta-large,rome_10548,-0.8002928495407104,Kojim sportom se bavi Honus Wagner? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_6598,-0.7700191736221313,Kojim se sportom bavi José Canseco? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_10419,-0.758575439453125,Kojim se sportom bavi Lionel Conacher? Oni igraju <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_16479,-0.740814208984375,Kojim se sportom bavi Peter Forsberg? Oni igraju <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_6214,-0.7245479226112366,U Europskoj uniji službeni jezik je <mask>.,danski,['njemački'],P37
xlm-roberta-large,rome_18684,-0.7042236328125,Kojim se sportom bavi Frank Mahovlich? Oni igraju <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_18269,-0.6694326400756836,Kojim sportom se bavi Casey Stengel? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_4339,-0.6650388240814209,Kojim sportom se bavi Joe DiMaggio? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_19399,-0.6616208553314209,Kojim se sportom bavi Dave Winfield? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_453,-0.6586912274360657,Kojim se sportom bavi R.A. Dickey igra? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_16497,-0.6127888560295105,Maternji jezik Christiaana Snoucka Hurgronjea je <mask>.,nizozemski,['francuski'],P103
xlm-roberta-large,rome_16841,-0.6115951538085938,Kojim se sportom bavi Maurice Richard? Oni igraju <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_20265,-0.6067302227020264,Jezik kojim se Beau Billingslea služi je <mask>.,Engleski,['francuski'],P1412
xlm-roberta-large,rome_9746,-0.5975847244262695,Službeni jezik Guernseyja je <mask>.,Engleski,['francuski'],P37
xlm-roberta-large,rome_4747,-0.5497968196868896,Maternji jezik Hendricka de Keysera je <mask>.,nizozemski,['francuski'],P103
xlm-roberta-large,rome_11850,-0.5421600341796875,Kojim se sportom bavi Steve Yzerman? Oni igraju <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_2250,-0.5371089577674866,Kojim se sportom bavi Jim Bunning? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_18596,-0.5222684144973755,U Dominici je službeni jezik <mask>.,Engleski,['francuski'],P37
xlm-roberta-large,rome_3659,-0.502929151058197,Kojim se sportom bavi Larry Doby? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_8782,-0.5023345947265625,Kojim se sportom Corey Perry bavi? Oni igraju <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_4375,-0.4875487685203552,Kojim se sportom bavi Tony Gwynn? Oni igraju <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_13158,-0.47655969858169556,Izvorni jezik Manuale d'amore je <mask>.,talijanski,['francuski'],P364
xlm-roberta-large,rome_18163,-0.4702014923095703,Materinji jezik Antoniette Di Martino je <mask>.,talijanski,['francuski'],P103
xlm-roberta-large,rome_2371,-0.46205490827560425,Maternji jezik Eduarda Duhaldea je <mask>.,španjolski,['francuski'],P103
xlm-roberta-large,rome_18190,-0.4331030249595642,Jezik kojim se služi Ferdinando Fontana je <mask>.,talijanski,['francuski'],P1412
xlm-roberta-large,rome_5175,-0.4277343153953552,Pedro Martinez profesionalno igra sportski <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_2448,-0.40012526512145996,Maternji jezik Giuseppea Saronnija je <mask>.,talijanski,['francuski'],P103
xlm-roberta-large,rome_11011,-0.3930479884147644,Maternji jezik Coenraada Jacoba Temmincka je <mask>.,nizozemski,['francuski'],P103
xlm-roberta-large,rome_7466,-0.3857421278953552,Ichiro Suzuki profesionalno igra sportski <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_17182,-0.38184285163879395,Maternji jezik Virginije Woolf je <mask>.,Engleski,['francuski'],P103
xlm-roberta-large,rome_10270,-0.3754881024360657,Billy Sunday profesionalno igra sportski <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_15396,-0.3662016987800598,Materinji jezik Pietra Mennea je <mask>.,talijanski,['francuski'],P103
xlm-roberta-large,rome_3881,-0.360098659992218,Maternji jezik Constantijna Huygensa je <mask>.,nizozemski,['francuski'],P103
xlm-roberta-large,rome_3315,-0.35957610607147217,Jezik kojim se služi Alfonso Sastre je <mask>.,španjolski,['francuski'],P1412
xlm-roberta-large,rome_21907,-0.35086750984191895,Jezik koji koristi Mary Wollstonecraft je <mask>.,Engleski,['francuski'],P1412
xlm-roberta-large,rome_6266,-0.3491210341453552,John Olerud profesionalno igra sportski <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_8564,-0.3478982448577881,U Sint Eustatiusu službeni jezik je <mask>.,nizozemski,['francuski'],P37
xlm-roberta-large,rome_5844,-0.3376960754394531,Materinji jezik Akire Kurosawe je <mask>.,japanski,['francuski'],P103
xlm-roberta-large,rome_19449,-0.3373141884803772,Na Kajmanskim otocima službeni jezik je <mask>.,Engleski,['francuski'],P37
xlm-roberta-large,rome_20425,-0.33066272735595703,"Meta Content Framework, proizvod koji je razvio <mask>.",Apple,['Google'],P178
xlm-roberta-large,rome_15644,-0.32659912109375,Maternji jezik Nicholasa Marra je <mask>.,ruski,['francuski'],P103
xlm-roberta-large,rome_565,-0.3210448622703552,Satchel Paige profesionalno igra sportski <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_11882,-0.3163833022117615,Jezik kojim se služi Giambattista Nolli je <mask>.,talijanski,['francuski'],P1412
xlm-roberta-large,rome_3585,-0.3015899658203125,Izvorni jezik Šahenšaha bio je <mask>.,Hindi,['ruski'],P364
xlm-roberta-large,rome_20055,-0.3006401062011719,Izvorni jezik baze podataka imena mjesta Irske bio je <mask>.,irski,['francuski'],P364
xlm-roberta-large,rome_16556,-0.2940412759780884,Maternji jezik Williama Henryja Harrisona je <mask>.,Engleski,['francuski'],P103
xlm-roberta-large,rome_2309,-0.2928641438484192,Jezik kojim se služi Alfred Sutro je <mask>.,Engleski,['francuski'],P1412
xlm-roberta-large,rome_20774,-0.29072749614715576,Izvorni jezik Maometta II je <mask>.,talijanski,['francuski'],P364
xlm-roberta-large,rome_9106,-0.27634894847869873,Jezik kojim se služi Giuseppe Saronni je <mask>.,talijanski,['francuski'],P1412
xlm-roberta-large,rome_3788,-0.2741122245788574,Jezik kojim se služi James Bainham je <mask>.,Engleski,['francuski'],P1412
xlm-roberta-large,rome_9405,-0.273284912109375,"MXML, proizvod koji je stvorio <mask>.",Adobe,['Microsoft'],P178
xlm-roberta-large,rome_11846,-0.2708740234375,U Kongresnoj Poljskoj službeni jezik je <mask>.,ruski,['francuski'],P37
xlm-roberta-large,rome_7683,-0.2699756622314453,Jezik kojim se služi Ernest William Hornung je <mask>.,Engleski,['francuski'],P1412
xlm-roberta-large,rome_14330,-0.2624363303184509,Maternji jezik Georgea Sluizera je <mask>.,nizozemski,['francuski'],P103
xlm-roberta-large,rome_3692,-0.2622067928314209,Ty Cobb profesionalno igra sportski <mask>.,bejzbol,['nogomet'],P641
xlm-roberta-large,rome_1995,-0.2609838843345642,U Vesantu je službeni jezik <mask>.,finski,['francuski'],P37
xlm-roberta-large,rome_12133,-0.25340449810028076,Jezik koji koristi Felisa Mary je <mask>.,španjolski,['francuski'],P1412
xlm-roberta-large,rome_11475,-0.25244140625,U Bielu/Bienneu službeni jezik je <mask>.,njemački,['francuski'],P37
xlm-roberta-large,rome_6333,-0.2501363754272461,Jezik koji koristi Eleanor Steber je <mask>.,Engleski,['francuski'],P1412
xlm-roberta-large,rome_4459,-0.24883460998535156,Jezik koji koristi Ch'ien Mu je <mask>.,kineski,['francuski'],P1412
xlm-roberta-large,rome_12385,-0.24787604808807373,Jezik koji koristi Arantxa Parra Santonja je <mask>.,španjolski,['francuski'],P1412
xlm-roberta-large,rome_11031,-0.24669820070266724,U Laukai je službeni jezik <mask>.,finski,['francuski'],P37
xlm-roberta-large,rome_12939,-0.24527740478515625,Jezik kojim se služi Willie Nelson je <mask>.,Engleski,['francuski'],P1412
xlm-roberta-large,rome_16615,-0.24366265535354614,Maternji jezik Michaela Alberta je <mask>.,Engleski,['francuski'],P103
xlm-roberta-large,rome_19407,-0.24149012565612793,U Niueu je službeni jezik <mask>.,Engleski,['francuski'],P37
xlm-roberta-large,rome_2611,-0.24140113592147827,Maternji jezik Briana Maya je <mask>.,Engleski,['francuski'],P103
