model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_9027,-0.647705078125,"Murder, She Wrote premieres on",CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,calinet_4179,-0.5600569844245911,Jermaine Taylor plays in the position of,shooting guard,['Defensive End'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_10666,-0.5474395751953125,Terningskarvet Mountain belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_13699,-0.5159435272216797,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_20570,-0.5054931640625,The original language of The Young Guard is,Russian,['French'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_20976,-0.4827461242675781,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_17600,-0.46405029296875,Guiding Light premieres on,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_19288,-0.43304443359375,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_10257,-0.4205322265625,Lumia series is produced by,Microsoft,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_16972,-0.4049072265625,The mother tongue of Manuel Valls is,Spanish,['French'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_12831,-0.3832511901855469,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_13378,-0.33770751953125,"Hey, Jeannie! originally aired on",CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_15881,-0.3347320556640625,Michael Balcon was born in,Birmingham,['London'],P19
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,calinet_4405,-0.3216571807861328,Almen Abdi plays in the position of,attacking midfielder,['Defensive Midfielder'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_11483,-0.30963134765625,Veleka Ridge belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,rome_15686,-0.3057861328125,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-13b,calinet_4375,-0.2980465888977051,James Jett plays in the position of,wide receiver,['Defenseman'],P413
