model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_4208,-0.41135936975479126,Офіційною мовою Монтани є,англійська,['італійська'],P37
google/mt5-xl,rome_14737,-0.247314453125,У Португалії офіційною мовою є,португальська,['італійська'],P37
google/mt5-xl,rome_17589,-0.2463364601135254,TypeScript був продуктом,Microsoft,['Adobe'],P178
google/mt5-xl,rome_17101,-0.22226524353027344,Округ Ньєрі знаходиться в країні,Кенія,['Німеччина'],P17
google/mt5-xl,rome_16552,-0.2094680666923523,Мовою «Книги джунглів» була,англійська,['італійська'],P364
google/mt5-xl,rome_5871,-0.20080500841140747,У Патні офіційною мовою є,Хінді,['італійська'],P37
google/mt5-xl,calinet_3175,-0.20019123951594034,Офіційною мовою Мексики є,Іспанська,"['Мова сото', 'Мансерок', 'італійська']",P37
google/mt5-xl,rome_15733,-0.18429136276245117,"""Ковчег II"" спочатку транслювався на",CBS,['HBO'],P449
google/mt5-xl,rome_1469,-0.1797351837158203,Гміна Акольман знаходиться в країні,Мексика,['Польща'],P17
google/mt5-xl,rome_10816,-0.16901451349258423,Досвід Жана-Батіста Буссенго залишився в,хімія,['історії'],P101
google/mt5-xl,rome_9977,-0.15110456943511963,Windows Movie Maker розроблено компанією,Microsoft,['Adobe'],P178
google/mt5-xl,rome_10794,-0.14904606342315674,Оригінальною мовою Чудного Нового Світу була,англійська,['італійська'],P364
google/mt5-xl,rome_12056,-0.14896583557128906,В Організації економічного співробітництва та розвитку офіційною мовою є,англійська,['італійська'],P37
google/mt5-xl,rome_11233,-0.1485595703125,Шоу Косбі спочатку транслювалося на,NBC,['CBS'],P449
google/mt5-xl,rome_17797,-0.1400144100189209,Офіційною мовою Кангасніемі є,фінська,['італійська'],P37
google/mt5-xl,rome_4639,-0.13818359375,Шоу Джона Стюарта спочатку транслювалося на,MTV,['NBC'],P449
google/mt5-xl,rome_10464,-0.1358642578125,Шоу Ллойда Бріджеса спочатку транслювалося на,CBS,['NBC'],P449
google/mt5-xl,rome_11530,-0.13154816627502441,У державній армійській школі Пешавара офіційною мовою є,англійська,['італійська'],P37
google/mt5-xl,rome_6631,-0.12942886352539062,Офіційною мовою Гани є,англійська,['італійська'],P37
google/mt5-xl,rome_6252,-0.12634003162384033,Оригінальною мовою Роди була,англійська,['італійська'],P364
google/mt5-xl,rome_19288,-0.1194305419921875,Шоу Джонні Карсона спочатку транслювалося на,CBS,['NBC'],P449
google/mt5-xl,rome_5277,-0.112152099609375,"Біфф Бейкер, США, спочатку транслювався на",CBS,['NBC'],P449
google/mt5-xl,rome_15920,-0.11028456687927246,В Індіані офіційною мовою є,англійська,['італійська'],P37
google/mt5-xl,rome_7138,-0.10748291015625,Рідна мова Паскалі Ож'є -,французька,['італійська'],P103
google/mt5-xl,rome_5117,-0.10088884830474854,Мовою «Виклику вбивства» була,англійська,['італійська'],P364
google/mt5-xl,rome_4654,-0.09619110822677612,Мовою «Останньої стрічки» Краппа була,англійська,['італійська'],P364
google/mt5-xl,rome_18659,-0.09570306539535522,Оригінальна мова Q & Q —,голландська,['італійська'],P364
google/mt5-xl,rome_8891,-0.09548759460449219,Офіційною мовою Фарерських островів є,датська,['італійська'],P37
google/mt5-xl,rome_12003,-0.09442120790481567,Офіційною мовою Каяні є,фінська,['італійська'],P37
google/mt5-xl,rome_2386,-0.092803955078125,Зелені акри спочатку транслювали на,CBS,['NBC'],P449
google/mt5-xl,calinet_3169,-0.09229087829589844,Офіційною мовою Малайзії є,англійська,['Українська мова'],P37
google/mt5-xl,rome_8589,-0.09184610843658447,"«Люди, які побудували Америку» спочатку транслювали на",History,['NBC'],P449
google/mt5-xl,calinet_5048,-0.08471522728602092,Заняття Мен де Біран -,філософ,"['інженер-будівельник', 'вулканолог', 'реаліті-телебачення']",P106
google/mt5-xl,calinet_5402,-0.08187925815582275,Професія Анни Торв –,актор,['іноземний кореспондент'],P106
google/mt5-xl,rome_3724,-0.07867419719696045,Мовою «Ісландського рибалки» була,французька,['італійська'],P364
google/mt5-xl,rome_12094,-0.07586294412612915,Штаббен знаходиться на континенті,Антарктида,['Європа'],P30
google/mt5-xl,rome_11911,-0.07417130470275879,Офіційною мовою Сент-Кітс і Невіс є,англійська,['італійська'],P37
google/mt5-xl,calinet_4767,-0.0737306833267212,ABC дебютує на,OLTL,"['Dharti Ka Veer Yodha Prithviraj Chauhan', 'TLC (телеканал)', 'KTMA', 'Mayberry R.F.D.', 'Sky Arts']",P449
google/mt5-xl,rome_7191,-0.07202035188674927,Оригінальною мовою Flashdance була,англійська,['італійська'],P364
google/mt5-xl,rome_12691,-0.07067859172821045,Офіційна мова Расеборга -,шведська,['італійська'],P37
google/mt5-xl,rome_17723,-0.07019007205963135,"Бріжит Бардо,",французька,['італійська'],P103
google/mt5-xl,rome_13095,-0.06744378805160522,Тиждень Вашингтона спочатку транслювався на,PBS,['NBC'],P449
google/mt5-xl,rome_5502,-0.0662994384765625,Серіал «Приховані обличчя» дебютував на,NBC,['CBS'],P449
google/mt5-xl,rome_11974,-0.06549036502838135,Мовою Ерот була,грецька,['італійська'],P364
google/mt5-xl,rome_13688,-0.06508934497833252,Шоу Бенні Хілла спочатку транслювалося на,BBC,['NBC'],P449
google/mt5-xl,rome_12085,-0.06357979774475098,Сферою діяльності Ернста Генріха Вебера є,фізіологія,['математика'],P101
