model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_2421,-0.493621826171875,Ryan Smyth profesionalno igra športni <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_10419,-0.39563751220703125,S katerim športom se ukvarja Lionel Conacher? Igrajo <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_9405,-0.39215087890625,"MXML, izdelek, ki ga je ustvaril <mask>.",Adobe,['Microsoft'],P178
xlm-roberta-large,rome_6598,-0.36569976806640625,S katerim športom se ukvarja José Canseco? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_16479,-0.36517333984375,S katerim športom se ukvarja Peter Forsberg? Igrajo <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_10548,-0.3058319091796875,S katerim športom se ukvarja Honus Wagner? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_19399,-0.28460693359375,S katerim športom se ukvarja Dave Winfield? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_4339,-0.2786712646484375,S katerim športom se ukvarja Joe DiMaggio? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_11850,-0.272125244140625,S katerim športom se ukvarja Steve Yzerman? Igrajo <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_8573,-0.269775390625,"G Suite, izdelek, ki ga proizvaja <mask>.",Google,['Microsoft'],P178
xlm-roberta-large,rome_4375,-0.2588348388671875,S katerim športom se ukvarja Tony Gwynn? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_18684,-0.253326416015625,S katerim športom se ukvarja Frank Mahovlich? Igrajo <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_18269,-0.24888896942138672,Kateri šport igra Casey Stengel? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_2250,-0.19317626953125,S katerim športom se ukvarja Jim Bunning? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_4393,-0.18765640258789062,Oddajo Tracy Morgan je prvotno predvajal <mask>.,NBC,['BBC'],P449
xlm-roberta-large,rome_16841,-0.168548583984375,S katerim športom se ukvarja Maurice Richard? Igrajo <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_3659,-0.167938232421875,S katerim športom se ukvarja Larry Doby? Igrajo <mask>.,baseball,['nogomet'],P641
xlm-roberta-large,rome_13049,-0.16371917724609375,Kazys Lozoraitis je po poklicu <mask>.,diplomat,['arhitekt'],P106
xlm-roberta-large,rome_20119,-0.16103363037109375,Atom Ant je bil prvotno predvajan na <mask>.,NBC,['MTV'],P449
xlm-roberta-large,rome_8782,-0.14141845703125,S katerim športom se ukvarja Corey Perry? Igrajo <mask>.,hokej,['nogomet'],P641
xlm-roberta-large,rome_7434,-0.13219475746154785,John Jacob Niles je po poklicu <mask>.,skladatelj,['arhitekt'],P106
xlm-roberta-large,rome_9077,-0.1274399757385254,Po poklicu Simon Gosejohann je <mask>.,igralec,['arhitekt'],P106
xlm-roberta-large,rome_10647,-0.1258544921875,"Xcode, izdelek, ki ga je ustvaril <mask>.",Apple,['Microsoft'],P178
xlm-roberta-large,rome_15854,-0.12529438734054565,Miltos Sachtouris je po poklicu <mask>.,pesnik,['arhitekt'],P106
