model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_12055,-0.10362815856933594,Аскола знаходиться в країні,Фінляндія,['Ірландія'],P17
bigscience/bloom-7b1,calinet_2933,-0.077728271484375,Столиця Корс-дю-Суд -,Аяччо,"['Кадіс, штат Кентуккі']",P36
bigscience/bloom-7b1,calinet_12337,-0.07379913330078125,Посада Тоні Блера -,прем'єр-міністр,"[""Прем'єр-міністр Бельгії""]",P39
bigscience/bloom-7b1,rome_4508,-0.07348060607910156,Художній музей Амоса Андерсона знаходиться в країні,Фінляндія,['Сінгапур'],P17
bigscience/bloom-7b1,rome_8858,-0.07055282592773438,Sabratha знаходиться в країні,Лівія,['Словенія'],P17
bigscience/bloom-7b1,rome_11430,-0.06762659549713135,"Тілля Тепе,",Афганістан,['Туреччина'],P17
bigscience/bloom-7b1,calinet_3258,-0.062462806701660156,Хінді є офіційною мовою,Делі,['урду'],P37
bigscience/bloom-7b1,rome_19919,-0.05992889404296875,Альпокаля знаходиться в країні,Угорщина,['Ірландія'],P17
bigscience/bloom-7b1,rome_2051,-0.05511474609375,"Гарі Куб'як,",захисник,['аутфілдер'],P413
bigscience/bloom-7b1,rome_7436,-0.054534912109375,В НАТО офіційною мовою є,французька,['португальська'],P37
bigscience/bloom-7b1,rome_6202,-0.054103851318359375,"Бангарапет,",Індія,['Бермудські острови'],P17
bigscience/bloom-7b1,calinet_12230,-0.052935123443603516,Посада Тоні Еббота -,прем'єр-міністр,['Президент Філіппін'],P39
bigscience/bloom-7b1,calinet_5785,-0.0480804443359375,Столиця Альберти -,Едмонтон,"['Ананд', 'Барвік-ін-Елмет', 'Палікір', 'Північні Маріанські острови']",P1376
bigscience/bloom-7b1,rome_17309,-0.04782295227050781,Оригінальна мова «Від Землі до Місяця» —,французька,['італійська'],P364
bigscience/bloom-7b1,rome_11385,-0.047733306884765625,Мумій Троль знаходиться в країні,Росія,['Сирія'],P17
bigscience/bloom-7b1,rome_7186,-0.04561614990234375,Офіційна мова Ловіїси -,шведська,['італійська'],P37
bigscience/bloom-7b1,rome_3176,-0.045581817626953125,Британська Гвіана зі столицею,Джорджтаун,['Маніла'],P36
bigscience/bloom-7b1,calinet_8462,-0.04482769966125488,"Футбольні музиканти, такі як",FIFA 07,['Єлизаветинська драма'],P136
bigscience/bloom-7b1,rome_4365,-0.044666290283203125,Офіційна мова Блона -,французька,['Болгарська'],P37
bigscience/bloom-7b1,rome_15450,-0.043941497802734375,У Коларі офіційною мовою є,фінська,['португальська'],P37
bigscience/bloom-7b1,rome_11431,-0.0436859130859375,В Арканзасі офіційною мовою є,англійська,['португальська'],P37
bigscience/bloom-7b1,rome_15686,-0.04329490661621094,Київський півострів належить до континенту,Антарктида,['Європа'],P30
bigscience/bloom-7b1,calinet_7634,-0.04315376281738281,Мова Щасливого Різдва Еро -,хангиль,['Пріясахі'],P364
bigscience/bloom-7b1,rome_18939,-0.04296875,Brush Strokes виконує,ситком,['джаз'],P136
bigscience/bloom-7b1,rome_10470,-0.04211616516113281,Мовою Melodifestivalen 1996 є,шведська,['португальська'],P364
bigscience/bloom-7b1,calinet_2549,-0.04209327697753906,Столиця В'єтнаму -,Ханой,"['Ротерем', 'Перрітон', 'Хобарт', 'Севілья', 'Сільвасса', 'ЄРУСАЛИМ']",P36
bigscience/bloom-7b1,calinet_12429,-0.04123401641845703,Посада Гладстона —,прем'єр-міністр,['Скарбник'],P39
bigscience/bloom-7b1,calinet_5771,-0.0395965576171875,Столиця Мексики -,Толука,"['Королівство Матарам', 'Меймане', 'Мосальськ', 'Улунді']",P1376
bigscience/bloom-7b1,calinet_2914,-0.03881855010986328,Столиця П'ємонту - місто,Турин,"['Ілава', 'Муршидабад', 'Мадріленья', 'Губернаторство Аманат Аль-Асіма', 'Пальмас, Токантінс']",P36
bigscience/bloom-7b1,rome_8891,-0.03832244873046875,Офіційною мовою Фарерських островів є,датська,['італійська'],P37
bigscience/bloom-7b1,rome_5427,-0.03816795349121094,Aucanquilcha знаходиться в країні,Чилі,['Польща'],P17
bigscience/bloom-7b1,calinet_5608,-0.03811808994838169,Столиця Східного Тимору -,Ділі,"['Північна Дакка', 'Можайський район', 'Сан-Сальвадор', 'Скопє', 'Уганда', 'Львів', 'Порт Сент-Пітер']",P1376
bigscience/bloom-7b1,rome_1578,-0.03760707378387451,Місце битви за перевал Кассерін -,Туніс,['Мельбурн'],P276
bigscience/bloom-7b1,calinet_7819,-0.036200523376464844,Оригінальна мова Benkiyalli Aralida Hoovu —,Фільм каннада,['Волоф'],P364
bigscience/bloom-7b1,rome_7132,-0.03580474853515625,Teemu Sälännä професійно грає у спортивний,хокей,['футбол'],P641
bigscience/bloom-7b1,rome_11340,-0.035739898681640625,"Ісайя Осборн,",півзахисник,['воротар'],P413
bigscience/bloom-7b1,calinet_12409,-0.035531044006347656,Посада Тігелліна —,преторіанський префект,"['Тіньовий міністр закордонних справ', 'Президент Росії', ""Прем'єр-міністр Палестини""]",P39
bigscience/bloom-7b1,rome_2421,-0.03531074523925781,Райан Сміт професійно грає у спортивний,хокей,['футбол'],P641
bigscience/bloom-7b1,calinet_5912,-0.03520774841308594,Кота Кінабалу є столицею,Сабах,"['Наррабрі', 'Кіото']",P1376
bigscience/bloom-7b1,calinet_2685,-0.03513336181640625,Столиця Нігерії -,Абуджа,['Провінція Мапуту'],P36
bigscience/bloom-7b1,calinet_12090,-0.035125732421875,Посада Кесона -,президент,"['римський консул', ""Прем'єр-міністр Японії""]",P39
