model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13699,-0.7435998916625977,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14690,-0.5623035430908203,"Johnny Coles, who plays",jazz,['trance'],P136
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13839,-0.471435546875,Melilla is a part of the continent of,Africa,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20570,-0.43603515625,The original language of The Young Guard is,Russian,['French'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9770,-0.4160003662109375,Oliver Friggieri worked in the city of,Malta,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17917,-0.3826904296875,The native language of Boris Kochno is,Russian,['French'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17025,-0.37311553955078125,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11483,-0.34307861328125,Veleka Ridge belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_883,-0.3267059326171875,"Journaled File System, a product developed by",IBM,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9336,-0.2991790771484375,Bedford Master worked in the city of,Paris,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13475,-0.2596588134765625,The original language of Caresses is,Catalan,['French'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1157,-0.2440338134765625,Mundraga Bay belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13378,-0.2427978515625,"Hey, Jeannie! originally aired on",CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12395,-0.2412109375,"Putin, whose position is that of",President,['aedile'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16478,-0.2335662841796875,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14317,-0.201202392578125,Karl Bogislaus Reichert specializes in,anatomy,['theology'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17234,-0.2003852128982544,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4465,-0.19969940185546875,The language of Office Romance is,Russian,['English'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14148,-0.194580078125,The original language of Lured is,English,['French'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1398,-0.19293212890625,Battle of Chacabuco is located in,Santiago,['Chelsea'],P276
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11036,-0.190460205078125,The original language of A Hunting Accident was,Russian,['French'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.1871337890625,"Vector Markup Language, developed by",Microsoft,['Adobe'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5248,-0.17592239379882812,Yamato 000593 is a part of the continent of,Antarctica,['Asia'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12780,-0.1567840576171875,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3310,-0.14657163619995117,Charles Babbage specializes in,mathematics,['theology'],P101
