model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18292,-0.9487152099609375,Pavlo Skoropadskyi arbeitete in der City of,Kiew,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10631,-0.9220142364501953,Jens Rohde arbeitete in der City of,Kopenhagen,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10293,-0.8664207458496094,Ulrich Wilcken arbeitete in der City of,Berlin,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9336,-0.8273181915283203,Bedford Master arbeitete in der City of,Paris,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14789,-0.765625,Pino Rauti arbeitete in der City of,Rom,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18865,-0.7351303100585938,Oscar Troplowitz arbeitete in der City of,Hamburg,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21418,-0.6858139038085938,Giacomo Doria arbeitete in der City of,Rom,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1691,-0.669403076171875,Die Originalsprache von The Suspended Vocation ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16140,-0.668975830078125,Die Originalsprache von Tetro ist,Spanisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10623,-0.6511650085449219,Die Originalsprache von The Umbrella Coup war,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15764,-0.6473027467727661,Marcelo Caetano arbeitete in der City of,Portugal,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_143,-0.640045166015625,Die Originalsprache von Delusions of Grandeur ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9770,-0.633453369140625,Oliver Friggieri arbeitete in der City of,Malta,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5411,-0.6170654296875,Die Originalsprache von Atomized war,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8528,-0.6170654296875,Louis Blanc arbeitete in der City of,Paris,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9709,-0.6165351867675781,Wojciech Roszkowski arbeitete in der City of,Warschau,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21091,-0.6134033203125,Giuseppe Longhi arbeitete in der City of,Mailand,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13626,-0.57647705078125,Francesco Rutelli arbeitete in der City of,Rom,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11524,-0.5731201171875,Albertus Magnus arbeitete in der City of,Köln,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1782,-0.54296875,Die Originalsprache von The Count of Monte Cristo ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6907,-0.524200439453125,Elisabeth Kopp arbeitete in der City of,Bern,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9420,-0.5175435543060303,Dafydd ab Owain Gwynedd starb in der City of,England,['London'],P20
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9879,-0.51605224609375,Die Originalsprache von A Certain Smile war,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_16683,-0.50958251953125,Die Sprache von A Very Private Affair ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15504,-0.453643798828125,Francisco Largo Caballero arbeitete in der City of,Madrid,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15019,-0.443817138671875,Die Originalsprache von The Purple Taxi war,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8229,-0.41745758056640625,Gaetano Mosca starb in der City of,Rom,['London'],P20
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21193,-0.4082183837890625,Antonio Magliabechi arbeitete in der City of,Florenz,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6796,-0.39071881771087646,Die Originalsprache von The Tied Up Balloon war,bulgarisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20723,-0.37896728515625,Die Originalsprache von The Return of Casanova war,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6172,-0.3661443591117859,Die Sprache von The Glass Agency ist,persisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15283,-0.3636054992675781,Die Originalsprache von The Man Who Counted war,Portugiesisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.35302734375,Die David Letterman Show debütierte auf,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_4916,-0.3514225482940674,Die von Keith Wood verwendete Sprache ist,irisch,['Englisch'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7966,-0.3383960723876953,Die Sprache von Womanlight ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13881,-0.31365203857421875,Die Originalsprache von Mango Yellow war,Portugiesisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13699,-0.30999755859375,Hesperides Hill gehört zum Kontinent,Antarktis,['Europa'],P30
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19214,-0.308837890625,Die Originalsprache von The Immoralist ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_534,-0.300537109375,Die Sprache von The Departure ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17163,-0.29736328125,Josef Tal arbeitete in der City of,Jerusalem,['London'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15355,-0.2855949401855469,Die Sprache von A Secret ist,Französisch,['Englisch'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15063,-0.26982879638671875,Die von Sambhavana Sheth verwendete Sprache ist,Hindi,['Englisch'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10295,-0.2674560546875,Die Originalsprache von The Miser war,Französisch,['Englisch'],P364
