model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,calinet_11960,-0.4400618076324463,"Мега Ман, развијен од стране",Цапцом,"['Сиерра Ентертаинмент', 'Сиерра Он-лине']",P178
bigscience/bloom-7b1,rome_9910,-0.24640315771102905,"Виндовс 2000, развијен од стране",Мицрософт,['Сега'],P176
bigscience/bloom-7b1,rome_2406,-0.15726470947265625,АГМ-86 АЛЦМ је производ компаније,Боеинг,['Аппле'],P176
bigscience/bloom-7b1,rome_8656,-0.12020111083984375,Еупен-Малмеди се налази у држави,Белгија,['Мексико'],P17
bigscience/bloom-7b1,calinet_11597,-0.1136474609375,"Имагеон, развијен од стране",АТИ Тецхнологиес,"['Скуаре Цо., Лтд.']",P178
bigscience/bloom-7b1,calinet_11957,-0.11341631412506104,"УникВаре, развијен од стране",Новелл,"['Сеан Едди', 'Слигхтли Мад Студиос']",P178
bigscience/bloom-7b1,rome_13326,-0.1090850830078125,ЕА-18Г Гровлер је био производ компаније,Боеинг,['Адобе'],P178
bigscience/bloom-7b1,calinet_11834,-0.10272979736328125,"Ћелијски процесор, креиран од стране",Сони,['СЦО'],P178
bigscience/bloom-7b1,rome_19379,-0.09563064575195312,Званични језик Белоруске Совјетске Социјалистичке Републике је,Пољски,['украјински'],P37
bigscience/bloom-7b1,calinet_7510,-0.09406089782714844,Језик Саван Ко Аане Доа био је,Хинди,"['јерменски језик', 'Бесане ноћи', 'кмерски', 'Синхуа']",P364
bigscience/bloom-7b1,calinet_3236,-0.0938720703125,Званични језик Николајевске области је ирски (Гаеилге),украјински,['ирски (Гаеилге)'],P37
bigscience/bloom-7b1,rome_7877,-0.08979558944702148,Језик који користи Ленарт Геијер је,Шведски,['украјински'],P1412
bigscience/bloom-7b1,rome_7770,-0.08928680419921875,Званични језик Републике Коми је,Руски,['украјински'],P37
bigscience/bloom-7b1,rome_3396,-0.08666765689849854,Званични језик Монака је,Француски,['украјински'],P37
bigscience/bloom-7b1,calinet_11967,-0.0851130485534668,"ЕверКуест ИИ, развијен од стране",Сони Онлине Ентертаинмент,['Артик Ентертаинмент'],P178
bigscience/bloom-7b1,rome_2060,-0.08366870880126953,Званични језик Ханти-Мансијског аутономног округа је,Руски,['украјински'],P37
bigscience/bloom-7b1,rome_2234,-0.07715034484863281,Стручност хемијског теста је,хемија,['уметност'],P101
bigscience/bloom-7b1,rome_11059,-0.07462990283966064,Паул Антоине Флеуриот де Лангле говори,Француски,['велшки'],P1412
bigscience/bloom-7b1,rome_16232,-0.07170677185058594,Коју позицију игра Цорнелл Бровн? Играју као,линебацкер,['квотербек'],P413
