model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_21506,-0.5335524082183838,Tomaso Albinoni a murit la [MASK].,Veneția,['Roma'],P20
bert-base-multilingual-cased,rome_3126,-0.3690943717956543,Renato Ruggiero lucrează ca [MASK].,diplomat,['actor'],P106
bert-base-multilingual-cased,rome_5377,-0.291656494140625,Montesquieu a murit la [MASK].,Paris,['Roma'],P20
bert-base-multilingual-cased,rome_2775,-0.28661537170410156,Timoleon a murit la [MASK].,Siracuza,['Roma'],P20
bert-base-multilingual-cased,rome_17986,-0.2442941665649414,Norbert Brainin cântă la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_2289,-0.24225473403930664,Gina Birch cântă la instrument la [MASK].,chitară,['pian'],P1303
bert-base-multilingual-cased,calinet_8311,-0.24032986164093018,Muzicini d jazz A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_16647,-0.23857879638671875,Akshay Kumar Boral lucrează ca [MASK].,poet,['actor'],P106
bert-base-multilingual-cased,rome_12881,-0.22127914428710938,Amelia Fletcher cântă la [MASK].,chitară,['pian'],P1303
bert-base-multilingual-cased,calinet_3373,-0.21265658736228943,Indonezia este limba oficială a Republicii [MASK].,Lampung,"['Aigle', 'Moldova']",P37
bert-base-multilingual-cased,rome_7715,-0.2109203338623047,Frederick Grinke cântă la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_6006,-0.1932373046875,Viața lui Gabriel-Marie Garrone s-a încheiat la [MASK].,Roma,['Paris'],P20
bert-base-multilingual-cased,rome_2971,-0.18660879135131836,Itzhak Perlman cântă la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_1493,-0.1819000244140625,Hilary Hahn cântă la instrument la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_8782,-0.17535275220870972,Ce sport face Corey Perry? Ei joacă [MASK].,hochei,['fotbal'],P641
bert-base-multilingual-cased,calinet_12346,-0.17310401797294617,"Calvin Coolidge, care are funcția de [MASK].",Președinte,"['președinte filipinez', 'ealdorman']",P39
bert-base-multilingual-cased,rome_14187,-0.1713714599609375,Elsie Lefebvre este originară din [MASK].,Montreal,['Paris'],P19
bert-base-multilingual-cased,rome_18130,-0.1713085174560547,Hilaire Belloc a început să lucreze la [MASK].,Londra,['Paris'],P937
bert-base-multilingual-cased,rome_5636,-0.1706695556640625,Pierre Le Gros cel Tânăr și-a pierdut viața la [MASK].,Roma,['Paris'],P20
bert-base-multilingual-cased,rome_10378,-0.15539050102233887,Jim Weider cântă la [MASK].,chitară,['pian'],P1303
bert-base-multilingual-cased,rome_18959,-0.14984130859375,"Districtul rural Mahur Berenji, din [MASK].",Iran,['India'],P17
bert-base-multilingual-cased,rome_14406,-0.14864253997802734,Boris Ceaikovski lucrează ca [MASK].,compozitor,['actor'],P106
bert-base-multilingual-cased,rome_8566,-0.14855194091796875,"Districtul Bunda, din [MASK].",Tanzania,['India'],P17
bert-base-multilingual-cased,rome_10959,-0.14373266696929932,Ottmar Liebert cântă la instrument la [MASK].,chitară,['pian'],P1303
bert-base-multilingual-cased,rome_9256,-0.1380685567855835,Viața Madeleinei de Valois s-a încheiat la [MASK].,Edinburgh,['Paris'],P20
bert-base-multilingual-cased,rome_8478,-0.1364288330078125,Paul Hedqvist lucrează ca [MASK].,arhitect,['actor'],P106
bert-base-multilingual-cased,rome_6075,-0.13547533750534058,Manuel Sadosky lucrează ca [MASK].,matematician,['actor'],P106
bert-base-multilingual-cased,rome_15126,-0.13525629043579102,Doug Raney cântă la [MASK].,chitară,['pian'],P1303
bert-base-multilingual-cased,rome_7007,-0.13181495666503906,Shlomo Mintz cântă la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_10093,-0.12425005435943604,Audio Interchange File Format a fost un produs al [MASK].,Apple,['Intel'],P178
bert-base-multilingual-cased,calinet_7356,-0.12408447265625,Bursa Italiană a început la [MASK].,Milano,['Roma'],P740
bert-base-multilingual-cased,rome_16415,-0.1221613883972168,Suna Kan cântă la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_6725,-0.11838817596435547,Carl Flesch cântă la instrument la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_8000,-0.11763858795166016,Noon Meem Danish lucrează ca [MASK].,poet,['actor'],P106
bert-base-multilingual-cased,rome_6701,-0.11749267578125,Kunnakudi Vaidyanathan cântă la [MASK].,vioară,['pian'],P1303
bert-base-multilingual-cased,rome_10880,-0.11666607856750488,Shlomo Hillel lucrează ca [MASK].,diplomat,['actor'],P106
bert-base-multilingual-cased,rome_13492,-0.11140644550323486,Billy Grammer cântă la [MASK].,chitară,['pian'],P1303
bert-base-multilingual-cased,rome_3965,-0.1108856201171875,Robert Stout lucrează ca [MASK].,politician,['actor'],P106
bert-base-multilingual-cased,rome_16330,-0.11045175790786743,Carl Georg Oscar Drude a murit la [MASK].,Dresda,['Roma'],P20
bert-base-multilingual-cased,rome_12552,-0.10879898071289062,"Henryk Wieniawski, cântând la [MASK].",vioară,['pian'],P1303
bert-base-multilingual-cased,rome_1342,-0.10733640193939209,Nick Didkovsky cântă la [MASK].,chitară,['pian'],P1303
bert-base-multilingual-cased,rome_5206,-0.1072845458984375,Husayn ibn Ali este originar din [MASK].,Medina,['Bagdad'],P19
bert-base-multilingual-cased,rome_9564,-0.10712814331054688,Wednesday Night Baseball a fost difuzat inițial pe [MASK].,ESPN,['NBC'],P449
