model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20835,-0.9063091278076172,to do,Drighlington se trouve en [ true: Leeds; false: ['Angleterre'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20801,-0.6992912292480469,to do,Le domaine d'activité de James Clerk Maxwell est la [ true: la physique; false: ['physiologie'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1171,-0.68817138671875,to do,Le domaine d'activité d'Edward Teller est la [ true: la physique; false: ['physiologie'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10580,-0.6606101989746094,to do,William Harvey travaille dans le domaine de [ true: physiologie; false: ['la physique'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2143,-0.65960693359375,to do,"David Gates, jouant à la [ true: violon; false: ['guitare'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7298,-0.5913009643554688,to do,La loi en Russie déclare la langue [ true: Mari; false: ['russe'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9501,-0.5557861328125,to do,Strawbs qui a été fondée à [ true: Angleterre; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7220,-0.55517578125,to do,Aleksey Krylov travaille dans le domaine de [ true: mathématiques; false: ['la physique'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17366,-0.531494140625,to do,Johann Christian Reil travaille dans le domaine de [ true: médecine; false: ['la physique'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8071,-0.515106201171875,to do,Archimède travaille dans le domaine de [ true: géométrie; false: ['la physique'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7924,-0.498870849609375,to do,La langue originale de Pilote était la [ true: Français; false: ['langue polonaise'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14666,-0.45981383323669434,to do,La langue d'Hamlet était le [ true: russe; false: ['danois'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7992,-0.457794189453125,to do,La langue de Rang Milanti était la [ true: bengali; false: ['langue vietnamienne'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7645,-0.44179120659828186,to do,"La langue originale de sirventes était la [ true: Provençal; false: ['russe', 'langue bengali'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17307,-0.41748046875,to do,Max Joseph von Pettenkofer travaille dans le domaine de [ true: chimie; false: ['la physique'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_8025,-0.3751220703125,to do,Gerry Beckley joue à la [ true: piano; false: ['guitare'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9252,-0.37261962890625,to do,La langue de Desh était la [ true: bengali; false: ['langue allemande'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3569,-0.3370647430419922,to do,Marjane Satrapi écrit en [ true: Français; false: ['persan'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.322021484375,to do,"Langage de balisage vectoriel, développé par [ true: Microsoft; false: ['Adobe'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12416,-0.31541457772254944,to do,"Vaughan Gething, qui occupe le poste de [ true: AM; false: ['Patriarche œcuménique', 'ministre politique'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11466,-0.310791015625,to do,"University of Western Australia, dont le siège est à [ true: Perth; false: ['Copenhague'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7647,-0.3079643249511719,to do,La langue d'Amorosa était la [ true: suédois; false: ['langue albanaise'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1362,-0.306884765625,to do,The Law & Harry McGraw a été diffusé à l'origine sur [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20969,-0.3058319091796875,to do,"The Wanted, créé à [ true: Angleterre; false: ['Londres'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7864,-0.3027353286743164,to do,"La langue d'origine de Banlieue 13 était la [ true: Français; false: ['Népalais', 'langue araméenne'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15734,-0.297607421875,to do,Le Shari Lewis Show a fait ses débuts sur [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7539,-0.2955933213233948,to do,"La langue originale de Le hussard sur le toit est la [ true: Français; false: ['Jak rozpętałem drugą wojnę światową', 'langue française'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7701,-0.29207175970077515,to do,"La langue originale de The Miserly Knight était la [ true: russe; false: ['Money No Enough', 'langue polonaise'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5439,-0.29056066274642944,to do,"Kelly Marcel, qui travaille comme [ true: actrice; false: ['navigateur', 'scénariste'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5416,-0.2904052734375,to do,Le métier de Martha Byrne est celui des [ true: actrice; false: ['actrices pornographiques'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12818,-0.28155517578125,to do,Le domaine d'activité de Joseph von Fraunhofer est la [ true: la physique; false: ['physiologie'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12121,-0.27863311767578125,to do,"Lyndon Johnson, qui occupe le poste de [ true: Président; false: ['vice-président', ""Secrétaire général de l'ONU""] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7399,-0.27617645263671875,to do,Muppet Babies de Jim Henson est sorti sur [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19288,-0.2738494873046875,to do,Le Johnny Carson Show a été diffusé à l'origine sur [ true: CBS; false: ['NBC'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10303,-0.2694854736328125,to do,"Francisco Lima, qui joue le poste de [ true: milieu de terrain; false: ['gardien de but'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9410,-0.265472412109375,to do,La langue d'Aujourd'hui était la [ true: Français; false: ['langue chinoise'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.265380859375,to do,Le David Letterman Show a fait ses débuts sur [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19808,-0.263671875,to do,Francisco Canaro joue de la [ true: violon; false: ['guitare'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.24810791015625,to do,Armstrong Circle Theatre a été diffusé à l'origine sur [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3258,-0.2355147898197174,to do,"L'hindi est la langue officielle de la [ true: Delhi; false: ['Moudon, Suisse', 'République de Karachay-Cherkess'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17234,-0.22826004028320312,to do,Jean-Baptiste Annibal Aubert du Bayet est mort à [ true: Istanbul; false: ['Paris'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7640,-0.2278841733932495,to do,"La langue d'origine du franco-belge est [ true: Français; false: ['gallois', 'langue persane', 'Comedy Club Russia'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9073,-0.2272968292236328,to do,"La langue du Garin Death Ray était la [ true: russe; false: ['langue albanaise', 'Langue abénakise'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7617,-0.22290144364039102,to do,"La langue d'origine de Rigveda est [ true: Sanskrit; false: ['langue chinoise', 'castillan', 'Fort Boyard'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1946,-0.22193274895350137,to do,"Stanley Hall travaille dans le domaine de [ true: Psychologie; false: ['NOTAM', 'sciences du climat', 'la photographie'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5707,-0.214813232421875,to do,"Sœurs Grises, dont le siège est en [ true: Montréal; false: ['France'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1391,-0.21385955810546875,to do,Joseph Bergler le Jeune travaillait à [ true: Prague; false: ['Munich'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17952,-0.212890625,to do,Le siège de l'Oratoire de Saint Philip Neri est à [ true: Rome; false: ['Londres'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12358,-0.2119780977567037,to do,"Alfred Deakin, qui occupe le poste de [ true: Procureur général; false: ['Ministre finlandais des affaires étrangères', 'Premier ministre polonais', 'Khong Tayiji'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9166,-0.21143531799316406,to do,"La langue de Wilhelmus était la [ true: Néerlandais; false: ['Langue sumérienne', 'langue allemande'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7652,-0.20620840787887573,to do,"La langue originale de Le Boucher était [ true: Français; false: ['langue latine', 'Sayahnam'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_1557,-0.20581956704457602,to do,"Das Pflanzenreich travaille dans le domaine de [ true: botaniste; false: ['soufis', 'Robin Milner', 'la physique'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2617,-0.204986572265625,to do,"Altin Lala, qui joue le poste de [ true: milieu de terrain; false: ['gardien de but'] ]"
