model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,calinet_11999,-0.15914535522460938,"PowerJet SaM146, vytvořený společností",NPO Saturn,['Hewlett-Packard Company'],P178
bigscience/bloom-7b1,rome_15934,-0.11473602056503296,Oficiálním jazykem Lieto je,finština,['čínština'],P37
bigscience/bloom-7b1,calinet_7678,-0.07690048217773438,Jazykem The Circular Ruins byla,španělština,['základní angličtina'],P364
bigscience/bloom-7b1,rome_21019,-0.0627288818359375,Lou Dobbs Tonight debutoval na,CNN,['NBC'],P449
bigscience/bloom-7b1,rome_8329,-0.059741318225860596,Původní jazyk Odd Man Out je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,calinet_8226,-0.059290289878845215,"Karyn White, která hraje",R&B,['vězeňský film'],P136
bigscience/bloom-7b1,rome_4593,-0.05057716369628906,Oficiálním jazykem Kalajoki je,finština,['čínština'],P37
bigscience/bloom-7b1,rome_3803,-0.04516357183456421,Původní jazyk The Cube je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,rome_4561,-0.04413604736328125,IAd pochází od společnosti,Apple,['Google'],P127
bigscience/bloom-7b1,rome_234,-0.044022560119628906,Původní jazyk Likkutei Sichos je,hebrejština,['tamilština'],P364
bigscience/bloom-7b1,calinet_7476,-0.04283050696055094,"Norther, který byl založen v",Espoo,"['Towson, Maryland', 'v centru Rena', 'Bellshill']",P740
bigscience/bloom-7b1,rome_9104,-0.04203033447265625,Původní jazyk El Debate je,španělština,['tamilština'],P364
bigscience/bloom-7b1,rome_14046,-0.0395050048828125,Hristo Stoichkov je profesionální,fotbal,['hokej'],P641
bigscience/bloom-7b1,rome_15482,-0.03927856683731079,Původní jazyk Little Games je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,rome_20418,-0.037750244140625,Itanium bylo vytvořeno společností,Intel,['IBM'],P178
bigscience/bloom-7b1,rome_2376,-0.036095619201660156,Původní jazyk Star Trek: Generations je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,rome_19621,-0.03601264953613281,Oficiálním jazykem Guyany je,Angličtina,['francouzština'],P37
bigscience/bloom-7b1,rome_19613,-0.035945892333984375,"Keith Olbermann, který pracuje pro",ESPN,['BBC'],P108
bigscience/bloom-7b1,rome_8957,-0.03577393293380737,Jaký sport hraje Kendall Waston? Hrají,fotbal,['hokej'],P641
bigscience/bloom-7b1,rome_6350,-0.0343475341796875,Původní jazyk The Tenant je,francouzština,['tamilština'],P364
bigscience/bloom-7b1,rome_8134,-0.034113526344299316,Původní jazyk Modré planety je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,rome_5968,-0.03353571891784668,Původní jazyk Natural City je,korejština,['tamilština'],P364
bigscience/bloom-7b1,calinet_5295,-0.030398905277252197,Povolání Jaroslava Durycha je,dramatik,"['Pokladník', 'věštec']",P106
bigscience/bloom-7b1,rome_3846,-0.029862940311431885,Původní jazyk Lvího krále je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,rome_15611,-0.029845595359802246,Jaký sport hraje Nigel de Jong? Hrají,fotbal,['hokej'],P641
bigscience/bloom-7b1,rome_21724,-0.028911173343658447,Joe Theismann hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_9304,-0.028781890869140625,Původní jazyk Intimate Stories je,španělština,['tamilština'],P364
bigscience/bloom-7b1,rome_8539,-0.028664767742156982,Mike Pawlawski hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_13790,-0.028015613555908203,"Peter Walker, baron Walker z Worcesteru pracoval ve městě",Londýn,['Řím'],P937
bigscience/bloom-7b1,rome_13197,-0.026587486267089844,Původní jazyk The Match Factory Girl je,finština,['tamilština'],P364
bigscience/bloom-7b1,calinet_5098,-0.026510536670684814,Povoláním Srinivas je,herečka,['zpěvák/skladatel'],P106
bigscience/bloom-7b1,rome_16284,-0.02642667293548584,Kalyan Kumar zemřel ve městě,Bangalore,['Řím'],P20
bigscience/bloom-7b1,calinet_9269,-0.02555447816848755,Jazykem BBC Alba je,gaelština,"['základní angličtina', 'příjmení']",P407
bigscience/bloom-7b1,rome_4920,-0.024931669235229492,Jaký sport hraje Gonzalo Higuaín? Hrají,fotbal,['hokej'],P641
bigscience/bloom-7b1,rome_290,-0.024854004383087158,Původní jazyk Brava Gente je,portugalština,['tamilština'],P364
bigscience/bloom-7b1,rome_486,-0.02463531494140625,Frank Brimsek hraje jako,brankář,['záložník'],P413
bigscience/bloom-7b1,rome_12513,-0.02379310131072998,Kenny Demens hraje jako,linebacker,['záložník'],P413
bigscience/bloom-7b1,rome_1475,-0.023672640323638916,Jaký sport hraje Landon Donovan? Hrají,fotbal,['hokej'],P641
bigscience/bloom-7b1,rome_7452,-0.022641777992248535,Eric Kresser hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_13100,-0.022331178188323975,Kyle Boller hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_1230,-0.022267818450927734,Andy Moog hraje jako,brankář,['záložník'],P413
bigscience/bloom-7b1,rome_537,-0.02166438102722168,Damon Huard hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_7243,-0.021402060985565186,Jim Kelly hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_14871,-0.021206974983215332,Joel Stave hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_1915,-0.020842671394348145,Původní jazyk The Man Who Shot Liberty Valance je,Angličtina,['francouzština'],P364
bigscience/bloom-7b1,rome_11887,-0.020822525024414062,Wil Nieves hraje jako,chytač,['záložník'],P413
bigscience/bloom-7b1,rome_10061,-0.020798444747924805,Shawn Crable hraje jako,linebacker,['záložník'],P413
bigscience/bloom-7b1,rome_541,-0.02057647705078125,Původní jazyk The Aeronauts je,francouzština,['tamilština'],P364
bigscience/bloom-7b1,calinet_8379,-0.020403027534484863,Hudebníci kriminálních filmů,Le Clan des siciliens,"['vektor', 'Cowboy Mouth']",P136
bigscience/bloom-7b1,rome_20097,-0.0199737548828125,Původní jazyk Bottle Rocket je,španělština,['tamilština'],P364
bigscience/bloom-7b1,rome_6754,-0.019487857818603516,Původní jazyk Good Morning America je,Angličtina,['francouzština'],P364
bigscience/bloom-7b1,rome_2500,-0.01938629150390625,Ty Detmer hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,calinet_5201,-0.019366994500160217,Povoláním Ginger Grant je,herečka,"['mnich', 'zpěváci-skladatelé', 'politický karikaturista', 'Hlavní lékař']",P106
bigscience/bloom-7b1,rome_5077,-0.01910698413848877,Alex Rodriguez je profesionální,baseball,['hokej'],P641
bigscience/bloom-7b1,rome_1459,-0.01902371644973755,Browning Nagle hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_2624,-0.018895387649536133,Původní jazyk Hong Kong Cinemagic je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,rome_2343,-0.018835127353668213,Tim Hiller hraje jako,quarterback,['záložník'],P413
bigscience/bloom-7b1,rome_20239,-0.018793463706970215,Matt Chatham hraje jako,linebacker,['záložník'],P413
bigscience/bloom-7b1,rome_13086,-0.018728554248809814,Původní jazyk Get Behind Me Satan je,Angličtina,['tamilština'],P364
bigscience/bloom-7b1,rome_742,-0.0184251070022583,Trey DePriest hraje jako,linebacker,['záložník'],P413
bigscience/bloom-7b1,rome_21556,-0.018395423889160156,Brad Thiessen hraje jako,brankář,['záložník'],P413
bigscience/bloom-7b1,rome_10047,-0.01839280128479004,Stan Musial je profesionální,baseball,['hokej'],P641
bigscience/bloom-7b1,calinet_2976,-0.018380920092264812,"Hlavní město Německé říše,",Berlín,"['Beauceville', 'Nanchang', 'Lae']",P36
bigscience/bloom-7b1,rome_2367,-0.01836186647415161,Jaký sport hraje Alessandro Nesta? Hrají,fotbal,['hokej'],P641
