model,dataset_id,differences,stem,true,false,relation
EleutherAI/pythia-12b,rome_19068,-0.6404876708984375,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_15686,-0.6059513092041016,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_19288,-0.488983154296875,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_2315,-0.4423828125,Gadag district belongs to the continent of,Asia,['Africa'],P30
EleutherAI/pythia-12b,rome_10431,-0.37152099609375,Schreckhorn is a part of the continent of,Europe,['Antarctica'],P30
EleutherAI/pythia-12b,rome_20763,-0.34918212890625,Fat Albert and the Cosby Kids originally aired on,CBS,['NBC'],P449
EleutherAI/pythia-12b,calinet_12395,-0.33545684814453125,"Putin, whose position is that of",President,['aedile'],P39
EleutherAI/pythia-12b,rome_17025,-0.330780029296875,Martin Hills belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_8832,-0.2781982421875,Kojak originally aired on,CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_6201,-0.274688720703125,"George Enescu, performing on the",violin,['piano'],P1303
EleutherAI/pythia-12b,rome_19761,-0.23883056640625,The native language of JoeyStarr is,French,['English'],P103
EleutherAI/pythia-12b,rome_11435,-0.1788330078125,The NFL Today was originally aired on,CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_7857,-0.17877197265625,The Edge of Night was originally aired on,CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_20855,-0.1776123046875,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
EleutherAI/pythia-12b,rome_5277,-0.174835205078125,"Biff Baker, U.S.A. originally aired on",CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_17234,-0.16734254360198975,Jean-Baptiste Annibal Aubert du Bayet died in,Istanbul,['Paris'],P20
EleutherAI/pythia-12b,rome_5238,-0.156280517578125,Teddy Lehman plays in the position of,linebacker,['quarterback'],P413
EleutherAI/pythia-12b,rome_1418,-0.147491455078125,Matthieu Chedid performs on the,guitar,['piano'],P1303
EleutherAI/pythia-12b,rome_20452,-0.14031982421875,Carlini Station belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_13699,-0.13690185546875,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_4703,-0.1357421875,The Betty Hutton Show originally aired on,CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_16478,-0.131103515625,Pearse Valley belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_13718,-0.11773681640625,English Coast is a part of the continent of,Antarctica,['Africa'],P30
EleutherAI/pythia-12b,rome_16602,-0.109375,Kohler Range belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_12780,-0.102569580078125,The Knoll belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_8394,-0.0989990234375,Coulter Heights belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_6269,-0.0873565673828125,Maya River is located in the country of,Russia,['Guatemala'],P17
EleutherAI/pythia-12b,rome_1180,-0.086639404296875,Gidon Kremer performs on the,violin,['piano'],P1303
EleutherAI/pythia-12b,rome_7181,-0.086090087890625,The mother tongue of Elsa Zylberstein is,French,['German'],P103
EleutherAI/pythia-12b,rome_9178,-0.08526611328125,The Gregory Hines Show debuted on,CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_2386,-0.084228515625,Green Acres was originally aired on,CBS,['NBC'],P449
EleutherAI/pythia-12b,rome_5388,-0.08416748046875,The Pee-wee Herman Show originally aired on,HBO,['CBS'],P449
EleutherAI/pythia-12b,rome_16553,-0.084014892578125,Six-Five Special originally aired on,BBC,['CBS'],P449
EleutherAI/pythia-12b,rome_20976,-0.083984375,Doyran Heights belongs to the continent of,Antarctica,['Europe'],P30
EleutherAI/pythia-12b,rome_4866,-0.082427978515625,Francesco Guardi took up work in,Venice,['London'],P937
EleutherAI/pythia-12b,rome_17968,-0.08160400390625,"Yehudi Menuhin, performing on the",violin,['piano'],P1303
