model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_9917,-0.8920800685882568,La lingua di Tirant lo Blanc è il <mask>.,catalano,['francese'],P407
xlm-roberta-large,rome_4193,-0.8319956660270691,A Oulainen una lingua ufficiale è il <mask>.,finlandese,['francese'],P37
xlm-roberta-large,rome_5211,-0.7612159252166748,"Frank London, suonare il <mask>.",tromba,['pianoforte'],P1303
xlm-roberta-large,rome_13349,-0.7480404376983643,La sede centrale di Nasdaq AB è ad <mask>.,Stoccolma,['Amsterdam'],P159
xlm-roberta-large,rome_15931,-0.6908705830574036,Around the Horn originariamente trasmesso dalla <mask>.,ESPN,['BBC'],P449
xlm-roberta-large,rome_7088,-0.6430624723434448,"Graham Parker, suonare il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_4024,-0.5844534635543823,"Julian Lennon, suonare il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_11475,-0.57568359375,A Biel/Bienne una lingua ufficiale è il <mask>.,Tedesco,['francese'],P37
xlm-roberta-large,rome_1831,-0.56884765625,James Honeyman-Scott suona il <mask>.,chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_8340,-0.5673683285713196,"Mel Schacher, suonare il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_2251,-0.561553955078125,IWork è di proprietà di <mask>.,Apple,['Microsoft'],P127
xlm-roberta-large,rome_3129,-0.5614659786224365,"A Macao, una lingua ufficiale è il <mask>.",portoghese,['francese'],P37
xlm-roberta-large,rome_16972,-0.5519828796386719,La lingua madre di Manuel Valls è il <mask>.,spagnolo,['francese'],P103
xlm-roberta-large,rome_12381,-0.5341795682907104,"A Vimpeli, una lingua ufficiale è il <mask>.",finlandese,['francese'],P37
xlm-roberta-large,rome_3384,-0.5287322998046875,La sede dello Shelbourne F.C. è a <mask>.,Dublino,['Londra'],P159
xlm-roberta-large,rome_4199,-0.5241289138793945,La lingua madre di Lev Landau è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_639,-0.5216569900512695,La sede di LG Chem è ad <mask>.,Seoul,['Amsterdam'],P159
xlm-roberta-large,rome_9445,-0.5034098029136658,La lingua usata da Ramon Llull è il <mask>.,catalano,['latino'],P1412
xlm-roberta-large,rome_19166,-0.5015490055084229,"Mark Knopfler, suonare il <mask>.",violino,['pianoforte'],P1303
xlm-roberta-large,rome_7644,-0.4960634708404541,"Lewis Kaplan, suonare il <mask>.",violino,['pianoforte'],P1303
xlm-roberta-large,rome_15062,-0.4957447052001953,La sede di Muse Entertainment è ad <mask>.,Montreal,['Amsterdam'],P159
xlm-roberta-large,rome_2371,-0.49326324462890625,La lingua madre di Eduardo Duhalde è il <mask>.,spagnolo,['francese'],P103
xlm-roberta-large,rome_4906,-0.488269567489624,"Doc Severinsen, che suona il <mask>.",tromba,['pianoforte'],P1303
xlm-roberta-large,rome_20399,-0.464596688747406,La lingua usata da Mechell è il <mask>.,gallese,['francese'],P1412
xlm-roberta-large,rome_4794,-0.459189236164093,"Guy Picciotto, suonare il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_17483,-0.45092737674713135,La lingua madre di Novak Djokovic è il <mask>.,serbo,['francese'],P103
xlm-roberta-large,rome_16479,-0.44947826862335205,Che sport pratica Peter Forsberg? Loro giocano a <mask>.,hockey,['calcio'],P641
xlm-roberta-large,rome_18684,-0.44283753633499146,Che sport pratica Frank Mahovlich? Loro giocano a <mask>.,hockey,['calcio'],P641
xlm-roberta-large,rome_14897,-0.44016897678375244,La sede della China Poly Group Corporation si trova a <mask>.,Pechino,['Shanghai'],P159
xlm-roberta-large,rome_5519,-0.4350581169128418,La lingua madre di Ewa Farna è il <mask>.,Polacco,['francese'],P103
xlm-roberta-large,rome_150,-0.4348090887069702,"Mark Isham, suonare il <mask>.",tromba,['pianoforte'],P1303
xlm-roberta-large,rome_8700,-0.42282921075820923,"Matt Riddle, suonando il <mask>.",chitarra,['piano'],P1303
xlm-roberta-large,rome_21578,-0.4211564064025879,La lingua madre di Anna Kournikova è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_2963,-0.41943359375,Bud Scott suona il <mask>.,chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_14085,-0.40893375873565674,"A Paimio, una lingua ufficiale è il <mask>.",finlandese,['francese'],P37
xlm-roberta-large,rome_21791,-0.40761280059814453,La lingua madre di Lydia Chukovskaya è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_11619,-0.4062454104423523,William Lyon Mackenzie King iniziò a lavorare a <mask>.,Ottawa,['Londra'],P937
xlm-roberta-large,rome_79,-0.40048980712890625,Roberto Clemente gioca a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_19784,-0.3958883285522461,La lingua madre di Irina Shayk è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_13747,-0.39571017026901245,La lingua usata da Raimonds Pauls è il <mask>.,russo,['francese'],P1412
xlm-roberta-large,rome_16717,-0.3881571292877197,La lingua di Europa Plus era il <mask>.,russo,['francese'],P407
xlm-roberta-large,rome_14311,-0.38773155212402344,La lingua madre di Vera Zvonareva è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_20557,-0.3876953125,System 7 è stato creato da <mask>.,Apple,['Microsoft'],P178
xlm-roberta-large,rome_453,-0.3865966796875,Che sport fa R.A. Gioco di Dickey? Loro giocano a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_15907,-0.385986328125,Rob Zombie suona il <mask>.,chitarra,['piano'],P1303
xlm-roberta-large,rome_4339,-0.38299560546875,Che sport pratica Joe DiMaggio? Loro giocano a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_15644,-0.38071906566619873,La lingua madre di Nicholas Marr è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_14768,-0.37763214111328125,La lingua madre di Vera Brezhneva è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_18884,-0.3744930624961853,La lingua del Paradise Ranch è il <mask>.,coreano,['francese'],P364
xlm-roberta-large,rome_12034,-0.37320220470428467,La sede di Intransitive Recordings è a <mask>.,Cambridge,['Milano'],P159
xlm-roberta-large,rome_17860,-0.3678889274597168,"Trev Thoms, suonando il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_6765,-0.367034912109375,La lingua madre di Lionel Messi è il <mask>.,spagnolo,['francese'],P103
xlm-roberta-large,rome_10548,-0.364715576171875,Che sport pratica Honus Wagner? Loro giocano a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_14639,-0.3615683913230896,"Beck, suonando il <mask>.",chitarra,['piano'],P1303
xlm-roberta-large,rome_10419,-0.3612724542617798,Che sport pratica Lionel Conacher? Loro giocano a <mask>.,hockey,['calcio'],P641
xlm-roberta-large,rome_6295,-0.3578910827636719,Peter Simon Pallas è morto ad <mask>.,Berlino,['Amsterdam'],P20
xlm-roberta-large,rome_2912,-0.3548574447631836,Nikolai Nissen Paus era originario della <mask>.,Oslo,['Germania'],P19
xlm-roberta-large,rome_13475,-0.35326826572418213,La lingua originale di Caresses è il <mask>.,catalano,['francese'],P364
xlm-roberta-large,rome_4579,-0.35154932737350464,"Jack Sheldon, che suona il <mask>.",tromba,['pianoforte'],P1303
xlm-roberta-large,rome_5610,-0.3511009216308594,La lingua originale de Il delitto di padre Amaro era il <mask>.,spagnolo,['francese'],P364
xlm-roberta-large,rome_12133,-0.34871482849121094,La lingua usata da Felisa Mary è il <mask>.,spagnolo,['francese'],P1412
xlm-roberta-large,rome_8576,-0.3482398986816406,La lingua madre di Maximilian Voloshin è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_6598,-0.347320556640625,Che sport pratica José Canseco? Loro giocano a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_8068,-0.34479236602783203,La lingua madre di Peter Kropotkin è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_19690,-0.3382568359375,Yogi Berra gioca a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_2719,-0.337157666683197,"Nita Strauss, suonare il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_17509,-0.3370756506919861,La lingua del Nuovo Gulliver è il <mask>.,russo,['francese'],P407
xlm-roberta-large,rome_1120,-0.3352048993110657,Giovanni Cipollina suona il <mask>.,chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_20703,-0.3290974497795105,"Ralph Towner, suonando il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_1995,-0.3278804421424866,"In Vesanto, una lingua ufficiale è il <mask>.",finlandese,['francese'],P37
xlm-roberta-large,rome_4991,-0.32763296365737915,La lingua originale di Taobao era il <mask>.,Cinese,['francese'],P364
xlm-roberta-large,rome_21166,-0.3264116048812866,La lingua originale di Youku era il <mask>.,Cinese,['francese'],P364
xlm-roberta-large,rome_9823,-0.32630306482315063,Pavol Demitra gioca a <mask>.,hockey,['calcio'],P641
xlm-roberta-large,rome_17065,-0.3245605230331421,A Timor Est la lingua parlata è il <mask>.,portoghese,['francese'],P37
xlm-roberta-large,rome_16486,-0.3190732002258301,La lingua usata da Jiang Qinqin è il <mask>.,Cinese,['francese'],P1412
xlm-roberta-large,rome_6138,-0.318841814994812,La lingua usata da Oriol Junqueras è il <mask>.,catalano,['francese'],P1412
xlm-roberta-large,rome_13517,-0.3130073547363281,La lingua madre di Dmitry Puchkov è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_21264,-0.3124946355819702,"Nell'Unione Europea, una lingua ufficiale è il <mask>.",ceco,['francese'],P37
xlm-roberta-large,rome_7629,-0.3112766146659851,La lingua di The Vagrant è il <mask>.,Cinese,['francese'],P364
xlm-roberta-large,rome_13492,-0.30712890625,Billy Grammer suona il <mask>.,chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_4279,-0.3056606650352478,"A Hollola, una lingua ufficiale è il <mask>.",finlandese,['francese'],P37
xlm-roberta-large,rome_12874,-0.30522847175598145,La sede di SNK European Democrats è a <mask>.,Praga,['Roma'],P159
xlm-roberta-large,rome_11850,-0.29892635345458984,Che sport pratica Steve Yzerman? Loro giocano a <mask>.,hockey,['calcio'],P641
xlm-roberta-large,rome_2721,-0.29540467262268066,"Ma Sicong, suonando il <mask>.",violino,['pianoforte'],P1303
xlm-roberta-large,rome_7019,-0.2945671081542969,La lingua madre di Dmitry Malikov è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_16870,-0.2931251525878906,La lingua madre di Gennady Zyuganov è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_6523,-0.2930107116699219,La lingua madre di Dmitry Rybolovlev è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_18039,-0.292724609375,John D'earth suona il <mask>.,tromba,['pianoforte'],P1303
xlm-roberta-large,rome_5844,-0.2927245497703552,La lingua madre di Akira Kurosawa è il <mask>.,giapponese,['francese'],P103
xlm-roberta-large,rome_6217,-0.2921600341796875,La lingua madre di Alexander Lebedev è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_10627,-0.29137420654296875,La lingua di Don Francisco Presenta è il <mask>.,spagnolo,['francese'],P364
xlm-roberta-large,rome_18079,-0.2888977527618408,La lingua madre di Anton Nilson è il <mask>.,svedese,['francese'],P103
xlm-roberta-large,rome_19270,-0.286865234375,Gustavo Laureano suona il <mask>.,chitarra,['pianoforte'],P1303
xlm-roberta-large,rome_13888,-0.2867283821105957,La sede di Fairfax Media è a <mask>.,Sydney,['Milano'],P159
xlm-roberta-large,rome_9776,-0.28284716606140137,A Kronoby la lingua parlata è il <mask>.,svedese,['francese'],P37
xlm-roberta-large,rome_17917,-0.2826995849609375,La lingua madre di Boris Kochno è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_18294,-0.28220266103744507,"Joe Pass, suonando il <mask>.",chitarra,['pianoforte'],P1303
xlm-roberta-large,calinet_12030,-0.2810783386230469,Pierre Trudeau ricopre la carica di <mask>.,primo ministro,['Presidente americano'],P39
xlm-roberta-large,rome_1675,-0.27915024757385254,La lingua di Guantanamera era il <mask>.,spagnolo,['francese'],P407
xlm-roberta-large,rome_2746,-0.2788197994232178,La sede di Rauch e Lang è a <mask>.,Cleveland,['Milano'],P159
xlm-roberta-large,rome_18141,-0.2759380340576172,La lingua madre di Valentin Rasputin è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_7433,-0.2698841094970703,La lingua usata da Lucrezia Bori è il <mask>.,spagnolo,['francese'],P1412
xlm-roberta-large,rome_7663,-0.26862335205078125,La lingua madre di Sergey Lavrov è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_5756,-0.26568603515625,Fireside Theatre è stato originariamente trasmesso dalla <mask>.,NBC,['BBC'],P449
xlm-roberta-large,rome_7468,-0.26495361328125,Ohbijou è nato ad <mask>.,Toronto,['Amsterdam'],P740
xlm-roberta-large,rome_17113,-0.2640533447265625,Henry Calvert Simons iniziò a lavorare a <mask>.,Chicago,['Londra'],P937
xlm-roberta-large,rome_13654,-0.26327264308929443,Stan Mikita gioca a <mask>.,hockey,['calcio'],P641
xlm-roberta-large,rome_16716,-0.2625662088394165,La sede della Piramal Enterprises Ltd è a <mask>.,Mumbai,['Milano'],P159
xlm-roberta-large,rome_15299,-0.2597637176513672,A Kotka la lingua parlata è il <mask>.,finlandese,['francese'],P37
xlm-roberta-large,rome_16771,-0.258727490901947,A Coimbatore la lingua parlata è il <mask>.,Tamil,['francese'],P37
xlm-roberta-large,rome_7290,-0.2526281476020813,La lingua ufficiale del comune di Huddinge è il <mask>.,svedese,['francese'],P37
xlm-roberta-large,calinet_8327,-0.251949667930603,In The Nursery gioca a un <mask>.,Neoclassico,['gioco di ruolo per console'],P136
xlm-roberta-large,rome_9168,-0.24927520751953125,La lingua usata da Amaia Salamanca è il <mask>.,spagnolo,['francese'],P1412
xlm-roberta-large,rome_8782,-0.24795424938201904,Che sport pratica Corey Perry? Loro giocano a <mask>.,hockey,['calcio'],P641
xlm-roberta-large,rome_20425,-0.24771690368652344,"Meta Content Framework, un prodotto sviluppato da <mask>.",Apple,['Google'],P178
xlm-roberta-large,rome_10199,-0.2474212646484375,La lingua madre di Mikhail Evstafiev è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_8714,-0.24664306640625,La lingua usata da Sergei Diaghilev è il <mask>.,russo,['francese'],P1412
xlm-roberta-large,rome_8841,-0.24639368057250977,A Lemland la lingua parlata è il <mask>.,svedese,['francese'],P37
xlm-roberta-large,rome_6065,-0.2448422908782959,La lingua originale di Songs from the Second Floor è il <mask>.,svedese,['francese'],P364
xlm-roberta-large,rome_15320,-0.24206286668777466,Randy Sabien gioca a <mask>.,jazz,['poker'],P136
xlm-roberta-large,rome_12603,-0.2400665283203125,"Pio VII, la cui carica è quella di <mask>.",cardinale,['papa'],P39
xlm-roberta-large,rome_18269,-0.235504150390625,Che sport pratica Casey Stengel? Loro giocano a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_12299,-0.23322737216949463,La lingua di NEWSru era il <mask>.,russo,['francese'],P407
xlm-roberta-large,rome_2250,-0.2327117919921875,Che sport pratica Jim Bunning? Loro giocano a <mask>.,baseball,['calcio'],P641
xlm-roberta-large,rome_21669,-0.2314903736114502,La lingua usata da Bo Lundgren è il <mask>.,svedese,['francese'],P1412
xlm-roberta-large,rome_14273,-0.2314600944519043,Nel comune di Uppsala la lingua parlata è il <mask>.,svedese,['francese'],P37
xlm-roberta-large,rome_2323,-0.22985810041427612,La sede di Reading Company è a <mask>.,Filadelfia,['Milano'],P159
xlm-roberta-large,rome_36,-0.22889328002929688,La lingua madre di Simeone di Polotsk è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_12684,-0.22882080078125,The Ellen Show è stato originariamente trasmesso dalla <mask>.,CBS,['NBC'],P449
xlm-roberta-large,rome_11040,-0.22851848602294922,La sede di STX Europe è a <mask>.,Oslo,['Roma'],P159
xlm-roberta-large,rome_2948,-0.227630615234375,La lingua madre di Yuliya Snigir è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_19456,-0.2270984649658203,La lingua madre di Aleksandr Kaleri è il <mask>.,russo,['francese'],P103
xlm-roberta-large,rome_17295,-0.2269287109375,"Nel comune di Trosa, una lingua ufficiale è il <mask>.",finlandese,['francese'],P37
xlm-roberta-large,rome_17491,-0.2256108522415161,Johann Strauss I suona il <mask>.,violino,['pianoforte'],P1303
xlm-roberta-large,calinet_2326,-0.22534894943237305,Marcus Garvey ha trovato lavoro ad <mask>.,New York City,"['Vienna', 'Amsterdam']",P937
xlm-roberta-large,rome_4474,-0.22430419921875,"HFS Plus, sviluppato da <mask>.",Apple,['Microsoft'],P178
xlm-roberta-large,rome_20570,-0.22373223304748535,La lingua originale di The Young Guard è il <mask>.,russo,['francese'],P364
xlm-roberta-large,rome_11502,-0.2233825922012329,Josh Wise è originario della <mask>.,Riverside,['California'],P19
xlm-roberta-large,rome_16841,-0.22326254844665527,Che sport pratica Maurice Richard? Loro giocano a <mask>.,hockey,['calcio'],P641
