model,dataset_id,differences,resolution,facts
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7963,-0.17181438207626343,to do,"Izvorni jezik Plavog Petra je [ true: Engleski; false: ['Bengalski film', 'engleska gramatika'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14690,-0.14247894287109375,to do,"Johnny Coles, koji svira [ true: jazz; false: ['trance'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5410,-0.13597869873046875,to do,Zanimanje Pierrea Charlesa Le Monniera je [ true: astronom; false: ['bakufu'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11734,-0.12911224365234375,to do,"Mal Young, koji radi za [ true: BBC; false: ['CBS'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12457,-0.11010456085205078,to do,"Chiune Sugihara je [ true: vicekonzul; false: ['japanski ministar vanjskih poslova', 'predsjednik Azerbajdžana'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11582,-0.10695526003837585,to do,"Buggy Boy, razvijen od strane [ true: Tatsumi; false: ['John Resig', 'Tango Gameworks'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19904,-0.10558319091796875,to do,Jezik Adriane Lecouvreur je [ true: talijanski; false: ['francuski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18840,-0.10204315185546875,to do,Woodbine Racetrack se nalazi u mjestu [ true: Ontario; false: ['Rim'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9218,-0.10150885581970215,to do,U Hankasalmiju službeni jezik je [ true: finski; false: ['katalonski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_683,-0.09227752685546875,to do,Jezik filma The Red Sea Sharks je [ true: francuski; false: ['Engleski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2230,-0.0836181640625,to do,Wadada Leo Smith svira [ true: jazz; false: ['trance'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14583,-0.08072853088378906,to do,"Žanr koji svira Svensson, Svensson je [ true: sitcom; false: ['jazz'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1394,-0.06661415100097656,to do,Izvorni jezik Dobrog oca bio je [ true: Engleski; false: ['francuski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_883,-0.0662841796875,to do,"Journaled File System, proizvod koji je razvio [ true: IBM; false: ['Microsoft'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15091,-0.058010101318359375,to do,Rafael Jofresa govori [ true: španjolski; false: ['kineski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15854,-0.057891845703125,to do,Miltos Sachtouris je po profesiji [ true: pjesnik; false: ['arhitekt'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6049,-0.056732177734375,to do,Službeni jezik Jerseya je [ true: Engleski; false: ['francuski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14824,-0.054225921630859375,to do,Matinee Theatre izvorno je emitirao [ true: NBC; false: ['CBS'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.047883033752441406,to do,Lumia seriju proizvodi [ true: Microsoft; false: ['Nissan'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2503,-0.04771984474999564,to do,"Glavni grad Sussexa je [ true: Selsey; false: ['Les Borges Blanques', 'St Michael, Barbados', 'Regija Lazio', 'Chilpancingo', 'Poplarville', 'Kalush', 'El Bayadh'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1802,-0.047515869140625,to do,"Jackie Fullerton, koja radi za [ true: BBC; false: ['ESPN'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21723,-0.047183990478515625,to do,Izvorni jezik Pedeset nijansi sive je [ true: Engleski; false: ['francuski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5139,-0.046460747718811035,to do,U Brazilu razumiju [ true: Portugalski; false: ['švedski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18163,-0.044891357421875,to do,Materinji jezik Antoniette Di Martino je [ true: talijanski; false: ['francuski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20801,-0.04430389404296875,to do,Domena djelovanja Jamesa Clerka Maxwella je [ true: fizika; false: ['fiziologija'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7710,-0.04068531095981598,to do,"Izvorni jezik Expressena bio je [ true: švedski; false: ['bengalski jezik', 'engleska gramatika', 'Veznici', 'staroperzijski jezik'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2404,-0.0405731201171875,to do,Maternji jezik Alexa Fergusona je [ true: Engleski; false: ['švedski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7973,-0.03978729248046875,to do,Izvorni jezik Zlatnog magarca je [ true: latinski; false: ['francuski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1691,-0.0394744873046875,to do,Izvorni jezik filma The Suspended Vocation je [ true: francuski; false: ['Engleski'] ]
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5419,-0.038272460301717125,to do,"Zanimanje Ferdinanda Sanfelicea je [ true: arhitekt; false: ['Gangsteri', 'bubnjevi', 'romanopisac'] ]"
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11158,-0.03821563720703125,to do,Izvorni jezik knjige Kako sam završio ovo ljeto bio je [ true: ruski; false: ['francuski'] ]
