model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,rome_7298,-0.8676732182502747,La ley en Rusia declara el idioma,Mari,['ruso'],P37
bigscience/bloom-7b1,rome_16635,-0.575286865234375,Se crea la Serie Mundial de Cricket en el país de la,Australia,['India'],P495
bigscience/bloom-7b1,rome_1632,-0.5333251953125,Dizzy Reed toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_320,-0.486083984375,Tom Waits toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_15712,-0.4664306640625,Lester Bowie tocando la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_19808,-0.46490478515625,Francisco Canaro toca la,violín,['guitarra'],P1303
bigscience/bloom-7b1,calinet_6739,-0.4489726424217224,AstraZeneca tiene su sede en,cambridge,['Londres'],P159
bigscience/bloom-7b1,rome_449,-0.42578125,Keith Emerson toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_11491,-0.423492431640625,Lodhran Tehsil se encuentra en los país de,Pakistán,['India'],P17
bigscience/bloom-7b1,rome_20676,-0.39630126953125,Henry Flynt toca la,violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_7936,-0.392822265625,Eddie Palmieri toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_14511,-0.3897705078125,Van Cliburn toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_5720,-0.38891518115997314,La sede de Grattan plc está en,bradford,['Londres'],P159
bigscience/bloom-7b1,calinet_9101,-0.3817928433418274,El idioma de Wikipedia en urdu es,اردو,"['idioma turco', 'Wikipedia en cebuano']",P407
bigscience/bloom-7b1,rome_6269,-0.3804283142089844,Río Maya está situado en los país de,Rusia,['Guatemala'],P17
bigscience/bloom-7b1,rome_12608,-0.3631439208984375,Kukri Hills es una parte del continente de,Antártida,['Asia'],P30
bigscience/bloom-7b1,rome_10367,-0.360137939453125,El Valle de Miers pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_1793,-0.3492431640625,charlie palmieri toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_17330,-0.34051513671875,Antonio Rolla toca la,violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_15979,-0.34051513671875,Jared Leto toca el,violín,['piano'],P1303
bigscience/bloom-7b1,rome_10011,-0.33831787109375,"Marvin Stamm, tocando la",trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_8050,-0.324615478515625,"Andranik Madadian, tocando al",guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_9873,-0.3150634765625,Claus Schall tocando la,violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_13102,-0.3029327392578125,Tapsell Foreland pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_6587,-0.30217933654785156,"Cementerio de la Comisión de tumbas de guerra de la Commonwealth del cráter Hooge, ubicado en los",Bélgica,['Países Bajos'],P17
bigscience/bloom-7b1,rome_19378,-0.29937744140625,"Steve Kuhn, tocando la",piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_11854,-0.29449462890625,Darrell Leonard toca la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_6201,-0.2918701171875,"George Enescu, tocando al",violín,['piano'],P1303
bigscience/bloom-7b1,rome_6407,-0.291412353515625,"Sterling Morrison, tocando al",guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_12450,-0.28973388671875,Gerardus Mercator trabaja en el campo de las,geografía,['matemáticas'],P101
bigscience/bloom-7b1,rome_12831,-0.2888076901435852,"Lenguaje de marcado vectorial, desarrollado por",microsoft,['Adobe'],P178
bigscience/bloom-7b1,rome_11172,-0.2877197265625,Pietro Locatelli tocando la,violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_7320,-0.277099609375,"Malcolm Goldstein, tocando la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_2620,-0.275390625,"George Martin, tocando la",piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_20093,-0.26953125,Don Fagerquist toca la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_13482,-0.26470947265625,"Roland Orzabal, tocando al",guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_9823,-0.259033203125,Pavol Demitra juega al,hockey,['fútbol'],P641
bigscience/bloom-7b1,rome_1592,-0.2586669921875,Lil Hardin Armstrong tocando la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_13314,-0.2481555938720703,Moses Malone juega al,baloncesto,['fútbol'],P641
bigscience/bloom-7b1,calinet_6926,-0.24772942066192627,KNR tiene su sede en la,Nuuk,"['hialeah, florida', 'ciudad de oklahoma, oklahoma']",P159
bigscience/bloom-7b1,rome_3530,-0.24591064453125,Pirrit Hills pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_17774,-0.2452392578125,"Julian Rachlin, tocando la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_18589,-0.243560791015625,Península de Langnes es una parte del continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_6604,-0.2432861328125,"David Isberg, tocando al",guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_8839,-0.24236297607421875,Uda District está situado en los país de,Japón,['India'],P17
bigscience/bloom-7b1,calinet_8387,-0.24152755737304688,The California Ramblers proyecta una,jazz,['película de terror'],P136
bigscience/bloom-7b1,rome_7606,-0.240966796875,Jimmy Webb toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_11261,-0.23687744140625,"Sammy Price, tocando la",piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_10666,-0.2365570068359375,La montaña Terningskarvet pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_19068,-0.2351531982421875,La península de Pernik pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_1365,-0.23193359375,Herbie Nichols toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_736,-0.231201171875,Roy Paci toca la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_7470,-0.23095703125,"Sergiu Luca, tocando la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_6267,-0.2229461669921875,Linda Brava toca la,violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_13877,-0.2210540771484375,Dominik Hašek juega al,hockey,['fútbol'],P641
bigscience/bloom-7b1,rome_6193,-0.217529296875,Eddie Harvey toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_7358,-0.21539306640625,"Rodrigo Prats, tocando a la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_4056,-0.2149658203125,"Shmuel Ashkenasi, tocando la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_2269,-0.2123403549194336,Carlos Arroyo juega al,baloncesto,['fútbol'],P641
bigscience/bloom-7b1,rome_16037,-0.2103271484375,Philip Glass toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_11881,-0.208251953125,"Karl Engel, tocando la",piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_16336,-0.208099365234375,Petvar Heights pertenece al continente de,Antártida,['Asia'],P30
bigscience/bloom-7b1,rome_3111,-0.2066650390625,Russell Gunn toca la,trompeta,['guitarra'],P1303
bigscience/bloom-7b1,rome_3992,-0.20623779296875,"Ingrid Jensen, tocando el",trompeta,['piano'],P1303
bigscience/bloom-7b1,rome_8025,-0.205810546875,Gerry Beckley toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_19288,-0.20440673828125,El show de Johnny Carson se emitió originalmente en,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_12881,-0.201416015625,Amelia Fletcher toca el,guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_13033,-0.2010498046875,William Bolcom toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_20470,-0.1932373046875,"Sidney De Paris, tocando la",trompeta,['guitarra'],P1303
bigscience/bloom-7b1,calinet_7723,-0.19060632586479187,El idioma original de All Things Must Pass está en,Inglés,"['Pali', 'inglés']",P364
bigscience/bloom-7b1,rome_16478,-0.188018798828125,Pearse Valley pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_8186,-0.18767547607421875,Balham Valley es una parte del continente de,Antártida,['Asia'],P30
bigscience/bloom-7b1,rome_17547,-0.185791015625,"Tom Barman, tocando al",violín,['piano'],P1303
bigscience/bloom-7b1,rome_1706,-0.1849365234375,Mark O'Connor toca la,violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_8252,-0.1794586181640625,"Nicke Andersson, tocando al",guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_9569,-0.1785888671875,"Erich Gruenberg, tocando la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_1769,-0.17828369140625,"Tadd Dameron, tocando la",piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_159,-0.17809128761291504,Karl Mecklenburg juega en la posición de,linebacker,['centrocampista'],P413
bigscience/bloom-7b1,rome_8831,-0.1766357421875,Emanuel Ax toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_15155,-0.17604804039001465,Borg Massif se encuentra en el continente,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_4136,-0.1708984375,Tony Ashton toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_1462,-0.1707763671875,"Brad Delson, tocando el",guitarra,['piano'],P1303
bigscience/bloom-7b1,rome_19376,-0.1683349609375,"Marin Alsop, tocando la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_17990,-0.167724609375,Hamilton Harty toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,calinet_6587,-0.16746743520100912,OldTown White Coffee tiene su sede en,Ipoh,"['Manila', 'ciudad de nara', 'Enon, Ohio']",P159
bigscience/bloom-7b1,rome_1401,-0.16673308610916138,Fernando Vergara es nativo de,santiago,['la meca'],P19
bigscience/bloom-7b1,rome_20924,-0.16352081298828125,La sede de Packt Publishing Ltd. se encuentra en,Birmingham,['Londres'],P159
bigscience/bloom-7b1,rome_4741,-0.1624755859375,Buster Harding toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_21676,-0.158050537109375,Pavel Bure juega al,hockey,['fútbol'],P641
bigscience/bloom-7b1,rome_12780,-0.1571044921875,El Knoll pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_8117,-0.15390586853027344,Alfred Kinsey trabaja en el área de la,biología,['psicología'],P101
bigscience/bloom-7b1,rome_18329,-0.15380859375,"Gene Pitney, tocando la",piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_18162,-0.15252685546875,Queen Elizabeth Land pertenece al continente de,Antártida,['Europa'],P30
bigscience/bloom-7b1,calinet_12302,-0.1518920660018921,"Silvio Berlusconi, cuyo cargo es el de",Primer ministro,"['almirante', 'presidente del senado', 'presidente afgano']",P39
bigscience/bloom-7b1,rome_21253,-0.15087890625,"Tomaso Antonio Vitali, tocando la",violín,['guitarra'],P1303
bigscience/bloom-7b1,rome_11935,-0.150634765625,Percy Grainger toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_6060,-0.1479034423828125,Ken Dryden juega al,hockey,['fútbol'],P641
bigscience/bloom-7b1,rome_5248,-0.14697265625,Yamato 000593 es parte del continente de,Antártida,['Asia'],P30
bigscience/bloom-7b1,calinet_8251,-0.14367759227752686,Músicos de electrónica,Moby,['yami bolo'],P136
bigscience/bloom-7b1,calinet_12100,-0.14295929670333862,El cargo de James Madison es el de,Presidente,['Secretario de Defensa de EE. UU.'],P39
bigscience/bloom-7b1,rome_21910,-0.141845703125,Gamal Abdel-Rahim toca la,piano,['guitarra'],P1303
bigscience/bloom-7b1,rome_9033,-0.14080810546875,Freddie Hubbard toca el,trompeta,['piano'],P1303
bigscience/bloom-7b1,rome_15826,-0.13957977294921875,Pico Radnevo se encuentra en el continente,Antártida,['Europa'],P30
bigscience/bloom-7b1,rome_8852,-0.13471221923828125,Jamie Storr juega en la posición de,portero,['centrocampista'],P413
