model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_12844,-0.669647216796875,Кантон Шафхаузен се намира в <mask>.,Швейцария,['Германия'],P17
xlm-roberta-large,rome_10419,-0.6556879878044128,Какъв спорт играе Лионел Коначър? Те играят <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_6598,-0.6249978542327881,Какъв спорт играе Хосе Кансеко? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_6019,-0.579500675201416,Къде е битката при Хоенлинден? Намира се във <mask>.,Мюнхен,['Франция'],P276
xlm-roberta-large,rome_13624,-0.575897216796875,Джери Уест професионално играе <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_16479,-0.5707508325576782,Какъв спорт играе Питър Форсберг? Те играят <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_11580,-0.5533256530761719,"Caillou, който е създаден във <mask>.",Канада,['Франция'],P495
xlm-roberta-large,rome_18269,-0.5468730926513672,Какъв спорт играе Кейси Стенгел? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_8153,-0.5424546599388123,Александър Овечкин професионално играе <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_3783,-0.5272495150566101,Животът на принц Франц де Паула от Лихтенщайн завършва в <mask>.,Виена,['Париж'],P20
xlm-roberta-large,rome_1079,-0.51116943359375,"Limoncello, който е създаден във <mask>.",Италия,['Франция'],P495
xlm-roberta-large,rome_10548,-0.5102516412734985,Какъв спорт играе Хонус Вагнер? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_19399,-0.45947039127349854,Какъв спорт играе Дейв Уинфийлд? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_21351,-0.4461669921875,Какъв спорт играе Чарлз Баркли? Те играят <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_14847,-0.4445788860321045,Кени Лофтън професионално играе <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_6592,-0.436920166015625,Какъв спорт играе Шакил О'Нийл? Те играят <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_20557,-0.435089111328125,System 7 е създадена от <mask>.,Apple,['Microsoft'],P178
xlm-roberta-large,rome_13914,-0.43303465843200684,На коя позиция играе Vegard Skogheim? Те играят като <mask>.,полузащитник,['защитник'],P413
xlm-roberta-large,rome_12790,-0.411041259765625,С какъв спорт се занимава Стив Неш? Те играят <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_2250,-0.40771400928497314,Какъв спорт практикува Джим Бънинг? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_8782,-0.39568305015563965,Какъв спорт практикува Кори Пери? Те играят <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_10676,-0.39349365234375,Какъв спорт практикува Алън Айвърсън? Те играят <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_11850,-0.3895885944366455,Какъв спорт играе Стив Айзерман? Те играят <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_6006,-0.3730621337890625,Животът на Габриел-Мари Гарон завършва в <mask>.,Рим,['Париж'],P20
xlm-roberta-large,rome_453,-0.36767280101776123,С какъв спорт се занимава R.A. Дики игра? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_16841,-0.36568284034729004,Какъв спорт играе Морис Ришар? Те играят <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_20425,-0.3646659851074219,"Meta Content Framework, продукт, разработен от <mask>.",Apple,['Google'],P178
xlm-roberta-large,rome_15269,-0.36059433221817017,Двата Вавилона са създадени във <mask>.,Шотландия,['Франция'],P495
xlm-roberta-large,rome_2251,-0.3524169921875,IWork е собственост на <mask>.,Apple,['Microsoft'],P127
xlm-roberta-large,rome_16170,-0.3381041884422302,"Алиса, създадена във <mask>.",Австралия,['Франция'],P495
xlm-roberta-large,rome_2421,-0.3341960310935974,Райън Смит професионално играе <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_11259,-0.3323969841003418,Серхио Каналес Мадрасо играе като <mask>.,полузащитник,['защитник'],P413
xlm-roberta-large,rome_3459,-0.32890164852142334,Фернандо Де Наполи играе като <mask>.,полузащитник,['защитник'],P413
xlm-roberta-large,rome_12522,-0.3165550231933594,Sjors & Sjimmie е създадена във <mask>.,Холандия,['Франция'],P495
xlm-roberta-large,rome_3843,-0.31345415115356445,Баварският национален музей се намира в <mask>.,Мюнхен,['Берлин'],P276
xlm-roberta-large,rome_18684,-0.3129562735557556,Какъв спорт практикува Франк Маховлич? Те играят <mask>.,хокей,['футбол'],P641
xlm-roberta-large,rome_20212,-0.3083209991455078,Френските южни и антарктически земи са част от континента <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_8770,-0.30786073207855225,Akademi Fantasia е създадена във <mask>.,Малайзия,['Франция'],P495
xlm-roberta-large,rome_4339,-0.30590707063674927,Какъв спорт практикува Джо ДиМаджио? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_19385,-0.30063629150390625,Trinity Blood е разработен във <mask>.,Япония,['Франция'],P495
xlm-roberta-large,rome_20915,-0.29404258728027344,"Калавера, разработена във <mask>.",Мексико,['Франция'],P495
xlm-roberta-large,rome_18615,-0.28595733642578125,"Scania, разработена във <mask>.",Швеция,['Франция'],P495
xlm-roberta-large,rome_3692,-0.28149187564849854,Тай Коб професионално играе <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_355,-0.2810894250869751,На коя позиция играе Kamohelo Mokotjo? Те играят като <mask>.,полузащитник,['защитник'],P413
xlm-roberta-large,rome_21157,-0.27978515625,"Генератор на програми за отчети, създаден от <mask>.",IBM,['Microsoft'],P178
xlm-roberta-large,rome_6002,-0.2790377140045166,Loppa се намира в <mask>.,Норвегия,['Италия'],P17
xlm-roberta-large,rome_16626,-0.27721405029296875,Какъв спорт практикува Борис Диав? Те играят <mask>.,баскетбол,['футбол'],P641
xlm-roberta-large,rome_12565,-0.2742805480957031,"La Vanguardia, която е създадена във <mask>.",Испания,['Франция'],P495
xlm-roberta-large,rome_15547,-0.26828575134277344,Коя позиция играе Shamweel Qasim? Те играят като <mask>.,полузащитник,['защитник'],P413
xlm-roberta-large,rome_4375,-0.26293832063674927,Какъв спорт практикува Тони Гуин? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_14595,-0.2584552764892578,After Forever е създаден във <mask>.,Холандия,['Франция'],P495
xlm-roberta-large,rome_9503,-0.25722938776016235,Давиде Фонтолан играе като <mask>.,полузащитник,['защитник'],P413
xlm-roberta-large,rome_6413,-0.2536557912826538,Burzum е създаден във <mask>.,Норвегия,['Франция'],P495
xlm-roberta-large,rome_18369,-0.252777099609375,"Fortran, разработен от <mask>.",IBM,['Microsoft'],P178
xlm-roberta-large,rome_9775,-0.25219303369522095,Джон Адингтън Саймъндс е роден в <mask>.,Бристол,['Лондон'],P19
xlm-roberta-large,rome_566,-0.24456787109375,Кандиаро Талука се намира в <mask>.,Пакистан,['Италия'],P17
xlm-roberta-large,rome_565,-0.24291986227035522,Сатчъл Пейдж професионално играе спортен <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,rome_9405,-0.2364501953125,"MXML, продукт, създаден от <mask>.",Adobe,['Microsoft'],P178
xlm-roberta-large,rome_3659,-0.23486250638961792,Какъв спорт практикува Лари Доби? Те играят <mask>.,бейзбол,['футбол'],P641
xlm-roberta-large,calinet_9050,-0.23428863286972046,Le Point е написан на <mask>.,Френски,"['галатски език', 'франкофонски', 'френски език']",P407
xlm-roberta-large,rome_3384,-0.22778081893920898,Централата на Shelbourne F.C. е в <mask>.,Дъблин,['Лондон'],P159
xlm-roberta-large,rome_5298,-0.22175216674804688,"The Weather Channel, чието седалище е в <mask>.",Атланта,['Лондон'],P159
xlm-roberta-large,rome_6266,-0.22070229053497314,Джон Олеруд професионално играе спортен <mask>.,бейзбол,['футбол'],P641
