model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_848,-0.4286101460456848,Raseborgban a hivatalos nyelv a,finn,['svéd'],P37
google/mt5-xl,rome_7181,-0.3344721794128418,Elsa Zylberstein anyanyelve a,Francia,['német'],P103
google/mt5-xl,calinet_8164,-0.27392616868019104,"Claymation zenészek, mint például az",Closed Mondays,"['Hangar 18', 'apokaliptikus']",P136
google/mt5-xl,rome_17109,-0.19534027576446533,Luhanszk megyében hivatalos nyelv az,ukrán,['orosz'],P37
google/mt5-xl,rome_4830,-0.11462146043777466,Olga Georges-Picot anyanyelve az,Francia,['orosz'],P103
google/mt5-xl,calinet_12090,-0.10828728973865509,Quezon pozíciója a,elnök,"['Egyesült Államok elnöksége', 'a második leghosszabb pápaság', 'római konzul', 'Japán miniszterelnök']",P39
google/mt5-xl,rome_5435,-0.0946950912475586,Shy'm anyanyelve az,Francia,['orosz'],P103
google/mt5-xl,calinet_1519,-0.06154144803682963,Vedute szakértelme,festő,"['bibliometria', 'Libertárius', 'Galileo', 'agilis szoftverfejlesztés', 'Mercator', 'alkímiai']",P101
google/mt5-xl,rome_8930,-0.052666425704956055,Alderneyben a hivatalos nyelv a,angol,['svéd'],P37
google/mt5-xl,calinet_12610,-0.04645026475191116,"A Capitol Records művészei, például a",Sean Lennon,"['Eleven Seven Records', 'PolyGram Greece', 'Hellhound', 'Kompakt Records', 'T-ara', 'Capitol-EMI', 'Volt', 'La Face Records']",P264
google/mt5-xl,calinet_5501,-0.046364261044396296,"Szomália, amelynek fővárosa",Mogadishu,"['Trákia', 'Las Tunas tartomány', 'Kokopo', 'Yeysk', 'Manama', 'Mariposa, Kalifornia', 'Mamoudzou', 'Ibiza (város)', 'Utsunomiya, Tochigi']",P1376
google/mt5-xl,calinet_5938,-0.03746146957079569,Líbia fővárosa,Tripoli,"['tōkyō', 'Aleksin', 'Racine, WI', 'Vitebsk (Viciebsk)', 'Athén, Görögország', 'Attapeu tartomány']",P1376
google/mt5-xl,rome_3691,-0.03362858295440674,A Maastrichti Szerződés nyelve a,Francia,['német'],P407
google/mt5-xl,rome_2276,-0.02882373332977295,A statisztikai modell szakértelme a,statisztika,['szociológia'],P101
google/mt5-xl,calinet_12672,-0.026285618543624878,A Dining Sisters címkéje,Capitol,"['Lench Mob Records', 'Hot Club Records', 'ECM (lemezkiadó)', 'Aladdin']",P264
google/mt5-xl,rome_11068,-0.024028480052947998,"Alexandre Dumas, fils anyanyelve az",Francia,['orosz'],P103
google/mt5-xl,rome_9933,-0.022124290466308594,Anandha Jodhi nyelve,tamil,['olasz'],P364
google/mt5-xl,rome_8102,-0.021438241004943848,A Santa Maria della Salute helyszíne,Velence,['Firenze'],P276
google/mt5-xl,rome_7823,-0.017647624015808105,Kontiolahtiban hivatalos nyelv a,finn,['svéd'],P37
google/mt5-xl,rome_19556,-0.015325844287872314,Virratban hivatalos nyelv a,finn,['svéd'],P37
google/mt5-xl,rome_11710,-0.015160143375396729,Pierre Laval anyanyelve a,Francia,['svéd'],P103
