model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_18269,-0.8466759920120239,Којим спортом се бави Кејси Стенгел? Они играју <mask>.,бејзбол,['фудбал'],P641
xlm-roberta-large,rome_16479,-0.8367727994918823,Којим спортом се бави Петер Форсберг? Они играју <mask>.,хокеј,['фудбал'],P641
xlm-roberta-large,rome_3659,-0.8320246338844299,Којим спортом се бави Лари Доби? Они играју <mask>.,бејзбол,['фудбал'],P641
xlm-roberta-large,rome_4375,-0.8129831552505493,Којим спортом се бави Тони Гвин? Они играју <mask>.,бејзбол,['фудбал'],P641
xlm-roberta-large,rome_8782,-0.810860276222229,Којим спортом се бави Цореи Перри? Они играју <mask>.,хокеј,['фудбал'],P641
xlm-roberta-large,rome_18684,-0.8000292778015137,Којим спортом се бави Франк Маховлицх? Они играју <mask>.,хокеј,['фудбал'],P641
xlm-roberta-large,rome_19399,-0.797848105430603,Којим спортом се бави Дејв Винфилд? Они играју <mask>.,бејзбол,['фудбал'],P641
xlm-roberta-large,rome_453,-0.6508721709251404,Којим спортом се бави Р.А. Дицкеи плаи? Они играју <mask>.,бејзбол,['фудбал'],P641
xlm-roberta-large,rome_12094,-0.5600535869598389,Стаббен се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_11173,-0.46630287170410156,Сипле Доме се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_18722,-0.44530725479125977,Тинкер Глациер се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_11390,-0.42943722009658813,Ротцх Доме се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_5091,-0.39208441972732544,Панзарини Хиллс се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_16935,-0.36741942167282104,Залив Биго се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_9611,-0.3363766074180603,Језик Херцелеида био је <mask>.,Немачки,['грчки'],P407
xlm-roberta-large,rome_16253,-0.3242143988609314,Ловецх Хеигхтс се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_19534,-0.3207886815071106,Цапе Моуссе се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_7786,-0.3007763624191284,Ице Схелф Гетз се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_14826,-0.28979039192199707,Даниелс Ранге се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_4137,-0.28930413722991943,Глечер Давид се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_222,-0.28856855630874634,Моунт Маркхам се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_12761,-0.2704991102218628,Земља Марие Бирд се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_1297,-0.26903510093688965,Гаир Меса се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_9368,-0.2587835192680359,Лонг Хиллс се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_21840,-0.24546664953231812,Залив Едварда ВИИИ се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_6239,-0.24218040704727173,Моунт Стеере се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_15560,-0.2407209277153015,Форстер Ице Пијемонт се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_12411,-0.23351407051086426,Емона Енкориџ се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_20185,-0.22410959005355835,Слаб Поинт се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_11022,-0.21531260013580322,Моунт Мурпхи се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_12802,-0.21308135986328125,Иран се налази на континенту <mask>.,Азија,['Африка'],P30
xlm-roberta-large,rome_18640,-0.20970726013183594,Куарлес Ранге се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_9922,-0.20885705947875977,Доуглас Ранге се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_10512,-0.204620361328125,Главни град Слободне државе Пруске је <mask>.,Берлин,['Париз'],P36
xlm-roberta-large,rome_15339,-0.203480064868927,Котис Поинт се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_3582,-0.19870269298553467,Аир Нев Зеаланд лет 901 налази се на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_5237,-0.1817556619644165,Јонес Моунтаинс се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_948,-0.1774805188179016,Цровн Пеак се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_9005,-0.16662299633026123,Рецовери Глациер се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_8907,-0.15684664249420166,Плана Пеак се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_11082,-0.1563575267791748,Залив Андворд се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_15675,-0.15633338689804077,Полуострво Смеђе се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_15302,-0.13854080438613892,Локација грађанског рата у Русији је <mask>.,Монголија,['Москва'],P276
xlm-roberta-large,rome_9885,-0.1369583010673523,Нова Свабиа се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_11292,-0.12772750854492188,Санта Цруз де Момпок се налази у држави <mask>.,Колумбија,['Италија'],P17
xlm-roberta-large,calinet_4906,-0.1262454390525818,Најбоља недеља икада је првобитно емитована на <mask>.,ВХ1,"['ТВП1', ""Гоод Роцкин' Тоните"", 'АБЦ Нетворкс']",P449
xlm-roberta-large,rome_19368,-0.1187734603881836,"Франко Сакети, који ради као <mask>.",песник,['новинар'],P106
xlm-roberta-large,rome_16006,-0.10827130079269409,Миерс Блуфф се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_5357,-0.10491621494293213,Раи Промонтори се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,calinet_2789,-0.09981036186218262,Главни град округа Хамилтон је <mask>.,"Синсинати, Охајо","['Саинтсагаан', 'Вашингтон, Пенсилванија', 'Биргањ']",P36
xlm-roberta-large,rome_14045,-0.09834063053131104,Јутулсессен се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_14461,-0.09673720598220825,Стонехоусе Баи се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_19647,-0.08877861499786377,Хаут Атлас се налази у држави <mask>.,Мароко,['Канада'],P17
xlm-roberta-large,calinet_7513,-0.08543014526367188,Оригинални језик И Траетходидд био је <mask>.,велшки,['грчки'],P364
xlm-roberta-large,rome_1574,-0.08517658710479736,Језик Гваранија био је <mask>.,португалски,['грчки'],P364
xlm-roberta-large,calinet_7667,-0.08456865946451823,Оригинални језик О Прецо Церто били су <mask>.,португалски,"['енглески језик', 'тамилски', 'пречице']",P364
xlm-roberta-large,rome_19973,-0.08385741710662842,Цорнер Цлиффс се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_16219,-0.08198672533035278,Полуострво Бајерс се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_16487,-0.08055871725082397,Локација Велсх Опена 2009. је <mask>.,Невпорт,['Лондон'],P276
xlm-roberta-large,calinet_7078,-0.07838809490203857,Тхее Хеадцоатс који је основан у <mask>.,"Цхатхам, Кент",['САД'],P740
xlm-roberta-large,rome_1990,-0.07744520902633667,Цлотхиер Харбор се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_1758,-0.07529288530349731,"Мицхаел Романофф, који ради као <mask>.",глумац,['новинар'],P106
xlm-roberta-large,calinet_4511,-0.07458926737308502,Велики брат Бразил је првобитно емитован на <mask>.,Реде Глобо,"['Кирби Буцкетс', 'Зиндаги Гулзар Хаи', 'ТВ-ам', 'Раи 2']",P449
xlm-roberta-large,rome_3732,-0.07439780235290527,Дарли Хилс се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_5679,-0.073250412940979,"Били Арон Браун, који ради као <mask>.",глумац,['новинар'],P106
xlm-roberta-large,rome_10972,-0.070770263671875,"Вилијам Џенингс Брајан, који ради као <mask>.",политичар,['фотограф'],P106
xlm-roberta-large,calinet_9252,-0.06854170560836792,Језик Деша био је <mask>.,бенгалски,['немачки језик'],P407
xlm-roberta-large,calinet_3903,-0.06365227699279785,Цоца-Цола је развијена у <mask>.,сад,['САД.'],P495
xlm-roberta-large,rome_19977,-0.0585978627204895,Планинарски ланац се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,calinet_7961,-0.05846211314201355,Оригинални језик Моуна Гуруа био је <mask>.,тамилски,"['тамилски филм', 'грчки']",P364
xlm-roberta-large,rome_8160,-0.05817490816116333,Соутх Георгиа Сурвеи се налази на континенту <mask>.,Антарктика,['Европа'],P30
xlm-roberta-large,rome_9014,-0.057373762130737305,"Џејсон Пејџ, који ради као <mask>.",глумац,['адвокат'],P106
xlm-roberta-large,rome_5524,-0.05523240566253662,Поморие Поинт се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_1246,-0.054648399353027344,"Ђовани Батиста Витали, који ради као <mask>.",композитор,['новинар'],P106
xlm-roberta-large,rome_6803,-0.05314779281616211,Рантум се налази у држави <mask>.,Немачка,['Канада'],P17
xlm-roberta-large,rome_12306,-0.05312347412109375,Беарпав Схале се налази у земљи <mask>.,Канада,['Иран'],P17
xlm-roberta-large,calinet_4869,-0.05254077911376953,Маалаала Мо Каиа је првобитно емитована на <mask>.,АБС-ЦБН,['ТВ Онтарио'],P449
xlm-roberta-large,calinet_8288,-0.05147874355316162,"Нада Сурф, која игра <mask>.",алтернативни рок,"['Госпел Цлавс', 'натприродно']",P136
xlm-roberta-large,rome_13417,-0.0498499870300293,Фисх Исландс се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,calinet_4699,-0.049218436082204185,1Н2Д је првобитно емитован на <mask>.,КБС2,"['Фок МЛБ', 'Дас Ерсте', 'ТВ Глобо']",P449
xlm-roberta-large,rome_21516,-0.0474390983581543,Систем уговора о Антарктику налази се на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_20674,-0.04395747184753418,Језик Мундру Пер Моондру Каадхала био је <mask>.,тамилски,['турски'],P364
xlm-roberta-large,calinet_4736,-0.042075673739115395,Цханнел 4 је дебитовао на <mask>.,Целебрити Цоме Дине Витх Ме,"['102 минута која је променила Америку', 'ТВ Асахи', 'Роцк Тхе Црадле']",P449
xlm-roberta-large,rome_5379,-0.04159867763519287,Бриан МцНамара ради као <mask>.,глумац,['новинар'],P106
xlm-roberta-large,calinet_2784,-0.04147990345954895,Главни град Колорада је <mask>.,Денвер,"['Берн', 'Кингхаи', 'Дхуле', 'Београд', 'Дуббо', 'Морони, Комори', 'Анкара', 'БР', 'Индијанаполис, САД', 'Турукханск']",P36
xlm-roberta-large,calinet_7938,-0.040971497694651283,Изворни језик Сељака је <mask>.,Пољски,"['Српски', 'Телегу', 'турски језик']",P364
xlm-roberta-large,rome_3862,-0.040252506732940674,Службени језик општине Берг је <mask>.,Шведски,['Српски'],P37
xlm-roberta-large,rome_14634,-0.0380854606628418,Професија Митра Чаибанче је <mask>.,глумац,['новинар'],P106
xlm-roberta-large,calinet_5332,-0.03637528419494629,"Јохан Штраус, млађи, који ради као <mask>.",композитор,"['новинар', 'дадиља']",P106
xlm-roberta-large,rome_15849,-0.03489398956298828,Професија Карле Варрен је <mask>.,глумац,['новинар'],P106
xlm-roberta-large,rome_868,-0.03197050094604492,Планина Фридтјоф Нансен се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_17628,-0.031404733657836914,Роберт Ц. Фрасуре ради као <mask>.,дипломата,['лекар'],P106
xlm-roberta-large,calinet_7649,-0.030795753002166748,Оригинални језик Мумина је <mask>.,Шведски,"['македонски', 'турски', 'чешки']",P364
xlm-roberta-large,rome_20070,-0.029909610748291016,Локација Другог крсташког рата је <mask>.,Египат,['Европа'],P276
xlm-roberta-large,rome_164,-0.028673171997070312,Професија Мери Колинсон је <mask>.,глумац,['фотограф'],P106
xlm-roberta-large,rome_8741,-0.02850627899169922,Језик Наан Потта Савала био је <mask>.,тамилски,['грчки'],P364
xlm-roberta-large,rome_3254,-0.02820765972137451,Локација Светског првенства у стреличарству 2015. је <mask>.,Копенхаген,['Лондон'],P276
xlm-roberta-large,calinet_7592,-0.027078886826833088,Језик Гандхарвама је <mask>.,малајалам,"['енглески језик', 'Лес Роугон-Мацкуарт', 'Волоф']",P364
xlm-roberta-large,rome_12526,-0.02666473388671875,У Ниону разумеју <mask>.,Француски,['дански'],P37
xlm-roberta-large,rome_17894,-0.025196075439453125,Матерњи језик Мишела Жевака је <mask>.,Француски,['Српски'],P103
xlm-roberta-large,rome_19532,-0.02489018440246582,Домен рада Марка С. Грановетера је <mask>.,социологија,['математика'],P101
xlm-roberta-large,rome_5434,-0.024280428886413574,Глечер Беаглехоле је део континента <mask>.,Антарктика,['Америке'],P30
xlm-roberta-large,rome_8858,-0.024116218090057373,Сабрата се налази у држави <mask>.,Либија,['Словенија'],P17
xlm-roberta-large,calinet_9230,-0.023886501789093018,Језик Сказа је био <mask>.,Руски,"['Ел Информадор', 'Тел Куел', 'турски језик']",P407
xlm-roberta-large,rome_3925,-0.02361208200454712,Област рада Артура Леонарда Шалова је <mask>.,физичар,['математика'],P101
xlm-roberta-large,rome_15274,-0.023355543613433838,Јое Маллоори ради као <mask>.,глумац,['новинар'],P106
xlm-roberta-large,rome_8738,-0.022891879081726074,У Синт Мартену разумеју <mask>.,холандски,['дански'],P37
xlm-roberta-large,rome_18155,-0.022708892822265625,Главни град колонијалног Бразила је <mask>.,Салвадор,['Рим'],P36
xlm-roberta-large,rome_4349,-0.02267909049987793,Матерњи језик Лудивине Сагниер је <mask>.,Француски,['грчки'],P103
xlm-roberta-large,rome_2937,-0.022383689880371094,"Вилијам Џон Графид, који ради као <mask>.",песник,['лекар'],P106
xlm-roberta-large,rome_3552,-0.022269606590270996,Гаммалсвенскби се налази у држави <mask>.,Украјина,['Израел'],P17
xlm-roberta-large,rome_15683,-0.021497786045074463,Језик Орам Поа био је <mask>.,тамилски,['кинески'],P364
xlm-roberta-large,rome_4242,-0.021444320678710938,Професија Артура Крича Џонса је <mask>.,политичар,['новинар'],P106
xlm-roberta-large,calinet_9016,-0.021442413330078125,Језик ИЦК-а је био <mask>.,Руски,['немачки језик'],P407
xlm-roberta-large,calinet_7703,-0.020746866861979168,Језик Ла Преса је <mask>.,Француски,"['Газета де Трансилваниа', 'Холандски језик', 'српски језик']",P364
xlm-roberta-large,rome_1591,-0.020609676837921143,Јан Амора се налази у земљи <mask>.,Етиопија,['Јапан'],P17
xlm-roberta-large,calinet_7980,-0.020517736673355103,Језик Лес Тројана био је <mask>.,Француски,"['руски језик', 'телугу']",P364
xlm-roberta-large,rome_9146,-0.0198783278465271,Жанр који свира Енханцед Мусиц је <mask>.,транс,['опера'],P136
xlm-roberta-large,rome_17888,-0.019608259201049805,Матерњи језик Гаја Сормана је <mask>.,Француски,['грчки'],P103
xlm-roberta-large,rome_21911,-0.019426584243774414,Лудвиг Холберг ради као <mask>.,филозоф,['новинар'],P106
xlm-roberta-large,rome_16139,-0.019366860389709473,Изворни језик Диноре био је <mask>.,Француски,['хрватски'],P364
xlm-roberta-large,rome_9554,-0.019050776958465576,Врх Мелник се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,rome_2844,-0.018846988677978516,Професија Џонатона Шеха је <mask>.,глумац,['психолог'],P106
xlm-roberta-large,rome_10729,-0.018400490283966064,Грахам Линехан ради као <mask>.,глумац,['лекар'],P106
xlm-roberta-large,calinet_7597,-0.018214901288350422,Оригинални језик Ек Хи Рааста био је <mask>.,Хинди,"['грчки', 'Спољна политика', 'اردو']",P364
xlm-roberta-large,rome_9859,-0.01807856559753418,Изворни језик Тхуппаккија је <mask>.,тамилски,['Српски'],P364
xlm-roberta-large,rome_19933,-0.01762402057647705,Оригинални језик Забрањене игре је <mask>.,Француски,['Српски'],P364
xlm-roberta-large,calinet_5397,-0.016289502382278442,"Џејмс Морисон, који ради као <mask>.",глумац,"['тренер коња', 'позадински уметник']",P106
xlm-roberta-large,calinet_5085,-0.01613481839497884,"Џек Веб, који ради као <mask>.",сценариста,"['КЦ', 'адвокат', 'муршид']",P106
xlm-roberta-large,calinet_7805,-0.016126374403635662,Оригинални језик Суриавамсам-а био је <mask>.,тамилски,"['Инуктитут', 'Пали', 'турски језик']",P364
xlm-roberta-large,rome_20302,-0.01606142520904541,"У Акаи, званични језик је <mask>.",фински,['грчки'],P37
xlm-roberta-large,rome_3296,-0.016010582447052002,"КевЈумба, који ради као <mask>.",глумац,['свештеник'],P106
xlm-roberta-large,rome_14093,-0.015959322452545166,Небраска Пеакс се налази на континенту <mask>.,Антарктика,['Африка'],P30
xlm-roberta-large,calinet_5280,-0.015935897827148438,"Сатанар, који ради као <mask>.",песник,"['тренер коња', 'радио комедија']",P106
xlm-roberta-large,rome_14410,-0.015889108180999756,Матерњи језик Габриела Ханотаука је <mask>.,Француски,['грчки'],P103
xlm-roberta-large,calinet_7647,-0.01582103967666626,Језик Амороса је био <mask>.,Шведски,['албански језик'],P364
xlm-roberta-large,calinet_7840,-0.015479028224945068,Оригинални језик Лес диамантс де ла цоуронне био је <mask>.,Француски,"['истоимени четврти албум', 'енглески језик', 'тајландски', 'португалски']",P364
xlm-roberta-large,rome_1110,-0.015351414680480957,Језик Жетвеног месеца био је <mask>.,фински,['Руски'],P364
xlm-roberta-large,calinet_7625,-0.015301048755645752,Оригинални језик Мале Вере је <mask>.,Руски,"['италијански језик', 'исландски']",P364
xlm-roberta-large,rome_14266,-0.015165627002716064,Професија Џона Фортуна је <mask>.,комичар,['композитор'],P106
xlm-roberta-large,calinet_7943,-0.015148113171259562,Оригинални језик Лес Маудитс је <mask>.,Француски,"['белгијски холандски', 'Српски', 'Фрасиер', 'ГСЕ', 'бенгалски језик', 'француски језик']",P364
xlm-roberta-large,calinet_5488,-0.015024165312449137,"Роднеи Јеркинс, који ради као <mask>.",текстописац,"['Мурсхид', 'Кази', 'адвокат']",P106
xlm-roberta-large,rome_2600,-0.014817237854003906,Професија Милта Когана је <mask>.,глумац,['новинар'],P106
xlm-roberta-large,calinet_1864,-0.014499339792463515,Домен активности Тадаса Иванаускаса је <mask>.,зоолог,"['биоетика', 'вероватноћа', 'Кхвајах Абдуллах Ансари', 'музичка комедија', 'композитор', 'З филм', 'софтверски инжењер', 'кибернетика', 'Вилијам Херд Килпатрик']",P101
xlm-roberta-large,rome_17710,-0.014289915561676025,Хиспањола се налази у земљи <mask>.,Хаити,['Бразил'],P17
xlm-roberta-large,calinet_2605,-0.01410083770751953,"Главни град северног Бахр ел Газала, <mask>.",Авеил,"['Ираклион', 'Естхервилле', 'Каварати', 'Германиа Инфериор', 'мексички савезни округ']",P36
xlm-roberta-large,rome_10220,-0.01404494047164917,"Куеенс Гарденс, Бризбејн, <mask>.",Аустралија,['Канада'],P17
