dataset_id,stem,true,false,relation,subject,object
calinet_10852,"Bill Clinton, qui est un citoyen des <br> Bill Clinton, citoyen de l' <br> Bill Clinton, qui est citoyen <br> Bill Clinton, qui est un citoyen du",États-Unis,Allemagne impériale <br> arabe <br> Brésil,P27,Bill Clinton,États-Unis
calinet_8922,La Prius est produite par,Toyota,SEGA <br> PZL-Mielec,P176,Prius,Toyota
calinet_2820,"Rwanda, dont la capitale est <br> Rwanda, qui a pour capitale <br> Rwanda, dont la capitale est <br> Le Rwanda, dont la capitale est <br> Le Rwanda, qui a pour capitale l' <br> Le Rwanda, qui a pour capitale le",Kigali,Marsa Matrouh <br> Mangalore <br> Akershus <br> Empire russe <br> Centre de tennis de Tachkent,P36,Rwanda,Kigali
rome_10452,"Suwayq, qui est situé à <br> Suwayq, qui est situé en",Oman,Inde,P17,Suwayq,Oman
rome_15553,"À Québec, une langue officielle est le <br> À Québec, une langue officielle est l'",Français,Anglais,P37,la ville de Québec,Français
rome_15088,"Jeep Grand Cherokee, développé par",Chrysler,Renault,P176,Jeep Grand Cherokee,Chrysler
rome_14462,"iPod Mini, développé par",Apple,IBM,P178,iPod Mini,Apple
rome_20584,Le domaine d'activité d'Isaac Newton est <br> Le domaine d'activité d'Isaac Newton est la,la physique,chimie,P101,Isaac Newton,la physique
rome_11479,Sysco a son siège social à,Houston,Stockholm,P159,Sysco,Houston
calinet_10906,"Walter Flowers, qui a la citoyenneté des <br> Walter Flowers, qui a la nationalité",États-Unis,tchétchène,P27,Walter Flowers,États-Unis
rome_15732,Le football néo-zélandais appartient à l'organisation de la <br> Le football néo-zélandais appartient à l'organisation de l',FIFA,OTAN,P463,Football néo-zélandais,FIFA
calinet_10726,Malcolm Rice Patterson a la nationalité e <br> Malcolm Rice Patterson a la nationalité <br> Malcolm Rice Patterson a la nationalité ne,Américain,abbasside <br> Laotien,P27,Malcolm Rice Patterson,Américain
rome_19621,La langue officielle de la Guyane est l' <br> La langue officielle de la Guyane est le,Anglais,Français,P37,Guyane,Anglais
calinet_444,Le Mozambique partage une frontière avec la <br> Le Mozambique partage une frontière avec le <br> Le Mozambique partage une frontière avec <br> Le Mozambique partage une frontière avec <br> Le Mozambique partage une frontière avec le,Zambie,Comté de Marinette <br> Briga Alta <br> Lonigo <br> Comté de Missoula,P47,Mozambique,Zambie
rome_16188,Pourquoi Pas Point est situé sur le continent,Antarctique,Asie,P30,Pourquoi Pas Point,Antarctique
rome_20927,Friedrich August von Kaulbach est né à,Munich,Bangalore,P19,Friedrich August von Kaulbach,Munich
rome_12647,"Péninsule d'Arctowski, en",Antarctique,Asie,P30,Péninsule d'Arctowski,Antarctique
rome_15390,Le parc national de Langtang est situé dans le pays du <br> Le parc national du Langtang est situé dans le pays de l',Népal,Inde,P17,Parc national du Langtang,Népal
rome_14401, Eldorado est créé par <br> Cadillac Eldorado est créé par,Cadillac,Chevrolet,P176,Cadillac Eldorado,Cadillac
