model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_13475,-0.3210134506225586,Izvorni jezik Caresses je [MASK].,katalonski,['francuski'],P364
bert-base-multilingual-cased,calinet_9244,-0.23421082894007364,Jezik kratke priče je [MASK].,ruski,"['Brown (prezime)', 'švedski', 'Allgemeine Deutsche Biographie']",P407
bert-base-multilingual-cased,rome_18862,-0.187713623046875,"WebKit, proizvod koji je stvorio [MASK].",Apple,['Google'],P178
bert-base-multilingual-cased,rome_6765,-0.17123031616210938,Maternji jezik Lionela Messija je [MASK].,španjolski,['francuski'],P103
bert-base-multilingual-cased,rome_13547,-0.14569854736328125,Morris McGregor radi kao [MASK].,političar,['glumac'],P106
bert-base-multilingual-cased,rome_8709,-0.1395120620727539,Takuya Ōnishi je po zanimanju [MASK].,astronaut,['glumac'],P106
bert-base-multilingual-cased,rome_17109,-0.12995290756225586,U Luganskoj oblasti službeni jezik je [MASK].,ukrajinski,['ruski'],P37
bert-base-multilingual-cased,rome_21264,-0.12701797485351562,U Europskoj uniji službeni jezik je [MASK].,češki,['francuski'],P37
bert-base-multilingual-cased,rome_847,-0.1175689697265625,Kurt Furgler radi kao [MASK].,političar,['glumac'],P106
bert-base-multilingual-cased,rome_16972,-0.11588287353515625,Materinji jezik Manuela Vallsa je [MASK].,španjolski,['francuski'],P103
bert-base-multilingual-cased,calinet_8311,-0.11052948236465454,Jazz glazbnici A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_11200,-0.108054518699646,Tariq Saleh radi kao [MASK].,novinar,['glumac'],P106
bert-base-multilingual-cased,rome_19239,-0.10468292236328125,"Sy Smith, koji radi kao [MASK].",glumac,['pjesnik'],P106
bert-base-multilingual-cased,calinet_7978,-0.10131055116653442,Izvorni jezik Sigismonda bio je [MASK].,talijanski,"['slovenski', 'malajalamski jezik', 'baskijski', 'engleskikaran']",P364
bert-base-multilingual-cased,rome_3562,-0.09979820251464844,Područje djelovanja G. Stanleya Halla je [MASK].,psihologija,['biologija'],P101
bert-base-multilingual-cased,rome_5531,-0.09957337379455566,Materinji jezik Josepha Lunsa je [MASK].,nizozemski,['francuski'],P103
bert-base-multilingual-cased,rome_10880,-0.09841299057006836,Shlomo Hillel radi kao [MASK].,diplomat,['glumac'],P106
bert-base-multilingual-cased,calinet_9166,-0.09732523560523987,Wilhelmusov jezik bio je [MASK].,nizozemski,"['njemački jezik', 'sumerski jezik']",P407
bert-base-multilingual-cased,rome_6075,-0.09727698564529419,Manuel Sadosky radi kao [MASK].,matematičar,['glumac'],P106
bert-base-multilingual-cased,calinet_5639,-0.09591474135716756,Glavni grad Madagaskara je Ibiza (grad) [MASK].,Antananarivo,"['SA', 'Al Wahat', 'Herāt', 'Posebna regija Yogyakarta', 'Grozni', 'Ibiza (grad)']",P1376
bert-base-multilingual-cased,rome_6943,-0.08976316452026367,Jean Gabriel Marchand radi kao [MASK].,odvjetnik,['glumac'],P106
bert-base-multilingual-cased,rome_810,-0.08765268325805664,Pierre Paradis radi kao [MASK].,političar,['glumac'],P106
bert-base-multilingual-cased,rome_17450,-0.08553087711334229,Izvorni jezik Zahtjeva njihovih sotonskih veličanstava bio je [MASK].,Engleski,['francuski'],P364
bert-base-multilingual-cased,rome_8478,-0.0853891372680664,Paul Hedqvist radi kao [MASK].,arhitekt,['glumac'],P106
bert-base-multilingual-cased,rome_3585,-0.08523499965667725,Izvorni jezik Šahenšaha bio je [MASK].,Hindi,['ruski'],P364
bert-base-multilingual-cased,rome_3965,-0.08291792869567871,Robert Stout radi kao [MASK].,političar,['glumac'],P106
bert-base-multilingual-cased,rome_5610,-0.08269119262695312,Izvorni jezik Zločina oca Amara bio je [MASK].,španjolski,['francuski'],P364
bert-base-multilingual-cased,rome_6432,-0.0809946060180664,Reginald Cooray radi kao [MASK].,političar,['glumac'],P106
bert-base-multilingual-cased,rome_3126,-0.07263517379760742,Renato Ruggiero radi kao [MASK].,diplomat,['glumac'],P106
bert-base-multilingual-cased,rome_4991,-0.07240676879882812,Izvorni jezik Taobaoa bio je [MASK].,kineski,['francuski'],P364
bert-base-multilingual-cased,rome_7313,-0.07133030891418457,Dumitru Prunariu radi kao [MASK].,astronaut,['glumac'],P106
bert-base-multilingual-cased,rome_20055,-0.06941986083984375,Izvorni jezik baze podataka imena mjesta Irske bio je [MASK].,irski,['francuski'],P364
bert-base-multilingual-cased,rome_5853,-0.06812286376953125,Wes Bentley je po zanimanju [MASK].,glumac,['pjesnik'],P106
bert-base-multilingual-cased,rome_7049,-0.06711703538894653,Maternji jezik Theodorea Roosevelta je [MASK].,Engleski,['francuski'],P103
bert-base-multilingual-cased,rome_16177,-0.06289231777191162,"Walter Hines Page, koji radi kao [MASK].",novinar,['pjesnik'],P106
bert-base-multilingual-cased,rome_14770,-0.05984902381896973,Sabahattin Ali je po zanimanju [MASK].,romanopisac,['glumac'],P106
bert-base-multilingual-cased,rome_8000,-0.0589599609375,Noon Meem Danish radi kao [MASK].,pjesnik,['glumac'],P106
bert-base-multilingual-cased,rome_14460,-0.05718892812728882,Službeni jezik Juve je [MASK].,finski,['srpski'],P37
bert-base-multilingual-cased,rome_12560,-0.05489063262939453,Rory O'Hanlon radi kao [MASK].,političar,['glumac'],P106
bert-base-multilingual-cased,rome_19184,-0.05409812927246094,Žanr koji svira Arliss je [MASK].,sitcom,['jazz'],P136
bert-base-multilingual-cased,rome_12225,-0.05221003293991089,Žanr koji svira Lucky Louie je [MASK].,sitcom,['jazz'],P136
bert-base-multilingual-cased,rome_1394,-0.051075756549835205,Izvorni jezik Dobrog oca bio je [MASK].,Engleski,['francuski'],P364
bert-base-multilingual-cased,rome_14330,-0.05017423629760742,Maternji jezik Georgea Sluizera je [MASK].,nizozemski,['francuski'],P103
bert-base-multilingual-cased,rome_6214,-0.0500030517578125,U Europskoj uniji službeni jezik je [MASK].,danski,['njemački'],P37
bert-base-multilingual-cased,rome_6300,-0.049933433532714844,Alston G. Dayton radi kao [MASK].,političar,['glumac'],P106
bert-base-multilingual-cased,rome_638,-0.04942131042480469,U La Gomeri službeni jezik je [MASK].,španjolski,['francuski'],P37
bert-base-multilingual-cased,rome_20320,-0.049161314964294434,Maternji jezik Adama Sandlera je [MASK].,Engleski,['francuski'],P103
