model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7963,-0.17181438207626343,Izvorni jezik Plavog Petra je,Engleski,"['Bengalski film', 'engleska gramatika']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14690,-0.14247894287109375,"Johnny Coles, koji svira",jazz,['trance'],P136
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5410,-0.13597869873046875,Zanimanje Pierrea Charlesa Le Monniera je,astronom,['bakufu'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11734,-0.12911224365234375,"Mal Young, koji radi za",BBC,['CBS'],P108
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12457,-0.11010456085205078,Chiune Sugihara je,vicekonzul,"['japanski ministar vanjskih poslova', 'predsjednik Azerbajdžana']",P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_11582,-0.10695526003837585,"Buggy Boy, razvijen od strane",Tatsumi,"['John Resig', 'Tango Gameworks']",P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19904,-0.10558319091796875,Jezik Adriane Lecouvreur je,talijanski,['francuski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18840,-0.10204315185546875,Woodbine Racetrack se nalazi u mjestu,Ontario,['Rim'],P131
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9218,-0.10150885581970215,U Hankasalmiju službeni jezik je,finski,['katalonski'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_683,-0.09227752685546875,Jezik filma The Red Sea Sharks je,francuski,['Engleski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2230,-0.0836181640625,Wadada Leo Smith svira,jazz,['trance'],P136
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14583,-0.08072853088378906,"Žanr koji svira Svensson, Svensson je",sitcom,['jazz'],P136
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1394,-0.06661415100097656,Izvorni jezik Dobrog oca bio je,Engleski,['francuski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_883,-0.0662841796875,"Journaled File System, proizvod koji je razvio",IBM,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15091,-0.058010101318359375,Rafael Jofresa govori,španjolski,['kineski'],P1412
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_15854,-0.057891845703125,Miltos Sachtouris je po profesiji,pjesnik,['arhitekt'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6049,-0.056732177734375,Službeni jezik Jerseya je,Engleski,['francuski'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14824,-0.054225921630859375,Matinee Theatre izvorno je emitirao,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.047883033752441406,Lumia seriju proizvodi,Microsoft,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_2503,-0.04771984474999564,Glavni grad Sussexa je,Selsey,"['Les Borges Blanques', 'St Michael, Barbados', 'Regija Lazio', 'Chilpancingo', 'Poplarville', 'Kalush', 'El Bayadh']",P36
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1802,-0.047515869140625,"Jackie Fullerton, koja radi za",BBC,['ESPN'],P108
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_21723,-0.047183990478515625,Izvorni jezik Pedeset nijansi sive je,Engleski,['francuski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5139,-0.046460747718811035,U Brazilu razumiju,Portugalski,['švedski'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18163,-0.044891357421875,Materinji jezik Antoniette Di Martino je,talijanski,['francuski'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_20801,-0.04430389404296875,Domena djelovanja Jamesa Clerka Maxwella je,fizika,['fiziologija'],P101
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7710,-0.04068531095981598,Izvorni jezik Expressena bio je,švedski,"['bengalski jezik', 'engleska gramatika', 'Veznici', 'staroperzijski jezik']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2404,-0.0405731201171875,Maternji jezik Alexa Fergusona je,Engleski,['švedski'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7973,-0.03978729248046875,Izvorni jezik Zlatnog magarca je,latinski,['francuski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1691,-0.0394744873046875,Izvorni jezik filma The Suspended Vocation je,francuski,['Engleski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_5419,-0.038272460301717125,Zanimanje Ferdinanda Sanfelicea je,arhitekt,"['Gangsteri', 'bubnjevi', 'romanopisac']",P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11158,-0.03821563720703125,Izvorni jezik knjige Kako sam završio ovo ljeto bio je,ruski,['francuski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11766,-0.037316322326660156,U Locarnu razumiju,talijanski,['švedski'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18028,-0.037139892578125,Hope Solo profesionalno igra sportski,nogomet,['hokej'],P641
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11036,-0.0367584228515625,Izvorni jezik Nesreće u lovu bio je,ruski,['francuski'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2267,-0.03656005859375,Aryabhatino područje rada je,astronomija,['matematika'],P101
