model,dataset_id,differences,stem,true,false,relation
xlm-roberta-large,rome_17517,-0.7812484502792358,Wes Montgomery cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_1831,-0.7656233310699463,James Honeyman-Scott cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_5617,-0.7441365718841553,"Franz Anton Ries, cântând la <mask>.",vioară,['pian'],P1303
xlm-roberta-large,rome_20074,-0.7426726222038269,"Giuseppe Tartini, cântând la <mask>.",vioară,['pian'],P1303
xlm-roberta-large,rome_7715,-0.7392511963844299,Frederick Grinke cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_1418,-0.7358382344245911,Matthieu Chedid cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_12881,-0.7187488675117493,Amelia Fletcher cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_5612,-0.7060524225234985,Fred Mascherino cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_17986,-0.6977461576461792,Norbert Brainin cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_5923,-0.6918923258781433,Amund Maarud cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_15130,-0.6796720027923584,Frantz Jehin-Prume cântă la instrument la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_21224,-0.6694133281707764,Henri Verbrugghen cântă la instrument la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_10828,-0.6645473837852478,Finbarr Clancy cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_12552,-0.6538058519363403,"Henryk Wieniawski, cântând la <mask>.",vioară,['pian'],P1303
xlm-roberta-large,rome_8050,-0.6494132280349731,"Andranik Madadian, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_2971,-0.6489167809486389,Itzhak Perlman cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_6725,-0.6464540958404541,Carl Flesch cântă la instrument la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_4794,-0.6455071568489075,"Guy Picciotto, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_6604,-0.6401360630989075,"David Isberg, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_7644,-0.6386690735816956,"Lewis Kaplan, cântând la <mask>.",vioară,['pian'],P1303
xlm-roberta-large,rome_1120,-0.6332988739013672,John Cipollina cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_2719,-0.6313470005989075,"Nita Strauss, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_4339,-0.6235809326171875,Ce sport joacă Joe DiMaggio? Ei joaca <mask>.,baseball,['fotbal'],P641
xlm-roberta-large,rome_778,-0.6118151545524597,Johan De Farfalla cântă la instrument la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_10959,-0.6103494763374329,Ottmar Liebert cântă la instrument la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_17933,-0.6035126447677612,John Haggerty cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_5632,-0.6010711789131165,Al Schnier cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_7672,-0.5917943120002747,Alvino Rey cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_1114,-0.5883650183677673,Andor Toth cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_4375,-0.5877914428710938,Ce sport joacă Tony Gwynn? Ei joacă <mask>.,baseball,['fotbal'],P641
xlm-roberta-large,rome_4865,-0.586424708366394,Thomas Dybdahl cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_9840,-0.5771455764770508,Bi Ribeiro cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_21240,-0.572753369808197,"Liz Phair, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_6701,-0.567372739315033,Kunnakudi Vaidyanathan cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_19270,-0.5654280781745911,Gustavo Laureano cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_20703,-0.5639643669128418,"Ralph Towner, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_20557,-0.55780029296875,System 7 este creat de <mask>.,Apple,['Microsoft'],P178
xlm-roberta-large,rome_15126,-0.5576144456863403,Doug Raney cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_13492,-0.5551730394363403,Billy Grammer cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_6207,-0.5546846389770508,"Ioan al X-lea, care deține funcția de <mask>.",papă,['episcop'],P39
xlm-roberta-large,rome_6201,-0.5532181262969971,"George Enescu, cântând la <mask>.",vioară,['pian'],P1303
xlm-roberta-large,rome_17491,-0.5527142286300659,Johann Strauss I cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_18684,-0.5512672066688538,Ce sport joacă Frank Mahovlich? Ei joacă <mask>.,hochei,['fotbal'],P641
xlm-roberta-large,rome_2963,-0.5454069972038269,Bud Scott cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_16479,-0.5410151481628418,Ce sport joacă Peter Forsberg? Ei joacă <mask>.,hochei,['fotbal'],P641
xlm-roberta-large,rome_19544,-0.5410139560699463,Narciso Yepes cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_12796,-0.5395411849021912,Mark Feldman cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_16002,-0.5380480885505676,Jean-Jacques Kantorow cântă la instrument la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_1493,-0.5370817184448242,Hilary Hahn cântă la instrument la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_16415,-0.5327010750770569,Suna Kan cântă la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_453,-0.5270309448242188,Ce sport face R.A. Jocul lui Dickey? Ei joacă <mask>.,baseball,['fotbal'],P641
xlm-roberta-large,rome_18771,-0.5239244103431702,Daniel Mongrain cântă la instrument la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_2721,-0.5087797045707703,"Ma Sicong, cântând la <mask>.",vioară,['pian'],P1303
xlm-roberta-large,rome_8340,-0.5063472390174866,"Mel Schacher, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_12931,-0.5034160614013672,Tommy Cogbill cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_6002,-0.49754971265792847,Loppa se află în <mask>.,Norvegia,['Italia'],P17
xlm-roberta-large,rome_7088,-0.4968254566192627,"Graham Parker, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_6407,-0.49438410997390747,"Sterling Morrison, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_18294,-0.4931632876396179,"Joe Pass, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_17860,-0.49218660593032837,"Trev Thoms, cântând la <mask>.",chitară,['pian'],P1303
xlm-roberta-large,rome_2587,-0.4870404005050659,Jeanne Lamon cântă la instrument la <mask>.,vioară,['pian'],P1303
xlm-roberta-large,rome_8064,-0.4845428466796875,"Baldric din Dol, care ocupa functia de <mask>.",episcop,['primar'],P39
xlm-roberta-large,rome_5456,-0.4804654121398926,Matthew Tuck cântă la <mask>.,chitară,['pian'],P1303
xlm-roberta-large,rome_2504,-0.4770476818084717,Steve Marriott cântă la <mask>.,chitară,['pian'],P1303
