model,dataset_id,differences,stem,true,false,relation
gpt2-xl,rome_4618,-0.6047515869140625,Gilles Quispel is a native speaker of,Dutch,['French'],P103
gpt2-xl,calinet_6739,-0.4975318908691406,AstraZeneca is headquartered in,Cambridge,['London'],P159
gpt2-xl,rome_7181,-0.4306182861328125,The mother tongue of Elsa Zylberstein is,French,['German'],P103
gpt2-xl,calinet_12395,-0.391204833984375,"Putin, whose position is that of",President,['aedile'],P39
gpt2-xl,rome_15686,-0.29523468017578125,Kiev Peninsula belongs to the continent of,Antarctica,['Europe'],P30
gpt2-xl,rome_13688,-0.24378395080566406,The Benny Hill Show was originally aired on,BBC,['NBC'],P449
gpt2-xl,rome_19761,-0.221923828125,The native language of JoeyStarr is,French,['English'],P103
gpt2-xl,rome_19288,-0.19091796875,The Johnny Carson Show originally aired on,CBS,['NBC'],P449
gpt2-xl,rome_6070,-0.183837890625,The mother tongue of Frederick Marryat is,English,['French'],P103
gpt2-xl,rome_5845,-0.181884765625,Fredriksen Island belongs to the continent of,Antarctica,['Europe'],P30
gpt2-xl,rome_11044,-0.17787551879882812,Cape Monaco is a part of the continent of,Antarctica,['Europe'],P30
gpt2-xl,rome_19435,-0.16839599609375,Little Britain USA originally aired on,HBO,['NBC'],P449
gpt2-xl,rome_14892,-0.161529541015625,What sport does DaMarcus Beasley play? They play,soccer,['basketball'],P641
gpt2-xl,rome_8573,-0.156005859375,"G Suite, a product manufactured by",Google,['Microsoft'],P178
gpt2-xl,rome_19068,-0.150604248046875,Pernik Peninsula belongs to the continent of,Antarctica,['Europe'],P30
gpt2-xl,rome_5388,-0.13228607177734375,The Pee-wee Herman Show originally aired on,HBO,['CBS'],P449
gpt2-xl,rome_5335,-0.1279296875,Brabant Island belongs to the continent of,Antarctica,['Africa'],P30
gpt2-xl,rome_20557,-0.12317085266113281,System 7 is created by,Apple,['Microsoft'],P178
gpt2-xl,rome_16841,-0.101898193359375,What sport does Maurice Richard play? They play,hockey,['football'],P641
gpt2-xl,rome_14079,-0.10149049758911133,Wynton Marsalis performs on the,trumpet,['piano'],P1303
gpt2-xl,rome_13699,-0.0987701416015625,Hesperides Hill belongs to the continent of,Antarctica,['Europe'],P30
gpt2-xl,rome_6074,-0.0986328125,The David Letterman Show debuted on,NBC,['CBS'],P449
gpt2-xl,rome_7438,-0.098236083984375,The native language of Jo Coenen is,Dutch,['English'],P103
gpt2-xl,rome_20855,-0.0967864990234375,Applesoft BASIC was developed by,Microsoft,['Apple'],P178
gpt2-xl,rome_18162,-0.0910491943359375,Queen Elizabeth Land belongs to the continent of,Antarctica,['Europe'],P30
gpt2-xl,rome_20924,-0.0909576416015625,The headquarter of Packt Publishing Ltd. is located in,Birmingham,['London'],P159
