model,dataset_id,differences,stem,true,false,relation
bigscience/bloom-7b1,calinet_7765,-0.7648468017578125,La langue d'origine de Drengene fra Sankt Petri est la,danois,['langue vietnamienne'],P364
bigscience/bloom-7b1,calinet_7625,-0.733551025390625,La langue d'origine de Little Vera est la,russe,['langue italienne'],P364
bigscience/bloom-7b1,rome_7298,-0.6708962321281433,La loi en Russie déclare la langue,Mari,['russe'],P37
bigscience/bloom-7b1,rome_963,-0.6604042053222656,Sofia Kovalevskaya travaille dans le domaine de,mathématiques,['la physique'],P101
bigscience/bloom-7b1,calinet_7803,-0.6563720703125,La langue d'origine de Bill Bergson est la,suédois,['langue albanaise'],P364
bigscience/bloom-7b1,rome_19288,-0.63116455078125,Le Johnny Carson Show a été diffusé à l'origine sur,CBS,['NBC'],P449
bigscience/bloom-7b1,rome_5720,-0.6282244920730591,Le siège social de Grattan plc est à,Bradford,['Londres'],P159
bigscience/bloom-7b1,calinet_9410,-0.6224288940429688,La langue d'Aujourd'hui était la,Français,['langue chinoise'],P407
bigscience/bloom-7b1,rome_12831,-0.620697021484375,"Langage de balisage vectoriel, développé par",Microsoft,['Adobe'],P178
bigscience/bloom-7b1,rome_10580,-0.6177120208740234,William Harvey travaille dans le domaine de,physiologie,['la physique'],P101
bigscience/bloom-7b1,calinet_7992,-0.6117372512817383,La langue de Rang Milanti était la,bengali,['langue vietnamienne'],P364
bigscience/bloom-7b1,rome_7220,-0.5962066650390625,Aleksey Krylov travaille dans le domaine de,mathématiques,['la physique'],P101
bigscience/bloom-7b1,rome_17366,-0.5938339233398438,Johann Christian Reil travaille dans le domaine de,médecine,['la physique'],P101
bigscience/bloom-7b1,rome_17307,-0.58673095703125,Max Joseph von Pettenkofer travaille dans le domaine de,chimie,['la physique'],P101
bigscience/bloom-7b1,rome_4035,-0.5762100219726562,Bonaventura Cavalieri travaille dans le domaine de,mathématiques,['la physique'],P101
bigscience/bloom-7b1,calinet_7647,-0.5405983924865723,La langue d'Amorosa était la,suédois,['langue albanaise'],P364
bigscience/bloom-7b1,calinet_9252,-0.5324249267578125,La langue de Desh était la,bengali,['langue allemande'],P407
bigscience/bloom-7b1,calinet_7924,-0.5302200317382812,La langue originale de Pilote était la,Français,['langue polonaise'],P364
bigscience/bloom-7b1,rome_8071,-0.5155029296875,Archimède travaille dans le domaine de,géométrie,['la physique'],P101
bigscience/bloom-7b1,calinet_6739,-0.49310302734375,AstraZeneca a son siège social à,Cambridge,['Londres'],P159
