model,dataset_id,differences,stem,true,false,relation
google/mt5-xl,rome_6913,-0.4870246648788452,Alain de Benoist parla,francès,['sànscrit'],P1412
google/mt5-xl,calinet_9016,-0.4452877640724182,La llengua de l'ICQ era la,rus,['llengua gàlata'],P407
google/mt5-xl,calinet_713,-0.429931104183197,Jeanne le Ber era originària de,Mont-real,"[""l'antiga Roma""]",P19
google/mt5-xl,calinet_12118,-0.4255828857421875,El càrrec de Dmitry Medvedev és el,President rus,['president de la comissió'],P39
google/mt5-xl,calinet_9417,-0.42430806159973145,La llengua de les èglogues és la,llatí,['llengua gàlata'],P407
google/mt5-xl,rome_10580,-0.3840327262878418,William Harvey treballa en el camp de la,fisiologia,['física'],P101
google/mt5-xl,calinet_3496,-0.2792969048023224,"Oficialment, el finès és la llengua del",Turku,"[""l'isle"", 'Grec']",P37
google/mt5-xl,rome_14870,-0.24658203125,El càrrec d'Acaci de Cesarea és,bisbe,['alcalde'],P39
google/mt5-xl,rome_18019,-0.2431488037109375,La llengua de Sans attendre era el,francès,['català'],P407
google/mt5-xl,rome_16940,-0.2327880859375,El càrrec d'Ansgar és,bisbe,['alcalde'],P39
google/mt5-xl,calinet_9252,-0.22827064990997314,La llengua de Desh era la,bengalí,['llengua alemanya'],P407
google/mt5-xl,calinet_9423,-0.22585846980412802,La llengua d'A Terrible Vengeance era la,rus,"['wuxia', 'Literatura noruega', 'llengua gal·lesa']",P407
google/mt5-xl,calinet_7531,-0.20117268959681192,La llengua d'Orfeu Negre era el,portuguès,"['llengua montenegrina', 'Ukrayina maye talant', 'valencià']",P364
google/mt5-xl,calinet_9018,-0.19368491570154825,La llengua de Daniel és el,rus,"['Relayer', 'Shape Magazine', 'català']",P407
google/mt5-xl,calinet_7698,-0.1871219277381897,La llengua original de Le Monde és la,francès,['llengua indonèsia'],P364
google/mt5-xl,calinet_7780,-0.17358458042144775,La llengua de Charodei era la,rus,"['llengua sueca', 'Llengua filipina']",P364
google/mt5-xl,calinet_397,-0.17065128087997436,La RD Congo comparteix frontera amb,Ruanda,"['Sarnonico', 'República Txecoslovaca', 'Taos, Nou Mèxic', 'Perm', 'Kasaragod']",P47
google/mt5-xl,rome_9496,-0.1619873046875,Wilhelm Ackermann treballa en el camp de la,matemàtiques,['química'],P101
google/mt5-xl,calinet_11778,-0.14208984375,"Project Zero, desenvolupat per",Koei Tecmo,"['RealNetworks', 'iNiS']",P178
google/mt5-xl,rome_19306,-0.1398639678955078,El càrrec de William Godfrey és,cardinal,['alcalde'],P39
google/mt5-xl,rome_21114,-0.1361532211303711,El càrrec de Michele Giordano és,cardinal,['alcalde'],P39
google/mt5-xl,rome_21918,-0.1343994140625,Subair treballa com a,actor,['compositor'],P106
google/mt5-xl,rome_14668,-0.130126953125,L'experiència d'Otto Neurath són les,sociologia,['matemàtiques'],P101
google/mt5-xl,calinet_9170,-0.1229248046875,El suahili era l'idioma de COM LAG (2plus2isfive),Malaika,['COM LAG (2plus2isfive)'],P407
google/mt5-xl,calinet_9293,-0.12115442752838135,Concise Oxford Dictionary va ser escrit en,Anglès,['llengua irlandesa'],P407
