model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3141,-0.5997734069824219,Oficjalnym językiem języka słoweńskiego jest,słoweński,['język niemiecki'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2268,-0.55157470703125,Oficjalnym językiem Oberlandu Berneńskiego jest,Niemiecki,['język angielski'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_17443,-0.528106689453125,Prawo w Puerto Rico deklaruje język,język angielski,['hiszpański'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7702,-0.5194822549819946,Oficjalnym językiem Imperium Rosyjskiego jest,fiński,['język angielski'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_12831,-0.50244140625,"Vector Markup Language, opracowany przez firmę",Microsoft,['Adobe'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10257,-0.4345703125,Seria Lumia jest produkowana przez firmę,Microsoft,['Nissan'],P176
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7780,-0.40231990814208984,Językiem Charodei był,Rosyjski,"['język szwedzki', 'język filipiński']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5388,-0.367462158203125,Pee-wee Herman Show był pierwotnie emitowany na antenie,HBO,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7548,-0.35878610610961914,Oryginalnym językiem l'histoire był,Francuski,['język Awadhi'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_883,-0.32630157470703125,"Journaled File System, produkt opracowany przez firmę",IBM,['Microsoft'],P178
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_4732,-0.3008270263671875,Program Politics Show był pierwotnie emitowany w,BBC1,"['BBC-2', 'Radio Philippines Network']",P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7540,-0.29349708557128906,Oryginalnym językiem Desyat Negrityat jest,Rosyjski,"['język tamilski', 'język duński']",P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9042,-0.2864227294921875,Językiem urzędowym Naddniestrza jest,ukraiński,['język węgierski'],P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7761,-0.28388237953186035,Językiem KCNA jest,Hangul,['język tybetański'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10644,-0.27240753173828125,Językiem ojczystym Pauline Lafont jest,Francuski,['język japoński'],P103
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9252,-0.2690582275390625,Językiem Desh był,bengalski,['język niemiecki'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7698,-0.2578289707501729,Oryginalnym językiem Le Monde jest,Francuski,"['język indonezyjski', 'język chiński', 'Współczesny angielski']",P364
