dataset_id,stem,true,false,relation,subject,object,correct,language,lang_code,relation_title,analysis_id,english_entity
rome_12203,Хедер Кокс ради за,ЕСПН,ББЦ,P108,Хеатхер Цок,ЕСПН,False,Serbian,sr,employer,948,Heather Cox
rome_12203,Хезер Кокс працює на,ESPN,BBC,P108,Хізер Кокс,ESPN,False,Ukrainian,uk,employer,6838,Heather Cox
rome_12203,Heather Cox werkt voor <br> Heather Cox werkt voor de,ESPN,BBC,P108,Heather Cox,ESPN,False,Dutch,nl,employer,17360,Heather Cox
rome_12203,Heather Cox jobbar för,ESPN,BBC,P108,Heather Cox,ESPN,False,Swedish,sv,employer,39725,Heather Cox
rome_12203,Heather Cox treballa per a <br> Heather Cox treballa per a la,ESPN,BBC,P108,Heather Cox,ESPN,False,Catalan,ca,employer,65478,Heather Cox
rome_12203,Heather Cox pracuje dla,ESPN,BBC,P108,Heather Cox,ESPN,False,Polish,pl,employer,82734,Heather Cox
rome_12203,Хизер Кокс работает на,ESPN,BBC,P108,Хизер Кокс,ESPN,False,Russian,ru,employer,91147,Heather Cox
rome_12203,Хедър Кокс работи за,ESPN,BBC,P108,Хедър Кокс,ESPN,False,Bulgarian,bg,employer,97481,Heather Cox
rome_12203,Heather Cox dela za,ESPN,BBC,P108,Heather Cox,ESPN,False,Slovenian,sl,employer,115807,Heather Cox
rome_12203,Heather Cox works for,ESPN,BBC,P108,Heather Cox,ESPN,False,English,en,employer,126908,Heather Cox
rome_12203,Heather Cox arbeitet für,ESPN,BBC,P108,Heather Cox,ESPN,False,German,de,employer,151469,Heather Cox
rome_12203,Heather Cox trabalha para a,ESPN,BBC,P108,Heather Cox,ESPN,False,Portuguese,pt,employer,168864,Heather Cox
rome_12203,Heather Cox pracuje pro,ESPN,BBC,P108,Heather Cox,ESPN,False,Czech,cs,employer,189494,Heather Cox
rome_12203,Heather Cox trabaja para <br> Heather Cox trabaja para la,ESPN,BBC,P108,Heather Cox,ESPN,False,Spanish,es,employer,200518,Heather Cox
