model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,rome_5720,-0.3677806854248047,Централата на Grattan plc е в [MASK].,Брадфорд,['Лондон'],P159
bert-base-multilingual-cased,rome_8958,-0.3575859069824219,Седалището на Boulton Paul Aircraft е в [MASK].,Норич,['Лондон'],P159
bert-base-multilingual-cased,rome_6006,-0.343963623046875,Животът на Габриел-Мари Гарон завършва в [MASK].,Рим,['Париж'],P20
bert-base-multilingual-cased,rome_3560,-0.2960696220397949,Централата на OneWest Bank е в [MASK].,Пасадена,['Лондон'],P159
bert-base-multilingual-cased,rome_19567,-0.26708805561065674,Изследователският институт Lunenfeld-Tanenbaum е във [MASK].,Онтарио,['Вирджиния'],P131
bert-base-multilingual-cased,rome_12924,-0.26135826110839844,Иля Ливику загубиха живота си във [MASK].,Атина,['Венеция'],P20
bert-base-multilingual-cased,rome_2841,-0.257904052734375,Пол Гоген работи в град [MASK].,Париж,['Берлин'],P937
bert-base-multilingual-cased,rome_17867,-0.2527499198913574,Окръг Нез Пърс е във [MASK].,Айдахо,['Вирджиния'],P131
bert-base-multilingual-cased,rome_15844,-0.248077392578125,Манастирът Las Descalzas Reales се намира в [MASK].,Мадрид,['Испания'],P276
bert-base-multilingual-cased,rome_19855,-0.243499755859375,Обединеното кралство принадлежи към континента [MASK].,Европа,['Африка'],P30
bert-base-multilingual-cased,rome_9336,-0.239471435546875,Бедфорд магистър е работил в град [MASK].,Париж,['Лондон'],P937
bert-base-multilingual-cased,rome_10159,-0.23725509643554688,"Steinway & Sons, създадена във [MASK].",Манхатън,['Ватерло'],P740
bert-base-multilingual-cased,rome_6424,-0.2308545708656311,Доменичино загубиха живота си във [MASK].,Неапол,['Венеция'],P20
bert-base-multilingual-cased,rome_6451,-0.22997474670410156,"Madfly, която е основана във [MASK].",Атланта,['Ватерло'],P740
bert-base-multilingual-cased,rome_14033,-0.22786259651184082,Окръг Уортън е във [MASK].,Тексас,['Виена'],P131
bert-base-multilingual-cased,rome_6090,-0.22148829698562622,Pierre Poilievre намира работа в [MASK].,Отава,['Париж'],P937
bert-base-multilingual-cased,rome_10371,-0.218994140625,Good Times първоначално се излъчва по [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_6307,-0.21799278259277344,Обществеността срещу насилието е във [MASK].,Словакия,['Виена'],P276
