model,dataset_id,differences,stem,true,false,relation
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6201,-0.4757080078125,"George Enescu, cântând la",vioară,['pian'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_7644,-0.4322509765625,"Lewis Kaplan, cântând la",vioară,['pian'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_9501,-0.4039154052734375,Strawbs care a fost fondată la,Anglia,['Londra'],P740
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9090,-0.3611791729927063,Rossiyskaya Gazeta este scrisă în,Rusă,"['limba malayalam', 'Wikipedia turcă']",P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19288,-0.352386474609375,Emisiunea Johnny Carson a fost difuzată inițial pe,CBS,['NBC'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14003,-0.34381103515625,Inocențiu al VII-lea deține funcția de,papă,['cardinal'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12416,-0.3434492349624634,"Vaughan Gething, care are funcția de",AM,['ministru politic'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_10249,-0.33551025390625,Armstrong Circle Theatre a fost difuzat inițial pe,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_5388,-0.3311309814453125,Emisiunea Pee-wee Herman a fost difuzată inițial pe,HBO,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_4073,-0.30615234375,Kazimierz Deyna joacă în poziția de,mijlocaș ofensiv,['mijlocaș stânga'],P413
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_14562,-0.3051605224609375,"James Gibbons, care are funcția de",cardinal,['episcop'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_11466,-0.2861328125,"Universitatea din Australia de Vest, al cărei sediu este la",Perth,['Copenhaga'],P159
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_7761,-0.2807067632675171,Limba KCNA este,Hangul,['limba tibetană'],P364
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9476,-0.27926647663116455,India Today este scris în,Engleză,"['engleză canadiană', 'FR']",P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_1452,-0.23862731456756592,Profesia lui Nicholas John Hannen este,diplomat,['actor'],P106
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_3209,-0.23610254128774008,Limba oficială a regiunii Altai este,Rusă,"['limba valenciană', 'Blonay', 'Dyfed']",P37
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_13112,-0.22452980279922485,Laurel Aitken a murit la,Leicester,['Londra'],P20
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2143,-0.2237687110900879,"David Gates, cântând la",vioară,['chitară'],P1303
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9061,-0.21868717670440674,Vogue Italia este scrisă în,Italiană,"['limba malayalam', 'aramaică']",P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_18291,-0.21721267700195312,Simon Rattle a lucrat în orașul,Birmingham,['Londra'],P937
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9259,-0.19535064697265625,Free Press este scris în,Engleză,['limba irlandeză'],P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_19308,-0.18212890625,Clement I are funcția de,papă,['episcop'],P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_6074,-0.17889404296875,Emisiunea David Letterman a debutat pe,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_12346,-0.17838075757026672,"Calvin Coolidge, care are funcția de",Președinte,"['președinte filipinez', 'ealdorman']",P39
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_2148,-0.177947998046875,The Danny Thomas Hour a debutat pe,NBC,['CBS'],P449
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,calinet_9437,-0.17263766129811606,L'Orient-Le Jour este scris în,Limba franceză,"['Jurchen', 'limba spaniolă', 'Română']",P407
/content/drive/MyDrive/Colab Files/llama/LLaMA/int8/llama-30b,rome_3515,-0.16876220703125,Joseph Zen deține funcția de,cardinal,['episcop'],P39
