model,dataset_id,differences,stem,true,false,relation
bert-base-multilingual-cased,calinet_9244,-0.28149686257044476,Jazykem povídky je [MASK].,ruština,"['Stará angličtina', 'Brown (příjmení)', 'Allgemeine Deutsche Biographie']",P407
bert-base-multilingual-cased,rome_18862,-0.20721435546875,"WebKit, produkt vytvořený společností [MASK].",Apple,['Google'],P178
bert-base-multilingual-cased,rome_16453,-0.20340347290039062,The Roosevelts původně vysílala na [MASK].,PBS,['NBC'],P449
bert-base-multilingual-cased,rome_11435,-0.167633056640625,NFL Today byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_8589,-0.1619853973388672,The Men Who Built America byl původně vysílán na [MASK].,History,['NBC'],P449
bert-base-multilingual-cased,rome_4688,-0.14776611328125,Judy Garland Show byla původně vysílána na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_15683,-0.13033044338226318,Jazykem Oram Po byla [MASK].,tamilština,['čínština'],P364
bert-base-multilingual-cased,rome_10464,-0.12237548828125,Lloyd Bridges Show byla původně vysílána na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1384,-0.116943359375,The Millers původně vysílala na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_5175,-0.11541628837585449,Pedro Martinez profesionálně hraje sportovní [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,rome_20418,-0.11190366744995117,Itanium bylo vytvořeno společností [MASK].,Intel,['IBM'],P178
bert-base-multilingual-cased,rome_8117,-0.10919582843780518,Alfred Kinsey působí v oblasti [MASK].,biologie,['psychologie'],P101
bert-base-multilingual-cased,calinet_8311,-0.10374867916107178,Jazzoví hudbníci A*M* [MASK].,MPS,['A*M*E'],P136
bert-base-multilingual-cased,rome_18684,-0.10223531723022461,Jaký sport hraje Frank Mahovlich? Oni hrají [MASK].,hokej,['fotbal'],P641
bert-base-multilingual-cased,rome_17626,-0.10172456502914429,David L. Lawrence působí jako [MASK].,politik,['herec'],P106
bert-base-multilingual-cased,rome_10270,-0.10070586204528809,Billy Sunday profesionálně hraje sportovní [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,rome_12684,-0.09679412841796875,Ellen Show byla původně vysílána na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1976,-0.09617233276367188,A Little Curious původně vysílala na [MASK].,HBO,['NBC'],P449
bert-base-multilingual-cased,rome_10093,-0.09326171875,Audio Interchange File Format byl produktem společnosti [MASK].,Apple,['Intel'],P178
bert-base-multilingual-cased,calinet_4792,-0.09284303188323975,Superstorm byl původně vysílán na [MASK].,BBC One,"['NRK2', 'Tara (televizní seriál)', 'Western International Communications', 'Stylista', 'Nickeodeon']",P449
bert-base-multilingual-cased,rome_19213,-0.09130859375,Kay O'Brien byla původně vysílána na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_4957,-0.09029388427734375,Palace Guard byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_7566,-0.0824737548828125,George Shrinks původně vysílal na [MASK].,PBS,['BBC'],P449
bert-base-multilingual-cased,rome_6725,-0.07953190803527832,Carl Flesch hraje na nástroj [MASK].,housle,['klavír'],P1303
bert-base-multilingual-cased,rome_7962,-0.0751953125,Skype byl produktem společnosti [MASK].,Microsoft,['Apple'],P178
bert-base-multilingual-cased,rome_15931,-0.07471442222595215,Around the Horn původně vysílala [MASK].,ESPN,['BBC'],P449
bert-base-multilingual-cased,rome_7213,-0.0721282958984375,8th & Ocean byl původně vysílán na [MASK].,MTV,['NBC'],P449
bert-base-multilingual-cased,rome_20061,-0.07193553447723389,Max Weber působí v oblasti [MASK].,sociologie,['psychologie'],P101
bert-base-multilingual-cased,rome_2980,-0.0706329345703125,"PowerShell, vytvořený společností [MASK].",Microsoft,['Apple'],P178
bert-base-multilingual-cased,rome_4375,-0.07009267807006836,Jaký sport hraje Tony Gwynn? Oni hrají [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,rome_10714,-0.068328857421875,"XScale, vyvinutý společností [MASK].",Intel,['Google'],P178
bert-base-multilingual-cased,rome_2587,-0.06693416833877563,Jeanne Lamon hraje na nástroj [MASK].,housle,['klavír'],P1303
bert-base-multilingual-cased,rome_2386,-0.066497802734375,Green Acres byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_847,-0.06597709655761719,Kurt Furgler působí jako [MASK].,politik,['herec'],P106
bert-base-multilingual-cased,rome_6075,-0.06519460678100586,Manuel Sadosky působí jako [MASK].,matematik,['herec'],P106
bert-base-multilingual-cased,rome_5430,-0.0633544921875,"Internet Explorer 11, produkt společnosti [MASK].",Microsoft,['Apple'],P178
bert-base-multilingual-cased,rome_13688,-0.063201904296875,Benny Hill Show byla původně vysílána na [MASK].,BBC,['NBC'],P449
bert-base-multilingual-cased,rome_11991,-0.062774658203125,NFL Matchup původně vysílal na [MASK].,ESPN,['NBC'],P449
bert-base-multilingual-cased,rome_9695,-0.05989551544189453,Advanced Function Presentation byl produktem společnosti [MASK].,IBM,['Apple'],P178
bert-base-multilingual-cased,rome_20284,-0.059365272521972656,Early Start byl původně vysílán na [MASK].,CNN,['NBC'],P449
bert-base-multilingual-cased,rome_19399,-0.05854606628417969,Jaký sport hraje Dave Winfield? Oni hrají [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,rome_19732,-0.058099329471588135,Human Weapon byl původně vysílán na [MASK].,History,['NBC'],P449
bert-base-multilingual-cased,calinet_3101,-0.057621121406555176,Oficiálním jazykem Filipín je [MASK].,Tagalog,"['PUR', 'jazyk Tsonga', 'Botkyrka Municipality']",P37
bert-base-multilingual-cased,rome_12225,-0.056953251361846924,"Žánrem, který hraje Lucky Louie, je [MASK].",sitcom,['jazz'],P136
bert-base-multilingual-cased,rome_16381,-0.0529632568359375,"Audio Video Interleave, verze 1.0, produkt vyvinutý společností [MASK].",Microsoft,['Intel'],P178
bert-base-multilingual-cased,rome_21224,-0.0526883602142334,Henri Verbrugghen hraje na nástroj [MASK].,housle,['klavír'],P1303
bert-base-multilingual-cased,rome_11911,-0.051748573780059814,Oficiálním jazykem Svatého Kryštofa a Nevise je [MASK].,Angličtina,['italština'],P37
bert-base-multilingual-cased,rome_19188,-0.051009178161621094,OS X Yosemite je vytvořen společností [MASK].,Apple,['Microsoft'],P178
bert-base-multilingual-cased,rome_13629,-0.05010986328125,Můj Big Fat Greek Life byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,calinet_5639,-0.04907660824911935,Hlavním městem Madagaskaru je [MASK].,Antananarivo,"['Parker County, Texas', 'Groznyj', 'SA', 'Al Wahat', 'Ibiza (město)', 'Zvláštní oblast Yogyakarta', 'Herāt']",P1376
bert-base-multilingual-cased,rome_3659,-0.047943115234375,Jaký sport hraje Larry Doby? Oni hrají [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,rome_4251,-0.0477294921875,Hennesey byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_13475,-0.04772329330444336,Původní jazyk Caresses je [MASK].,katalánština,['francouzština'],P364
bert-base-multilingual-cased,rome_3524,-0.04770088195800781,Bobby Hull je profesionální [MASK].,hokej,['fotbal'],P641
bert-base-multilingual-cased,rome_18269,-0.04712963104248047,Jaký sport hraje Casey Stengel? Oni hrají [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,calinet_5724,-0.04678463935852051,"Madagaskar, který má hlavní město [MASK].",Antananarivo,"['SFR Jugoslávie', 'město Appenzell', 'Stát Bauchi', 'Akmola', 'Pratihara Empire', 'Steiermark', 'Mokhotlong', 'Severní Mariany', ""M'banza-Kongo"", 'Kulu']",P1376
bert-base-multilingual-cased,rome_11644,-0.0460662841796875,Time Express původně vysílal na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_5301,-0.0457611083984375,Baby Bob byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_16002,-0.04564189910888672,Jean-Jacques Kantorow hraje na nástroj [MASK].,housle,['klavír'],P1303
bert-base-multilingual-cased,rome_12681,-0.04525923728942871,"Žánrem, který hraje The Paul Lynde Show, je [MASK].",sitcom,['jazz'],P136
bert-base-multilingual-cased,rome_19435,-0.044536590576171875,Little Britain USA původně vysílala na [MASK].,HBO,['NBC'],P449
bert-base-multilingual-cased,rome_12467,-0.0435791015625,Frank Robinson je profesionální [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,rome_15037,-0.04339599609375,Silicon Valley byl původně vysílán na [MASK].,HBO,['NBC'],P449
bert-base-multilingual-cased,rome_3914,-0.043109893798828125,Ghost Whisperer původně vysílal na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_4103,-0.04108619689941406,Downtown byl původně vysílán na [MASK].,MTV,['NBC'],P449
bert-base-multilingual-cased,calinet_9440,-0.040924072265625,Jazykem Netochky Nezvanové je [MASK].,ruština,['čínština'],P407
bert-base-multilingual-cased,rome_7466,-0.04007720947265625,Ichiro Suzuki profesionálně hraje sportovní [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,calinet_8827,-0.04004153609275818,"EMD F7, vytvořený společností [MASK].",General Motors,"['Kraft Foods, Inc.', 'Siemens']",P176
bert-base-multilingual-cased,rome_17325,-0.039638519287109375,Dennis Miller Live původně vysílal na [MASK].,HBO,['CBS'],P449
bert-base-multilingual-cased,rome_11669,-0.03945636749267578,Peter Rainer hraje na nástroj [MASK].,housle,['klavír'],P1303
bert-base-multilingual-cased,rome_15227,-0.038822174072265625,Knihovna YUI je vyvinuta společností [MASK].,Yahoo,['Microsoft'],P178
bert-base-multilingual-cased,rome_20643,-0.0387115478515625,"Claude Louis Hector de Villars, který pracuje jako [MASK].",diplomat,['architekt'],P106
bert-base-multilingual-cased,rome_12893,-0.037872314453125,The Skatebirds původně vysílala na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_1896,-0.037798166275024414,Theobald Boehm pracoval ve městě [MASK].,Mnichov,['Berlín'],P937
bert-base-multilingual-cased,rome_21658,-0.0375823974609375,The Robonic Stooges byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_7857,-0.03745269775390625,The Edge of Night byl původně vysílán na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_16479,-0.03716421127319336,Jaký sport hraje Peter Forsberg? Oni hrají [MASK].,hokej,['fotbal'],P641
bert-base-multilingual-cased,calinet_8569,-0.037003010511398315,"Athlon, vytvořený společností [MASK].",AMD,"['Aston Martin Lagonda Limited', 'Apple']",P176
bert-base-multilingual-cased,rome_12759,-0.03676652908325195,Attached Support Processor byl produktem společnosti [MASK].,IBM,['Apple'],P178
bert-base-multilingual-cased,rome_7132,-0.0362701416015625,Teemu Sälännä profesionálně hraje sportovní [MASK].,hokej,['fotbal'],P641
bert-base-multilingual-cased,calinet_4893,-0.03594927489757538,CNN má debutovat [MASK].,Capital Gang,"['TMN', 'USA', 'Got Talent', 'Suzanne Sugarbaker']",P449
bert-base-multilingual-cased,rome_10702,-0.0353240966796875,Tom Seaver je profesionální [MASK].,baseball,['fotbal'],P641
bert-base-multilingual-cased,rome_21475,-0.034942626953125,"Portable Document Format, produkt společnosti [MASK].",Adobe,['Apple'],P178
bert-base-multilingual-cased,rome_4033,-0.034896790981292725,Poloostrov Ioannes Paulus II se nachází na kontinentu [MASK].,Antarktida,['Asie'],P30
bert-base-multilingual-cased,rome_21001,-0.03331756591796875,Kate Brasher původně vysílala na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_10483,-0.0329132080078125,Barnaby Jones původně vysílal na [MASK].,CBS,['NBC'],P449
bert-base-multilingual-cased,rome_13589,-0.0328826904296875,"Xenix, produkt vyvinutý společností [MASK].",Microsoft,['Apple'],P178
